Host,Parasite,ParasiteFull,Reference,CitationNumber
Gibbonsia elegans,Helicometrina nimia,"Helicometrina nimia Linton, 1910",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=6666BBB302CFA4AD7FF30B6ED33D5FEB?paragenus=Helicometrina&paraspecies=nimia+Linton%2c+1910&paragroup=&subgroup=&hostgenus=Gibbonsia&hostspecies=elegans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Amphistichus argenteus,Encotyllabe embiotocae,"Encotyllabe embiotocae Noble, 1966",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=858B109E772F31C571853CC3CEBB24E8?paragenus=Encotyllabe&paraspecies=embiotocae+Noble%2c+1966&paragroup=&subgroup=&hostgenus=Amphistichus&hostspecies=argenteus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Amphistichus argenteus,Helicometrina nimia,"Helicometrina nimia Linton, 1910",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=858B109E772F31C571853CC3CEBB24E8?paragenus=Helicometrina&paraspecies=nimia+Linton%2c+1910&paragroup=&subgroup=&hostgenus=Amphistichus&hostspecies=argenteus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Amphistichus argenteus,Encotyllabe embiotocae,"Encotyllabe embiotocae Noble, 1966",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=858B109E772F31C571853CC3CEBB24E8?paragenus=Encotyllabe&paraspecies=embiotocae+Noble%2c+1966&paragroup=&subgroup=&hostgenus=Amphistichus&hostspecies=argenteus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Amphistichus argenteus,Helicometrina nimia,"Helicometrina nimia Linton, 1910",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=858B109E772F31C571853CC3CEBB24E8?paragenus=Helicometrina&paraspecies=nimia+Linton%2c+1910&paragroup=&subgroup=&hostgenus=Amphistichus&hostspecies=argenteus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Atherinops affinis,Leuresthicola robersoni,"Leuresthicola robersoni Payne, 1990",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=B6898A21EAD20A84488C6B0228D1551D?paragenus=Leuresthicola&paraspecies=robersoni+Payne%2c+1990&paragroup=&subgroup=&hostgenus=Atherinops&hostspecies=affinis&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Atherinops affinis,Spirocamallanus pereirai,"Spirocamallanus pereirai (Annereaux, 1946)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=B6898A21EAD20A84488C6B0228D1551D?paragenus=Spirocamallanus&paraspecies=pereirai+(Annereaux%2c+1946)&paragroup=&subgroup=&hostgenus=Atherinops&hostspecies=affinis&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Atherinops affinis,Leuresthicola robersoni,"Leuresthicola robersoni Payne, 1990",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=B6898A21EAD20A84488C6B0228D1551D?paragenus=Leuresthicola&paraspecies=robersoni+Payne%2c+1990&paragroup=&subgroup=&hostgenus=Atherinops&hostspecies=affinis&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Atherinops affinis,Spirocamallanus pereirai,"Spirocamallanus pereirai (Annereaux, 1946)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=B6898A21EAD20A84488C6B0228D1551D?paragenus=Spirocamallanus&paraspecies=pereirai+(Annereaux%2c+1946)&paragroup=&subgroup=&hostgenus=Atherinops&hostspecies=affinis&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Artedius fenestralis,Genolinea anura,"Genolinea anura (Layman, 1930)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=8BFA7C271DFB99A7D9968B50859DBF62?paragenus=Genolinea&paraspecies=anura+(Layman%2c+1930)&paragroup=&subgroup=&hostgenus=Artedius&hostspecies=fenestralis&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Girella nigricans,Neobenedenia girellae,"Neobenedenia girellae (Hargis, 1955)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Neobenedenia&paraspecies=girellae+(Hargis%2c+1955)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,2
Girella nigricans,Neobenedenia melleni,"Neobenedenia melleni (MacCallum, 1927)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Neobenedenia&paraspecies=melleni+(MacCallum%2c+1927)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,3
Girella nigricans,Prodistomum orientalis,"Prodistomum orientalis (Layman, 1930)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Prodistomum&paraspecies=orientalis+(Layman%2c+1930)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Girella nigricans,Schikhobalotrema girellae,"Schikhobalotrema girellae (Manter & van Cleave, 1951)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Schikhobalotrema&paraspecies=girellae+(Manter+%26+van+Cleave%2c+1951)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Girella nigricans,Neobenedenia girellae,"Neobenedenia girellae (Hargis, 1955)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Neobenedenia&paraspecies=girellae+(Hargis%2c+1955)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,2
Girella nigricans,Neobenedenia melleni,"Neobenedenia melleni (MacCallum, 1927)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Neobenedenia&paraspecies=melleni+(MacCallum%2c+1927)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,3
Girella nigricans,Prodistomum orientalis,"Prodistomum orientalis (Layman, 1930)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Prodistomum&paraspecies=orientalis+(Layman%2c+1930)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Girella nigricans,Schikhobalotrema girellae,"Schikhobalotrema girellae (Manter & van Cleave, 1951)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Schikhobalotrema&paraspecies=girellae+(Manter+%26+van+Cleave%2c+1951)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Girella nigricans,Neobenedenia girellae,"Neobenedenia girellae (Hargis, 1955)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Neobenedenia&paraspecies=girellae+(Hargis%2c+1955)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,2
Girella nigricans,Neobenedenia melleni,"Neobenedenia melleni (MacCallum, 1927)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Neobenedenia&paraspecies=melleni+(MacCallum%2c+1927)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,3
Girella nigricans,Prodistomum orientalis,"Prodistomum orientalis (Layman, 1930)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Prodistomum&paraspecies=orientalis+(Layman%2c+1930)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Girella nigricans,Schikhobalotrema girellae,"Schikhobalotrema girellae (Manter & van Cleave, 1951)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Schikhobalotrema&paraspecies=girellae+(Manter+%26+van+Cleave%2c+1951)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Girella nigricans,Neobenedenia girellae,"Neobenedenia girellae (Hargis, 1955)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Neobenedenia&paraspecies=girellae+(Hargis%2c+1955)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,2
Girella nigricans,Neobenedenia melleni,"Neobenedenia melleni (MacCallum, 1927)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Neobenedenia&paraspecies=melleni+(MacCallum%2c+1927)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,3
Girella nigricans,Prodistomum orientalis,"Prodistomum orientalis (Layman, 1930)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Prodistomum&paraspecies=orientalis+(Layman%2c+1930)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Girella nigricans,Schikhobalotrema girellae,"Schikhobalotrema girellae (Manter & van Cleave, 1951)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=844DD0A222B640F94ACF8433716CD785?paragenus=Schikhobalotrema&paraspecies=girellae+(Manter+%26+van+Cleave%2c+1951)&paragroup=&subgroup=&hostgenus=Girella&hostspecies=nigricans&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Ascocotyle Phagicola,"Ascocotyle (Phagicola) diminuta (Stunkard & Haviland, 1924)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Ascocotyle+(Phagicola)&paraspecies=diminuta+(Stunkard+%26+Haviland%2c+1924)&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Corynosoma sp.,Corynosoma sp.,http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Corynosoma&paraspecies=sp.&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Echinorhynchus gadi,"Echinorhynchus gadi Zoega in Muller, 1776",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Echinorhynchus&paraspecies=gadi+Zoega+in+Muller%2c+1776&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,2
Leptocottus armatus,Genolinea anura,"Genolinea anura (Layman, 1930)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Genolinea&paraspecies=anura+(Layman%2c+1930)&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Hysterothylacium magnum,"Hysterothylacium magnum (Smedley, 1934)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Hysterothylacium&paraspecies=magnum+(Smedley%2c+1934)&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Neobenedenia melleni,"Neobenedenia melleni (MacCallum, 1927)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Neobenedenia&paraspecies=melleni+(MacCallum%2c+1927)&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,2
Leptocottus armatus,Neolebouria tinkerbelli,"Neolebouria tinkerbelli Thompson & Margolis, 1987",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Neolebouria&paraspecies=tinkerbelli+Thompson+%26+Margolis%2c+1987&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Podocotyle radifistuli,"Podocotyle radifistuli (Acena, 1941)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Podocotyle&paraspecies=radifistuli+(Acena%2c+1941)&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Podocotyle sinusacca,"Podocotyle sinusacca Ching, 1960",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Podocotyle&paraspecies=sinusacca+Ching%2c+1960&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Rhipidocotyle elongata,"Rhipidocotyle elongata McFarlane, 1936",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Rhipidocotyle&paraspecies=elongata+McFarlane%2c+1936&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Tubulovesicula lindbergi,"Tubulovesicula lindbergi (Layman, 1930)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Tubulovesicula&paraspecies=lindbergi+(Layman%2c+1930)&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Ascocotyle Phagicola,"Ascocotyle (Phagicola) diminuta (Stunkard & Haviland, 1924)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Ascocotyle+(Phagicola)&paraspecies=diminuta+(Stunkard+%26+Haviland%2c+1924)&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Corynosoma sp.,Corynosoma sp.,http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Corynosoma&paraspecies=sp.&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Echinorhynchus gadi,"Echinorhynchus gadi Zoega in Muller, 1776",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Echinorhynchus&paraspecies=gadi+Zoega+in+Muller%2c+1776&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,2
Leptocottus armatus,Genolinea anura,"Genolinea anura (Layman, 1930)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Genolinea&paraspecies=anura+(Layman%2c+1930)&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Hysterothylacium magnum,"Hysterothylacium magnum (Smedley, 1934)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Hysterothylacium&paraspecies=magnum+(Smedley%2c+1934)&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Neobenedenia melleni,"Neobenedenia melleni (MacCallum, 1927)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Neobenedenia&paraspecies=melleni+(MacCallum%2c+1927)&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,2
Leptocottus armatus,Neolebouria tinkerbelli,"Neolebouria tinkerbelli Thompson & Margolis, 1987",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Neolebouria&paraspecies=tinkerbelli+Thompson+%26+Margolis%2c+1987&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
Leptocottus armatus,Podocotyle radifistuli,"Podocotyle radifistuli (Acena, 1941)",http://www.nhm.ac.uk/research-curation/scientific-resources/taxonomy-systematics/host-parasites/database/references.jsp;jsessionid=5F68B83C64EE0CC4802C3615B0586CEF?paragenus=Podocotyle&paraspecies=radifistuli+(Acena%2c+1941)&paragroup=&subgroup=&hostgenus=Leptocottus&hostspecies=armatus&pstatus=&hstate=&location=&locationID=&linkedthrough=true,1
