reference_number,focal_consumer_taxon,focal_consumer_life_stage,resource_genus,resource_category,resource_phylum,resource_class,resource_order,resource_family,resource_taxonomic_resolution,general_location_of_study,id.x,resource_species,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,eaten_by,parasitized_by,node_type,node_resolution,kingdom,subclass,infraclass,subterclass,superorder,superfamily,subphylum,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily
175,Acanthodoris lutea,adult,Alcyonidium,bryozoan,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,genus,"Naples Point, CA",631,Alcyonidium parasiticum,NA,adult,NA,N,present,Light & Smith,low,"thickly encrusts erect hydroids, bryozoans; shallow water to 10 m",colonial,sessile,NA,NA,Taxonomic,Genus,Animalia,NA,NA,NA,NA,Alcyonidioidea,NA,NA,NA,Alcyonidiina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Acanthodoris lutea,adult,Alcyonidium,octocoral,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,genus,"Naples Point, CA",981,Alcyonium sp.,"Alaska to Sonoma County, CA",adult,NA,N,present,Light & Smith,low,NA,colonial,sessile,Tritonia festiva,NA,Taxonomic,Species,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Acanthodoris nanaimoensis,adult,NA,NA,NA,Ascidaceae,NA,NA,class,"Meta-analysis, or literature summary, no exact location specified for each individual",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Acanthodoris rhodoceras,adult,Alcyonidium,bryozoan,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,genus,"Naples Point, CA",631,Alcyonidium parasiticum,NA,adult,NA,N,present,Light & Smith,low,"thickly encrusts erect hydroids, bryozoans; shallow water to 10 m",colonial,sessile,NA,NA,Taxonomic,Genus,Animalia,NA,NA,NA,NA,Alcyonidioidea,NA,NA,NA,Alcyonidiina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Acanthodoris rhodoceras,adult,Alcyonidium,octocoral,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,genus,"Naples Point, CA",981,Alcyonium sp.,"Alaska to Sonoma County, CA",adult,NA,N,present,Light & Smith,low,NA,colonial,sessile,Tritonia festiva,NA,Taxonomic,Species,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Aeolidia loui,adult,Diadumene,anemone,Cnidaria,Hexacorallia,Actiniaria,Diadumenidae,genus,"Naples Point, CA",973,Diadumene lighti,Alaska to Central America,adult,38,Both,present,Light & Smith,all,In sand among algal holdfasts along edges of rocky shore tide channels,solitary,sessile,NA,NA,Taxonomic,Species,Animalia,NA,NA,NA,NA,Metridioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Aeolidia loui,adult,Diadumene,anemone,Cnidaria,Hexacorallia,Actiniaria,Diadumenidae,genus,"Naples Point, CA",108,Diadumene lineata,NA,adult,NA,Both,rare,"Morris, Abbott, & Haderlie",middle,under rocks in pools,solitary,sessile,NA,NA,Taxonomic,Species,Animalia,NA,NA,NA,NA,Metridioidea,Anthozoa,NA,NA,Enthemonae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,Aequorea victoria,medusa,NA,small medusae,NA,NA,NA,NA,category,"Friday Harbor Laboratory, San Juan Island, WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,Aequorea victoria,medusa,NA,NA,NA,appendicularia,NA,NA,class,"Friday Harbor Laboratory, San Juan Island, WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,Aglantha digitale,medusa,NA,NA,NA,NA,calanoida,NA,order,"Friday Harbor Laboratory, San Juan Island, WA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
