reference_number,consumerNum,consumerStage,c_nsboth,czone,focal_consumer_taxon,focal_consumer_life_stage,consumption_type,trophic_strategy,resource_taxon,resource_taxonomic_resolution,added_to_edge_list,ep_riz,justification
38,NA,NA,NA,NA,"Solaster dawsoni, Hippasteria spiilosa, Derniasterias iinbricata, Crossaster papposus, and Mediaster aequalis,",adult,predation,NA,Ptilosarcus gurney,species,to do,y,3
35,NA,NA,NA,NA,Pisaster Ochraceus,adult,parasitism,NA,NA (see notes ),na,to do,y,3
174,NA,NA,NA,NA,Cuthona sp.,adult,micropredation,NA,Barentsia ramosa,species,done - MANUALLY EXPAND,y,3
121,NA,NA,NA,NA,Notorynchus cepedianus,adult,predation,NA,Triakis semifasciata,species,"done - REMOVE, species not in RIZ",y,3
34,NA,NA,NA,NA,"Stellarchytrium dubum, Aplanochytrium blankum, Oblongichytrium porteri",adult,parasitism,NA,Pisaster ochraceus,species,to do,y,3
186,NA,NA,NA,NA,Cancer antennarius,adult,predation,NA,Mytilus californianus,species,no,y,3
186,NA,NA,NA,NA,Cancer antennarius,adult,predation,NA,Mytilus galloprovincialis,species,no,y,3
186,NA,NA,NA,NA,Cancer antennarius,adult,predation,NA,Mytilus trossulus,species,no,y,3
189,NA,NA,NA,NA,Accipiter cooperii,adult,predation,NA,Catoptrophorus semipalmatus,species,no,y,3
205,NA,NA,NA,NA,unknown Gyrodactyloidean,adult,ectoparasitism,NA,Oligocottus maculosus,species,to do,y,3
205,NA,NA,NA,NA,Podocotyle gibbonsiae,adult,endoparasitism,NA,Gibbonsia elegans,species,to do,y,3
205,NA,NA,NA,NA,Genitocotyle acirra,adult,endoparasitism,NA,Micrometrus minimus,species,to do,y,3
205,NA,NA,NA,NA,Genitocotyle acirra,adult,endoparasitism,NA,Gibbonsia metzi,species,to do,y,3
205,NA,NA,NA,NA,Podocotyle gibbonsiae,adult,endoparasitism,NA,Gobiesox maeandricus,species,to do,y,3
205,NA,NA,NA,NA,Davisia reginae,adult,endoparasitism,NA,Phanerodon vacca,species,to do,y,3
205,NA,NA,NA,NA,Lironeca vulgaris,adult,ectoparasitism,NA,Scorpaenichthys marmoratus,species,to do,y,3
205,NA,NA,NA,NA,Ceratomyxa sebasta,adult,endoparasitism,NA,Sebastes carnatus,species,to do,y,3
30,NA,NA,NA,NA,Pisaster Ochraceus,larvae,predation,NA,Chaetocerous calcitrans,species,to do,y,3
30,NA,NA,NA,NA,Pisaster Ochraceus,larvae,predation,NA,Dunaliella tertiolecta,species,to do,y,3
30,NA,NA,NA,NA,Pisaster Ochraceus,larvae,predation,NA,Isochrysis galbana,species,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,radiolarians,category,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,diatoms,category,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,foramaniferans,category,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,copepods,class,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,larvaceans,class,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,ostracods,class,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,ascidian eggs,life stage,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,ascidian tadpoles,life stage,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,barnacle nauplii,life stage,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,bivalve veligers,life stage,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,copepod nauplii,life stage,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,cyprids,life stage,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,eggs,life stage,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,gastropod veligers,life stage,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,zoeae,life stage,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,tintinnids,order,to do,y,3
238,NA,NA,NA,NA,Ascidia callosa,adult,discriminatory filter feeding,NA,Doliolariae/Pentactulae,life stage,to do,y,3
244,NA,NA,NA,NA,Sarsia tubulosa,medusa,predation,NA,copepod nauplii,life stage,to do,y,3
244,NA,NA,NA,NA,Sarsia tubulosa,medusa,predation,NA,invertebrate eggs,life stage,to do,y,3
244,NA,NA,NA,NA,Proboscidactyla flavicirrata,medusa,predation,NA,invertebrate eggs,life stage,to do,y,3
244,NA,NA,NA,NA,Sarsia tubulosa,medusa,predation,NA,invertebrate larvae,life stage,to do,y,3
244,NA,NA,NA,NA,Proboscidactyla flavicirrata,medusa,predation,NA,mollusc larvae,life stage,to do,y,3
244,NA,NA,NA,NA,Proboscidactyla flavicirrata,medusa,predation,NA,polychaete larvae,life stage,to do,y,3
244,NA,NA,NA,NA,Aglantha digitale,medusa,predation,NA,calanoida,order,to do,y,3
244,NA,NA,NA,NA,Sarsia tubulosa,medusa,predation,NA,Rotifera,phylum,to do,y,3
244,NA,NA,NA,NA,Proboscidactyla flavicirrata,medusa,predation,NA,Rotifera,phylum,to do,y,3
244,NA,NA,NA,NA,Phialidium gregarium,medusa,discriminatory filter feeding,NA,appendicularia,class,to do,y,3
175,NA,NA,NA,NA,Dendronotus venustus,adult,micropredation,NA,Campanulariidae,family,to do,y,3
175,NA,NA,NA,NA,Anteaeolidiella chromosoma,adult,micropredation,NA,Diadumene,genus,to do,y,3
175,NA,NA,NA,NA,Trinchesia albocrusta,adult,micropredation,NA,Leptothecata,order,to do,y,3
205,NA,NA,NA,NA,Archigyrodactylus atherinops,adult,ectoparasitism,NA,Atherinops affinis,species,to do,y,3
205,NA,NA,NA,NA,Podocotyle sp,adult,endoparasitism,NA,Clinocottus analis,species,to do,y,3
205,NA,NA,NA,NA,Genolinea manteri,adult,endoparasitism,NA,Enophrys bison,species,to do,y,3
205,NA,NA,NA,NA,Acanthochondria rectangularis,adult,ectoparasitism,NA,Leptocottus armatus,species,to do,y,3
