id.x,species.x,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,date_added,species2,id.y,kingdom,subkingdom,infrakingdom,phylum,class,subclass,order,family,genus,species.y,subphylum,infraphylum,parvphylum,gigaclass,superclass,subfamily,phylum_division,subphylum_subdivision,suborder,infraclass,subterclass,superfamily,tribe,superorder,infraorder,section,subsection,subgenus,parvorder
2339,Balanus sp.,NA,barnacle,NA,NA,NA,adult,NA,Both,common,NA,all,NA,aggregating,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,add,NA,NA,NA,4/5/24,Balanus,106122,Animalia,NA,NA,Arthropoda,Thecostraca,Cirripedia,Balanomorpha,Balanidae,Balanus,NA,Crustacea,NA,NA,NA,Multicrustacea,Balaninae,NA,NA,NA,Thoracica,NA,Balanoidea,NA,Thoracicalcarea,NA,NA,NA,NA,NA
2355,Prorocentrum micans,NA,dinoflagellate,NA,NA,cosmopolitan,adult,0.75,Both,present,505; Phytopedia,all,"neritic and estuarine waters, but it has also been observed in oceanic environments",solitary,mobile,NA,mixotroph,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/5/24,Prorocentrum micans,110303,Chromista,Harosa,Alveolata,Myzozoa,Dinophyceae,NA,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum micans,Dinozoa,Dinoflagellata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2301,Hippothoa sp.,NA,bryozoan,NA,NA,"Oregon to Point Conception, CA",adult,NA,Both,present,Light & Smith,unknown,unknown,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,"Light and Smith lists the genus but absolutely zero information about it. Just says ""see Celleporella hyalina""; assuming distribution based on predator records",Taxonomic,Genus,NA,add,NA,NA,NA,4/1/24,Hippothoa,110931,Animalia,NA,NA,Bryozoa,Gymnolaemata,NA,Cheilostomatida,Hippothoidae,Hippothoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,Flustrina,NA,NA,Hippothooidea,NA,NA,NA,NA,NA,NA,NA
2340,Acanthomysis sp.,NA,mysid,mysid,NA,NA,adult,NA,N,present,Setran 1992,NA,NA,aggregating,mobile,NA,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Unidentified Species,NA,add,NA,NA,NA,4/5/24,Acanthomysis,119831,Animalia,NA,NA,Arthropoda,Malacostraca,Eumalacostraca,Mysida,Mysidae,Acanthomysis,NA,Crustacea,NA,NA,NA,Multicrustacea,Mysinae,NA,NA,NA,NA,NA,NA,Neomysini,Peracarida,NA,NA,NA,NA,NA
2346,Nucella sp.,NA,snail,NA,free living invertebrate eggs,NA,eggs,NA,Both,present,NA,all,attached to rocks,aggregating,sessile,NA,non-feeding life stage,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Life Stage,NA,add,NA,NA,NA,4/5/24,Nucella,138199,Animalia,NA,NA,Mollusca,Gastropoda,Caenogastropoda,Neogastropoda,Muricidae,Nucella,NA,NA,NA,NA,NA,NA,Ocenebrinae,NA,NA,NA,NA,NA,Muricoidea,NA,NA,NA,NA,NA,NA,NA
2353,Mytilus galloprovincialis,NA,mussel,European mussel,NA,Invasive: British Columbia to California,adult,NA,Both,present,Light & Smith,all,"on wharf pilings, floats, docks, rocks; occasional on outer coast",solitary,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,add,NA,NA,NA,4/5/24,Mytilus galloprovincialis,140481,Animalia,NA,NA,Mollusca,Bivalvia,Autobranchia,Mytilida,Mytilidae,Mytilus,Mytilus galloprovincialis,NA,NA,NA,NA,NA,Mytilinae,NA,NA,NA,Pteriomorphia,NA,Mytiloidea,NA,NA,NA,NA,NA,NA,NA
2306,Callithamnion sp.,NA,red algae,NA,NA,varies,adult,NA,Both,present,Marine Algae of California,all,"varies, can be epiphtic",solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,add,NA,NA,NA,4/1/24,Callithamnion,143832,Plantae,Biliphyta,NA,NA,Florideophyceae,Rhodymeniophycidae,Ceramiales,Callithamniaceae,Callithamnion,NA,NA,NA,NA,NA,NA,Callithamnioideae,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,Callithamnieae,NA,NA,NA,NA,NA,NA
2307,Chaetomorpha sp.,NA,green algae,NA,NA,"Marin County, CA to Baja California",adult,NA,Both,present,Marine Algae of California,all,"varies, can be epiphtic",solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,add,NA,NA,NA,4/1/24,Chaetomorpha,143995,Plantae,Viridiplantae,NA,NA,Ulvophyceae,NA,Cladophorales,Cladophoraceae,Chaetomorpha,NA,NA,NA,NA,NA,NA,NA,Chlorophyta,Chlorophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2310,Lithophyllum sp.,NA,coralline algae,crustose coralline algae,NA,varies,adult,NA,Both,present,Marine Algae of California,all,"varies, can be epiphtic",solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,add,NA,NA,NA,4/1/24,Lithophyllum,144016,Plantae,Biliphyta,NA,NA,Florideophyceae,Corallinophycidae,Corallinales,Lithophyllaceae,Lithophyllum,NA,NA,NA,NA,NA,NA,Lithophylloideae,Rhodophyta,Eurhodophytina,Corallinineae,NA,NA,NA,Lithophylleae,NA,NA,NA,NA,NA,NA
2308,Lithothamnion sp.,NA,coralline algae,crustose coralline algae,NA,varies,adult,NA,Both,present,Marine Algae of California,all,"varies, can be epiphtic",solitary,sessile,NA,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,NA,add,NA,NA,NA,4/1/24,Lithothamnion,144018,Plantae,Biliphyta,NA,NA,Florideophyceae,Corallinophycidae,Hapalidiales,Hapalidiaceae,Lithothamnion,NA,NA,NA,NA,NA,NA,NA,Rhodophyta,Eurhodophytina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
