fixed_y_n,id,species,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,kingdom,phylum,class,subclass,order,family,genus
Dakaria dawsoni,848,'Dakaria' dawsoni,Watersipora,bryozoan,NA,NA,British Columbia to Channel Islands,adult,2 - 200,Both,present,Light & Smith,low,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Nipponnemertes rubella,1721,"""Amphiporus"" rubellus",NA,nemertean,ribbon worm,NA,Southern California,adult,NA,S,present,Light & Smith,low,among surface cover on wharf pilings and low intertidal rocks,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
as is,446,"""Spirorbids""",NA,polychaete,spirorbid,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie",middle to low,"under rocks, on algae, on mussels",NA,sessile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,name given to small coiled serpulorbid tube worms,Common Name,Assemblage,NA,NA,NA,NA,NA,NA,middle,NA,NA,NA,NA,NA,NA,NA
un-italicized and removed spaces,598, Pharcidia balani ,Didymella conchae,fungus,NA,NA,NA,adult,NA,Both,present,"Morris, Abbott, & Haderlie",all,parasitic on mollusk shells,aggregating,sessile,NA,NA,NA,NA,NA,NA,Lottia sp.,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
as is,90,Abietinaria sp.,NA,hydroid,NA,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,little known,colonial,sessile,NA,filter feeder,generalist,Doto sp.,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,3,fix,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Aporobopyrus oviformis (should have also applied to the other aporobopryus???),534,Aborobopyrus oviformis,NA,parasitic isopod,NA,NA,NA,adult,NA,N,present,"Morris, Abbott, & Haderlie",low,in gill chamber,solitary,mobile,NA,parasite,obligate specialist,NA,NA,NA,NA,NA,Pachycheles pubescens,NA,NA,Taxonomic,Species,1,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Pontogeneia melanophthalma,1383,Accedomoera melanophthalma,NA,gammarid,NA,NA,boreal western Pacific to California,adult,8,Both,present,Light & Smith,all,on mixed algae and sediments,solitary,mobile,NA,unknown,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,NA,NA,NA,NA,NA,NA,NA
Acetabulastoma californica�,1030,Acetabulostoma californica,NA,ostracod,NA,zooplankton,"Tomales Point, CA",adult,NA,N,present,Light & Smith,low,in the zone of the red alga Corallina gracilis; most are parasitic but this one's host is unknown,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Acmaea mitra�,196,Acmea mitra,NA,true limpet,white-cap limpet,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie",low,protected areas,solitary,mobile,encrusting coralline algae Lithothamnion and Lithophyllum;; red coralline algae,grazer,generalist,NA,red coralline algae grows on shell; shell burrowed by polydorid worm,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
Paracrenhydrosoma karlingi,1042,Acrenydrosoma karlingi,NA,copepod,NA,zooplankton,NA,adult,NA,NA,present,Light & Smith,low,Tidal pools with coarse sand,aggregating,mobile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,low,NA,NA,NA,NA,NA,NA,NA
