man_edits,id.x,species,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,aphia,kingdom,phylum,class,order,family,genus,subclass,infraclass,subterclass,superorder,superfamily,subphylum,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily,date_added,species.x,species2,species.y
NA,227,Haliotis corrugata,NA,abalone,pink abalone,NA,NA,adult,NA,S,very rare,"Morris, Abbott, & Haderlie; Light & Smith",low,"sedentary, occupies scar",solitary,mobile,drift algae,grazer,generalist,"humans, sea stars, Octopus sp.",NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,NA,445308,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Vetigastropoda,NA,NA,NA,Haliotoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,229,Haliotis cracherodii,NA,abalone,black abalone,NA,NA,adult,> 90 mm,Both,fairly common,"Morris, Abbott, & Haderlie; Light & Smith",all,"in crevices or under large rocks; M & H says ""common"" but that was in 80s",solitary,mobile,"drift algae, coralline algae, microalgal flim",grazer,generalist,"humans, Pisaster ochraceus, Octopus sp., Scorpaenichtys marmoratus, Enhydra lutris","Cliona celata, Penitella conradi, Betaeus harfordi",NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,405012,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Vetigastropoda,NA,NA,NA,Haliotoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,226,Haliotis fulgens,NA,abalone,green abalone,NA,NA,adult,NA,S,very rare,"Morris, Abbott, & Haderlie; Light & Smith",low,"M & H says ""fairly common"" but that was in 80s",solitary,mobile,"drift algae, Gelidium sp., Pterocladia sp., Plocamium sp., Gigartinot reported sp., Macrocystis pyrifera, Eisenia",grazer,generalist,humans,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,NA,NA,NA,NA,NA,NA,445325,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Vetigastropoda,NA,NA,NA,Haliotoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,225,Haliotis rufescens,NA,abalone,red abalone,NA,NA,adult,NA,Both,rare,"Morris, Abbott, & Haderlie; Light & Smith",low,"primarily sublittoral, extending to low intertidal in areas of considerable wave action in northern California.",solitary,mobile,algae,grazer,generalist,"otter, sheephead, Pisaster ochraceus, Cancer antennarius, humans",NA,NA,"Cliona celata, Penitella conradi",NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,445357,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Vetigastropoda,NA,NA,NA,Haliotoidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2149,Echinorhynchus gadi,NA,acanthocephalan,NA,NA,NA,adult,NA,NA,present,"205, 147",all,NA,solitary,sessile,not reported,parasite,obligate generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,100599,Animalia,Acanthocephala,Palaeacanthocephala,Echinorhynchida,Echinorhynchidae,Echinorhynchus,NA,NA,NA,NA,NA,NA,Echinorhynchinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/18/24,NA,NA,NA
NA,2150,Corynosoma sp.,NA,acanthocephalan,NA,NA,NA,juvenile,NA,NA,present,205,all,NA,solitary,sessile,not reported,parasite,obligate generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/18/24,NA,NA,NA
NA,2151,Corynosoma sp.,NA,acanthocephalan,NA,NA,NA,adult,NA,NA,present,205,all,NA,solitary,sessile,not reported,parasite,obligate generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,20331,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/18/24,NA,NA,NA
NA,2175,Corynosoma strumosum,NA,acanthocephalan,NA,NA,NA,adult,NA,NA,present,205,all,NA,solitary,sessile,not reported,parasite,obligate generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,100614,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/18/24,NA,NA,NA
NA,2176,Corynosoma strumosum,NA,acanthocephalan,NA,NA,NA,cystacanth,NA,NA,present,205,all,NA,solitary,sessile,not reported,parasite,obligate generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,100614,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,Polymorphidae,Corynosoma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/18/24,NA,NA,NA
NA,2325,drift algae,NA,algae,NA,NA,varies,NA,NA,Both,common,NONE,all,"varies, can be epiphytic",colonial,sessile,not reported,primary producer,NA,NA,NA,NA,NA,NA,NA,NA,NA,Common Name,Assemblage,NA,add,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/1/24,drift algae,drift algae,NA
