id,species,coll_loc,coll_date,group_y_n,habitat,zone,weight,measurement_select,measurement (mm),measurement_select,measurement,sex,age_stage,condition,stomach_contents,ectos,endos,epis,other_symbs,Final_ID,ID confidence,count,diss_date,dissector,notes,image_loc,vial_loc,
69,Doriopsilla albopunctata,Cambria,17 June 2022,,boulder,high,,body length,25,,,M/F,unknown,,,,,,,,,,23 June 2022,DF,Nothing found in host,,10A,
70,Doris montereyensis,Cambria,17 June 2022,,boulder,high,,body length,24,,,M/F,unknown,,,,,,,,,,23 June 2022,DF,Nothing found in host,,11A,
87,Heptacarpus carinatus,Rancho Marino,9 September 2022,,tidepool,low,,total length,19,,,unknown,unknown,deceased,,ciliates,,,,ciliate_1,,50+,3Oct22,DF,Nothing found in host,,,
77,Hermissenda sp.,Cambria,17 June 2022,,boulder,high,,body length,9,,,M/F,unknown,,,,,,,,,,27 June 2022,DF,Nothing found in host,,15A,
37,Kelletia kelletii,Ellwood Boulder Field,3 May 2022,,boulder,high,,body length,103,,,M,unknown,,,,,,,,,,3 June 2022,DF,Nothing found in host,https://drive.google.com/drive/u/1/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
62,Kelletia kelletii,Ellwood Boulder Field,3 May 2022,,boulder,high,,body length,88,,,M,unknown,,,,,,,,,,09 June 2022,AD,Nothing found in host,,,
63,Kelletia kelletii,Ellwood Boulder Field,3 May 2022,,boulder,high,,body length,100,,,M,unknown,,,,,,,,,,09 June 2022,DF,Nothing found in host,,,
85,Lophopanopeus leucomanus,Rancho Marino,,,tidepool,middle,,carapace width,11.5,,,M,unknown,,,,Tapeworm larva?,,,cestode_1,,1,16Aug2022,DF,,,,
85,Lophopanopeus leucomanus,Rancho Marino,,,tidepool,middle,,carapace width,11.5,,,M,unknown,,,,nematode,,,,,,16Aug2022,DF,,,,
85,Lophopanopeus leucomanus,Rancho Marino,,,tidepool,middle,,carapace width,11.5,,,M,unknown,,,,,,,,,,16Aug2022,DF,,,,
1,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,4.5,,,M,unkown,,unkown thing,,,,,,,,13May2022,DF,unknown thing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
2,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,9.5,,,F,Unkown,,,,,,,,,,13May2022,AD,Nothing found in Host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
3,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,10,,,F,Unkown,,,,,,,,,,13May2022,AD,Nothing found in Host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
4,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,9,,,M,Unkown,,,,,,,,,,13May2022,AD,Nothing found in Host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
5,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,21,,,M,unknown,,,,,Barnacle(un id),,,,1,13May2022,AD,Nothing found in Host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
6,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,18,,,M,unknown,,,,,,,,,,13May2022,AD,Nothing found in Host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
8,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,10,,,M,Unknown,,,,,,,,,,14May2022,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
9,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,10,,,F,Unknown,,,,,,,,,,14May2022,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
10,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,20,,,F,unknown,,,,,,,,,,14May2022,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
11,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,14,,,F,unkown,,,,,,,,,,14May2022,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
12,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,19,,,M,unknown,,,,,,,,,,14May2022,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
13,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,8,,,F,unkown,,,,,,,,,,14May2022,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
14,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,14,,,F,unknown,,,,,,,,,,14May2022,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
15,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,9,,,F,unknown,,,,,Barnacle (un id),,,,13,14May2022,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
16,Lottia sp.,Ellwood Boulderfield,3 May 2022,y,boulder,high,,shell width,11,,,M,unknown,,,,,Barnacle (un id),,,,16,14May2022,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
18,Lottia sp.,VSFB,10 May 2022,y,boulder,high,,shell width,10,,,F,unknown,,,,,,,,,,20May2022,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
27,Lottia sp.,Ellwood Boulderfield (taken from box closest to the edge of the table),3 May 2022,,boulder,high,,shell width,15,,,F,unknown,,,,,,,,,,27 May 22,DF,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
46,Lottia sp.,Hammonds Boulder Field,3 May 2022,,boulder,high,,shell width,15,,,F,gravid,,,,,,,,,,07 June 2022,AD,Nothing found in host,,,
57,Lottia sp.,VSFB,10 May 2022,,boulder,high,,shell width,10,,,M,unknown,,,,,,,,,,08 June 2022,AD,Nothing found in host,,Different from the one below; I missnumbered it; you can tell them apart in the pics by the location,
57,Lottia sp.,Ellwood Boulderfield,3 May 2022,,boulder,high,,shell width,17,,,M,unknown,,,,,,,,,,08 June 2022,AD,Nothing found in host,,Different from the one above; I missnumbered it; you can tell them apart in the pics by the location,
58,Lottia sp.,Ellwood Boulderfield,3 May 2022,,boulder,high,,shell width,18,,,F,gravid,,,,,,,,,,08 June 2022,AD,Nothing found in host,,,
59,Lottia sp.,Ellwood Boulderfield,3 May 2022,,boulder,high,,shell width,19,,,M,unknown,,,,,,,,,,08 June 2022,AD,Nothing found in host,,,
60,Lottia sp.,Ellwood Boulderfield,3 May 2022,,boulder,high,,shell width,21,,,F,gravid,,,,,seaweed,,,,,08 June 2022,AD,Nothing found in host,,,
86,Northern Clingfish,Rancho Marino,,,tidepool,low,,standard length,65,total length,78,F,not gravid,,,,unknown metacercariae in body cavity and musculature,,,metacercaria_1,,,,ZZ,,187-189 are at 20x,,
86,Northern Clingfish,Rancho Marino,,,tidepool,low,,standard length,65,total length,78,F,not gravid,,arthropod leg?,,,,,,,1,25Aug22,AD,,photo at 8x mag,,
86,Northern Clingfish,Rancho Marino,,,tidepool,low,,standard length,65,total length,78,F,not gravid,,,,,,,,,,25Aug22,,,,,
86,Northern Clingfish,Rancho Marino,,,tidepool,low,,standard length,65,total length,78,F,not gravid,,,,Unknown metacercariae in liver,,,metacercaria_1,,1,25Aug22,DF,,194-195 at 45x,A26,
86,Northern Clingfish,Rancho Marino,,,tidepool,low,,standard length,65,total length,78,F,not gravid,,,,Unknown metacercariae in gills,,,metacercaria_1,,1,25Aug22,AD,,45x,,
86,Northern Clingfish,Rancho Marino,,,tidepool,low,,standard length,65,total length,78,F,not gravid,,,,Sphaeromyxa,,,Sphaeromyxa sp.,3 - AK,unknown,25Aug22,ZZ,,,A25,
86,Northern Clingfish,Rancho Marino,,,tidepool,low,,standard length,65,total length,78,F,not gravid,,,,,,,,,,25Aug22,ZZ,,,,
71,Okenia rosacea?,Cambria,17 June 2022,,boulder,high,,body length,18.5,,,M/F,gravid?,,,,,,,,,,27 June 2022,DF,"Possible egg brooding, unsure",,12A,
72,Okenia rosacea?,Cambria,17 June 2022,,boulder,high,,body length,12,,,M/F,unknown,,,,,,,,,,27 June 2022,DF,Nothing found in host,,13A,
19,Pag Gra,VSFB,10 May 2022,y,boulder,high,,body length,17,,,M,unknown,,unknown things,,,,,,,~20,20May2022,AD,unknown thing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
24,Pag Gra,VSFB,10 May 2022,,boulder,high,,body length,14,,,M,unknown,,,,,,,,,,24 May 22,AD,Nothing found,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
28,Pag Gra,VSFB,10 May 2022,,boulder,high,,body length,11,,,M,unknown,,,,,,Polychaete (#29 in this list),polychaete_1,,1,27 May 2022,AD,Polycheate found wrapped around host body,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
28,Pag Gra,VSFB,10 May 2022,,boulder,high,,body length,11,,,M,unknown,,,,,,Polychaete larve (un id),polychaete_1,,<100,27 May 2022,AD,Polycheate found wrapped around host body,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
31,Pag Gra,VSFB,10 May 2022,,boulder,high,,body length,11,,,M,unknown,,,,,,,,,,27 May 2022,AD,Nothing found in host,https://drive.google.com/drive/u/1/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
64,Pag Gra,Cambria,17 June 2022,,boulder,high,,body length,23,,,F,egg brooding/gravid,,,,white webbing,,,,,,17 June 2022,AD,,,,
66,Pag Gra,Cambria,17 June 2022,,boulder,high,,body length,21,,,F,egg brooding/gravid,,,,white webbing,,,,,,17 June 2022,AD,,,,
68,Pag Gra,Cambria,17 June 2022,,boulder,high,,body length,25,,,M/F,unknown,,,,,,,,,,17 June 2022,AD,,,,
73,Pag Gra,Cambria,17 June 2022,,boulder,high,,body length,21,,,F,gravid,,,,,,,,,,27 June 2022,AD,Nothing found in host,,,
74,Pag Gra,Cambria,17 June 2022,,boulder,high,,body length,18,,,F,gravid,,,,,,,,,,27 June 2022,AD,Nothing found in host,,,
79,Pag Gra,Cambria,17 June 2022,,boulder,high,,body length,15,,,M,unknown,,,,white webbing,,,,,,27June 2022,AD,,,A16,
25,Pag Hir,Alegria Beach,24May2022,,boulder,high,,body length,15,,,M/F,unknown,,,,Peltogasterella sp.,,,Peltogasterella gracilis,3 - MT,5,24 May 22,AD,unknown thing found on host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
26,Pag Hir,VSFB,10 May 2022,,boulder,high,,body length,11,,,F,gravid,,,,,,,,,,24 May 22,AD,Nothing found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
30,Pag Hir,VSFB,10 May 2022,,boulder,high,,body length,9,,,M,unknown,,,,,,,,,,27 May 2022,DF,Nothing found in host,https://drive.google.com/drive/u/1/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
47,Pag Hir,Ellwood Boulderfield,3 May 2022,,boulder,high,,body length,12,,,F,egg brooding+gravid,,,,,,,,,,08 June 2022,AD,Nothing found in host,,,
48,Pag Hir,Ellwood Boulderfield,3 May 2022,,boulder,high,,body length,14,,,F,gravid,,,Unknown sesame things on telson,,,,,,19,08 June 2022,AD,Nothing found in host,,,
49,Pag Hir,Ellwood Boulderfield,3 May 2022,,boulder,high,,body length,10.3,,,M,unknown,,,,,,,,,,08 June 2022,AD,Nothing found in host,,,
50,Pag Hir,Ellwood Boulderfield,3 May 2022,,boulder,high,,body length,12,,,F,gravid,,,,,,,,,,08 June 2022,AD,Nothing found in host,,,
51,Pag Hir,Ellwood Boulderfield,3 May 2022,,boulder,high,,body length,12,,,F,gravid,,,,,,,,,,08 June 2022,AD,Nothing found in host,,,
52,Pag Hir,Ellwood Boulderfield,3 May 2022,,boulder,high,,body length,9,,,F,gravid,,,,,,,,,,08 June 2022,AD,Nothing found in host,,,
53,Pag Hir,Ellwood Boulderfield,3 May 2022,,boulder,high,,body length,13,,,F,gravid,,,,,,,,,,08 June 2022,AD,Nothing found in host,,,
54,Pag Hir,Ellwood Boulderfield,3 May 2022,,boulder,high,,body length,10,,,M,unknown,,,,,,,,,,08 June 2022,AD,Nothing found in host,,,
55,Pag Hir,Ellwood Boulderfield,3 May 2022,,boulder,high,,body length,11,,,F,gravid,,,,,,,,,,08 June 2022,AD,Nothing found in host,,,
56,Pag Hir,Ellwood Boulderfield,3 May 2022,,boulder,high,,body length,11,,,F,gravid,,,,,,,,,,08 June 2022,AD,Nothing found in host,,,
75,Pag Hir,Cambria,17 June 2022,,boulder,high,,body length,14,,,M/F,unknown,,,,Rhizocephala,,,Peltogasterella gracilis,3 - MT,,27 June 2022,AD,,,,
7,Pag Sam,Ellwood Boulderfield,3 May 2022,y,boulder,high,,body length,31,,,F,gravid,,,,Trypanorhynch subadult,,,trypanorhynch_1,,1,13May2022,ZZ,tapeworm was just swimming around(no location),https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
17,Pag Sam,Ellwood Boulderfield (taken from box closest to the edge of the table),3 May 2022,y,boulder,high,,body length,27,,,F,egg brooding,,,,Nematode (unid),,,nematode_1,,2,14May2022,AD,nematode found in host,https://drive.google.com/drive/u/0/folders/1MOWqh3fzFRjtWB5ZVtZBgSKfJi_2JwHc,,
