INITIALS,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,link.ID,ref_num,localities,zone,pools_exposed_interstitial,MorrisHaderlie,epibiota_consumed,notes,#
ZZ,677,ciliate_1,,1,513,Heptacarpus carinatus,,1,9,,1,6,,87,Rancho Marino,low,pools,,,,
ZZ,679,cestode_2,3,3,557,Lophopanopeus leucomanus,,1,6,,1,6,,85,Rancho Marino,middle,pools,,,,
ZZ,678,cestode_1,3,3,557,Lophopanopeus leucomanus,,1,6,,1,6,,85,Rancho Marino,middle,pools,,,,
ZZ,691,nematode_7,,1,557,Lophopanopeus leucomanus,,1,6,,1,6,,85,Rancho Marino,middle,pools,,,,
ZZ,681,metacercaria_1,,5,19,Gobeisox maeandricus,,1,6,,1,6,,86,Rancho Marino,low,pools,,,,
ZZ,681,metacercaria_1,,5,19,Gobeisox maeandricus,,1,6,,1,6,,86,Rancho Marino,low,pools,,,,
ZZ,681,metacercaria_1,,5,19,Gobeisox maeandricus,,1,6,,1,6,,86,Rancho Marino,low,pools,,,,
ZZ,683,Sphaeromyxa sp.,,1,19,Gobeisox maeandricus,,1,5,,1,6,,86,Rancho Marino,low,pools,,,,
ZZ,680,polychaete_1,,1,527,Pagurus granosimanus,,1,9,,1,6,,28,VSFB,high,pools,,,,
ZZ,680,polychaete_1,,3,527,Pagurus granosimanus,,1,9,,1,6,,28,VSFB,high,pools,,,,
ZZ,473,Peltogasterella gracilis,,1,525,Pagurus hirsutiusculus,,1,6,,1,1,,25,Alegria Beach,high,pools,,,,
ZZ,473,Peltogasterella gracilis,,1,525,Pagurus hirsutiusculus,,1,6,,1,1,,75,Cambria,high,pools,,,,
ZZ,684,trypanorhynch_1,,?,524,Pagurus samuelis,,1,6,,1,6,,7,Ellwood Boulderfield,high,pools,,,,
ZZ,685,nematode_1,,1,524,Pagurus samuelis,,1,6,,1,6,,17,Ellwood Boulderfield (taken from box closest to the edge of the table),high,pools,,,,
ZZ,686,nematode_2,,1,524,Pagurus samuelis,,1,6,,1,6,,18,VSFB,high,pools,,,,
ZZ,688,nematode_4,,1,524,Pagurus samuelis,,1,6,,1,6,,23,VSFB,high,pools,,,,
ZZ,473,Peltogasterella gracilis,,1,524,Pagurus samuelis,,1,6,,1,1,,35,Ellwood Boulderfield (taken from box closest to the edge of the table),high,pools,,,,
ZZ,473,Peltogasterella gracilis,,1,524,Pagurus samuelis,,1,6,,1,1,,65,Cambria,high,pools,,,,
ZZ,473,Peltogasterella gracilis,,1,524,Pagurus samuelis,,1,6,,1,1,,67,Cambria,high,pools,,,,
ZZ,692,nematode_8,,1,529,Petrolisthes eriomerus,,1,6,,1,6,,84,Rancho Marino,middle,pools,,,,
ZZ,682,metacercaria_2,,5,529,Petrolisthes eriomerus,,1,6,,1,6,,84,Rancho Marino,middle,pools,,,,
ZZ,689,nematode_5,,1,529,Petrolisthes eriomerus,,1,6,,1,6,,89,Rancho Marino,low,pools,,,,
ZZ,687,nematode_3,,1,NA,Unknown shrimp,,1,6,,1,6,,21,Alegria Beach,mid,pools,,,,
ZZ,690,nematode_6,,1,558,Paraxanthias taylori,,1,7,,1,6,,78,Cambria,high,pools,,,,
ZZ,693,opecoelid_metacercaria_3,,5,549,Cancer antennarius,,1,6,,1,6,,DecaProj1,Hammond's Beach,low,pools,,,,
ZZ,700,copepod_1,,,549,Cancer antennarius,,1,7,,1,6,,DecaProj1,Mussel Shoals,low,pools,,,,
ZZ,701,nematode_9,,,549,Cancer antennarius,,1,6,,1,6,,DecaProj2,Mussel Shoals,low,pools,,,,
ZZ,695,metacercaria_4,,5,702,Crangon alaskensis,,1,6,,1,0,,DecaProj3,Hammond's Beach,middle,pools,,,,
ZZ,693,opecoelid_metacercaria_3,,5,513,Heptacarpus carinatus,,1,6,,1,6,,DecaProj4,Hammond's Beach,middle,pools,,,,
ZZ,693,opecoelid_metacercaria_3,,5,513,Heptacarpus carinatus,,1,6,,1,6,,DecaProj5,Miramar Beach,middle,pools,,,,
ZZ,696,metacercaria_5,,5,513,Heptacarpus carinatus,,1,6,,1,6,,DecaProj6,Miramar Beach,middle,pools,,,,
ZZ,693,opecoelid_metacercaria_3,,5,515,Heptacarpus paludicola,,1,6,,1,6,,DecaProj7,Arroyo Hondo,middle,pools,,,,
ZZ,697,metacercaria_6,,5,515,Heptacarpus paludicola,,1,6,,1,6,,DecaProj8,Shell Beach,middle,pools,,,,
