INITIALS,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed_interstitial,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
ZZ,328,Doriopsilla albopunctata,nudibranch,1,66,Cliona celata,sponge,1,3,,3,,MAH,,,pools,y,,,1,
ZZ,306,Tylodina fungina,nudibranch,1,64,Aplysina fistularis,sponge,1,3,,3,,MAH,,,pools,y,,,2,
ZZ,326,Diaulula sandiegensis,nudibranch,1,70,Haliclona sp. ,sponge,1,3,,3,,MAH,,,pools,y,,,3,
ZZ,312,Cadlina luteomarginata,nudibranch,1,71,Higginsia sp.,sponge,1,3,,3,,MAH,,,pools,y,,,4,
ZZ,319,Rostanga pulchra,nudibranch,1,77,Ophlitaspongia pennata,sponge,1,3,,3,,MAH,,,pools,y,,,5,
ZZ,320,Aldisa sanguinea,nudibranch,1,77,Ophlitaspongia pennata,sponge,1,3,,3,,MAH,,,pools,y,,,6,
ZZ,317,Hypselodoris californiensis,nudibranch,1,77,Ophlitaspongia pennata,sponge,1,3,,3,,MAH,,,pools,y,,,7,
ZZ,88,Sertularia furcata,hydroid,1,607,Phyllospadix torreyi,sea grass,1,2,,3,,MAH,,,pools,y,,,8,
ZZ,88,Sertularia furcata,hydroid,1,608,Phyllospadix scouleri,surfgrass,1,2,,3,,MAH,,,pools,y,,,9,
ZZ,1942,Dendronotus subramosus,nudibranch,1,91,Aglaophenia struthionides,hydroid,1,2,,3,,MAH,,,pools,y,,,10,
ZZ,358,Aeolidia loui ,nudibranch,1,102,Epiactis prolifera,anemone,1,1,,3,,MAH,,,pools,y,,,11,
ZZ,143,Dermasterias imbricata,sea star,1,102,Epiactis prolifera,anemone,1,1,,3,,MAH,,,pools,y,,,12,
ZZ,112,Imogine tripartitus,flatworm,1,467,Paraconcavus pacificus,Barnacle,1,1,,3,,MAH,,,both,y,,,13,
ZZ,114,Notoplana acticola,flatworm,1,319,Rostanga pulchra,nudibranch,1,1,,3,,MAH,,,both,y,,,14,
ZZ,114,Notoplana acticola,flatworm,1,199,Lottia digitalis,Limpet,1,1,,3,,MAH,,,both,y,,,15,
ZZ,114,Notoplana acticola,flatworm,1,2339,Balanus sp.,barnacle,1,1,,3,,MAH,,,both,y,,,16,
EMH,2,Gibbonsia elegans,fish,1,475,Cirolana harfordi,isopod,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,17,
EMH,2,Gibbonsia elegans,fish,1,493,Idotea urotoma,isopod,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,reported as rectilinea,18,
EMH,2,Gibbonsia elegans,fish,1,490,Pentidotea wosnesenskii,isopod,1,1,,3,,RIZ Lit Search: 7,Los Angeles,,,,,,19,
