nodeNum,species,synonymies,organismal_category,common_name,range,body_size_mm,province,commonality,reference_justification,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,trophic_strategy,notes,node_type,node_resolution,aphia,kingdom,phylum,class,order,family,genus,life_stage,web_enter_code,clean_stage
66,Cliona celata,NA,sponge,boring sponge,NA,NA,Both,present,"Morris, Abbott, & Haderlie",NA,NA,NA,sessile,filter feeder,NA,Taxonomic,Species,134121,Animalia,Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,adult,3,1
64,Aplysina fistularis,NA,sponge,NA,NA,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",NA,NA,colonial,sessile,filter feeder,NA,Taxonomic,Species,169648,Animalia,Porifera,Demospongiae,Verongiida,Aplysinidae,Aplysina,adult,3,1
70,Haliclona sp.,Prianos sp.,sponge,NA,NA,NA,Both,abundant,"Morris, Abbott, & Haderlie",NA,NA,colonial,sessile,filter feeder,NA,Taxonomic,Genus,NA,Animalia,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,adult,3,1
71,Higginsia sp.,NA,sponge,NA,NA,NA,N,present,"Morris, Abbott, & Haderlie",NA,NA,colonial,sessile,filter feeder,NA,Taxonomic,Genus,NA,Animalia,Porifera,Demospongiae,Axinellida,Stelligeridae,Higginsia,adult,3,1
607,Phyllospadix torreyi,NA,angiosperm,surfgrass,NA,NA,Both,common,NA,NA,NA,aggregating,sessile,primary producer,NA,Taxonomic,Species,374709,Plantae,NA,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,adult,1,1
608,Phyllospadix scouleri,NA,angiosperm,surfgrass,NA,NA,Both,common,NA,NA,NA,aggregating,sessile,primary producer,NA,Taxonomic,Species,374707,Plantae,NA,Magnoliopsida,Alismatales,Zosteraceae,Phyllospadix,adult,1,1
91,Aglaophenia struthionides,NA,hydroid,ostrich plume hydroid,Alaska to Southern California,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,exposed rocky shores,colonial,sessile,filter feeder,NA,Taxonomic,Species,284054,Animalia,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,Aglaophenia,hydroid colony,3,5
102,Epiactis prolifera,NA,anemone,NA,NA,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith","middle, low","on open coast on rocks, algae,, seagrass",solitary,sessile,filter feeder,externally broods young of various sizes simultaneously,Taxonomic,Species,283435,Animalia,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,Epiactis,adult,3,1
467,Paraconcavus pacificus,Balanus,barnacle,NA,NA,NA,Both,present,"Morris, Abbott, & Haderlie",low,"on other organisms, sometimes on rocks",aggregating,sessile,filter feeder,avoids predation by everything in quotes,Taxonomic,Species,535307,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Paraconcavus,adult,3,1
319,Rostanga pulchra,NA,nudibranch,red sponge nudibranch,NA,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",low,"on red siliceous sponges, move from sponge to sponge",solitary,mobile,micropredator,not all prey are intertidal,Taxonomic,Species,533391,Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Rostanga,adult,5,1
199,Lottia digitalis,NA,true limpet,ribbed limpet,NA,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",high,vertical surfaces,aggregating,mobile,grazer,NA,Taxonomic,Species,456588,Animalia,Mollusca,Gastropoda,NA,Lottiidae,Lottia,adult,3,1
2339,Balanus sp.,NA,barnacle,NA,NA,NA,Both,common,NA,all,NA,aggregating,sessile,filter feeder,NA,Taxonomic,Genus,106122,Animalia,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,adult,1,1
475,Cirolana harfordi,NA,isopod,rock isopod,NA,NA,Both,common,"Morris, Abbott, & Haderlie",middle,"under stones, in mussel beds",solitary,mobile,carnivore (scavenger + predator),also a scavenger,Taxonomic,Species,256526,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Cirolana,adult,2,1
493,Idotea urotoma,NA,isopod,NA,"Puget Sound, WA to Bahia la Paz, Gulf of California",NA,Both,common,"Morris, Abbott, & Haderlie; LIght & Smith",middle to low,"under bryozoan-encrusted rocks, on kelp holdfasts, algae covered rocks",solitary,mobile,grazer,little known,Taxonomic,Species,257355,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,adult,1,1
490,Pentidotea wosnesenskii,Idotea wosnesenskii,isopod,NA,"Aleutian Islands, AK to San Francisco Bay, CA",NA,N,common,"Morris, Abbott, & Haderlie",middle to low,"mussel beds, Ulva, Porphyra, brown algae",solitary,mobile,scavenger,NA,Taxonomic,Species,711956,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,adult,2,1
1253,Pentidotea resecata,Idotea resecata,isopod,NA,"Alaska to Bahia Trotola, Baja California Sur, Gulf of California",NA,Both,present,Light & Smith,all,"living in Macrocystis, Egregia, Zostera",solitary,mobile,grazer,NA,Taxonomic,Species,325482,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,adult,1,1
430,Platynereis bicanaliculata,Platynereis agasizii,polychaete,NA,NA,20mm,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",low,"mucus tubes in algae fronds, holdfasts,, surfgrass; Abundant in protected rocky habitats among algal holdfasts; builds tubes, aggregates; with Phyllospadix.",solitary,mobile,grazer,NA,Taxonomic,Species,334557,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Platynereis,adult,4,1
609,Protohyale (Protohyale) frequens,Hyale frequens,gammarid,NA,NA,10,S,abundant,304; Light & Smith,all,"tidepools, kelp holdfasts; particularly abundant among Phyllospadix roots, coralline algae of open, semiprotected coasts;",solitary,mobile,grazer,Washington??,Taxonomic,Species,491479,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyalidae,Protohyale,adult,1,1
190,Fissurella volcano,NA,limpet,keyhole limpet,NA,NA,Both,abundant,"Morris, Abbott, & Haderlie; Light & Smith",middle,NA,solitary,mobile,grazer,NA,Taxonomic,Species,527881,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Fissurella,adult,3,1
736,Lottia conus,Acemea cona,true limpet,cone limpet,NA,NA,NA,common,NA,high,exposed,solitary,mobile,grazer,NA,Taxonomic,Species,715276,Animalia,Mollusca,Gastropoda,NA,Lottiidae,Lottia,adult,2,1
1286,Gammaropsis thompsoni,Eurystheus tenuicornis (was #740),gammarid,NA,"San Francisco Bay, California, to Gulf of California",11.5,N,present,Light & Smith,all,"Among encrusting animals, in algal holdfasts; pools",solitary,mobile,filter feeder,NA,Taxonomic,Species,548589,Animalia,Arthropoda,Malacostraca,Amphipoda,Photidae,Gammaropsis,adult,1,1
501,Ampithoe plumulosa,NA,gammarid,NA,NA,NA,Both,common,"Morris, Abbott, & Haderlie",low,"in tubes, on wet intertidal algae, surfgrass",solitary,mobile,grazer,little known,Taxonomic,Species,423115,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,adult,1,1
489,Pentidotea aculeata,NA,isopod,NA,NA,NA,Both,present,"Morris, Abbott, & Haderlie; Light & Smith",low,"on Phyllospadix, pink coralline algae (Bossea), other RIZ algae",solitary,mobile,scavenger,rare in central CA,Taxonomic,Species,711955,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,adult,2,1
515,Heptacarpus paludicola,NA,shrimp,NA,NA,NA,NA,common,Light & Smith,middle,"In Zostera beds, on algae, such as Ulva, in shallow pools on mudflats; on wharf pilings, floats; also in mid-intertidal pools of rocky coast;",solitary,mobile,scavenger,NA,Taxonomic,Species,515262,Animalia,Arthropoda,Malacostraca,Decapoda,Thoridae,Heptacarpus,adult,2,1
524,Pagurus samuelis,NA,hermit crab,blue banded hermit crab,NA,NA,Both,abundant,"Morris, Abbott, & Haderlie",high to middle,tidepools,aggregating,mobile,scavenger,NA,Taxonomic,Species,366786,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,adult,2,1
543,Mimulus foliatus,NA,true crab,decorator crab,NA,NA,N,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",low,"under rocks, more common subtidally; among algae, under rocks, often encrusted with sponges or bryozoans",solitary,mobile,grazer,are the animals/algae growing on commensal?,Taxonomic,Species,441474,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Mimulus,adult,1,1
540,Pugettia gracilis,NA,true crab,graceful kelp crab,NA,NA,N,present,"Morris, Abbott, & Haderlie; Light & Smith",low,"in eelgrass, kelp",solitary,mobile,grazer,NA,Taxonomic,Species,441478,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,adult,1,1
2,Gibbonsia elegans,NA,fish,spotted kelpfish,"Piedras Blancas Point in central California, USA to southern Baja California, Mexico",1600,Both,present,D. Canestro; FishBase,NA,Found from subtidal rocky areas usually in seaweed,solitary,mobile,typical predator,"Eggs are attached in algal nest, brooded by male parent",Taxonomic,Species,280833,Animalia,Chordata,Teleostei,Blenniiformes,Clinidae,Gibbonsia,adult,1,1
1,Gibbonsia metzi,NA,fish,striped kelpfish,"Vancouver Island, British Columbia, Canada to central Baja California, Mexico",2400,Both,present,D. Canestro; FishBase,NA,"Found among seaweeds, especially in tide pools, kelp",solitary,mobile,typical predator,confirm whether to include,Taxonomic,Species,280835,Animalia,Chordata,Teleostei,Blenniiformes,Clinidae,Gibbonsia,adult,1,1
