id.x,species,alternate_nomenclature,category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,id.y,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,superfamily,family,genus,subphylum,order,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily
1863,Aartsenia pupiformis,NA,snail,NA,NA,Columbia River to Point Conception,adult,NA,N,unclear,Light & Smith,all,"ectoparasitic on invertebrate hosts, in general",solitary,mobile,NA,parasite,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,1674307,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Pylopulmonata,Pyramidelloidea,Pyramidellidae,Aartsenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
954,Abietinaria filicula,NA,hydroid,NA,NA,to San Francisco,hydroid colony,<1000,N,present,Light & Smith,all,on intertidal rocks,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,117871,Animalia,Cnidaria,Hydrozoa,Hydroidolina,NA,NA,NA,Sertularioidea,Sertulariidae,Abietinaria,Medusozoa,Leptothecata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
955,Abietinaria greenei,NA,hydroid,NA,NA,to Monterey Bay,hydroid colony,300,N,present,Light & Smith,all,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,285366,Animalia,Cnidaria,Hydrozoa,Hydroidolina,NA,NA,NA,Sertularioidea,Sertulariidae,Abietinaria,Medusozoa,Leptothecata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
956,Abietinaria inconstans,NA,hydroid,NA,NA,Alaska to Mexico,hydroid colony,NA,Both,present,Light & Smith,all,NA,colonial,sessile,NA,filter feeder,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,285368,Animalia,Cnidaria,Hydrozoa,Hydroidolina,NA,NA,NA,Sertularioidea,Sertulariidae,Abietinaria,Medusozoa,Leptothecata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,Abietinaria sp.,NA,hydroid,NA,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",low,little known,colonial,sessile,NA,filter feeder,generalist,Doto sp.,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Genus,3,fix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,Acanthancora cyanocrypta,Hymenamphiastra cyanocrypta,sponge,NA,NA,NA,adult,NA,Both,uncommon,"Morris, Abbott, & Haderlie; Light & Smith",very low,NA,NA,sessile,NA,filter feeder,generalist,Peltodoris nobilis,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,3,fix,NA,NA,NA,NA,NA,169126,Animalia,Porifera,Demospongiae,Heteroscleromorpha,NA,NA,NA,NA,Hymedesmiidae,Acanthancora,NA,Poecilosclerida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,Acanthina paucilirata,NA,snail,checkered unicorn,NA,NA,adult,NA,S,very rare,"Morris, Abbott, & Haderlie",high,potentially moving north?,solitary,mobile,NA,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,580789,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Muricoidea,Muricidae,Acanthina,NA,Neogastropoda,Ocenebrinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,Acanthinucella punctulata,Acanthina,snail,spotted unicorn,NA,NA,adult,25mm,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",high,"moderate surf, more in pools/wet areas",solitary,mobile,"Balanus glandula, Cthalamus dalli, Littorina scutulata, Littorina planaxis, Nucella emarginata, Lasaea cistula, Tegula funebralis",typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,404474,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Muricoidea,Muricidae,Acanthinucella,NA,Neogastropoda,Ocenebrinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
627,Acanthinucella punctulata,Acanthina,snail,spotted unicorn,NA,NA,hatchling,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",high,"moderate surf, more in pools/wet areas",solitary,mobile,NA,NA,NA,Lepstasterias hexactis (hatchlings only),NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,404474,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Muricoidea,Muricidae,Acanthinucella,NA,Neogastropoda,Ocenebrinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,Acanthinucella spirata,Acanthina spirata,snail,angular unicorn,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie; Light & Smith",high to middle,"Where the unicorn snails A. punctulata and A. spirata occur together, as at Monterey, spirata generally is in the lower, and punctulata in the upper intertidal",solitary,mobile,barnacles and mollusks,typical predator,generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,high,404477,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Muricoidea,Muricidae,Acanthinucella,NA,Neogastropoda,Ocenebrinae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
