reference_number,title,author,year,link_or_doi
1,Multiple components in ink of the sea hare aplysia californica are aversive to the sea anemone anthopleura sola,Cynthia E.KicklighterCharles D.Derby,2006,NA
2,"Predation on the california sea hare, aplysia californica cooper, by the solitary great green sea anemone, anthopleura xanthogrammica (brandt), and the effect of sea hare toxin and acetylcholine on anemone muscle",LINDSAY R. WINKLER and BERNARD E. TILTONl,1962,NA
3,Feeding behavior and acquisition of zooxanthellae by planula larvae of the sea anemone anthopleura elegantissima,"J. Schwarz, V. Weis & D. Potts",2001,NA
4,An analysis of the defensive mechanisms observed in the anemone anthopleura elegantissima in response to its nudibranch predator aeolidia papillosa,LARRY G. HARRIS and NATHAN R. HOWE,1979,NA
5,Feeding behavior of anthopluera artemisia and anthopleura elegantissima,M. Anna Sease,2008,NA
6,"Viable algae released by the seastar dermasterias imbricata feeding on the symbiotic sea anemone anthopleura elegantissima
",Sarah Bachman & Gisèle Muller-Parker,2007,NA
7,An analysis of stomach contents of california tide pool fishes,"Mitchell, Donald F.",1953,NA
8,Myxosporidia from tide pool fishes of california,Elmer R. Noble,1939,NA
9,"A new species of trematode, podocotyle gibbonsia, from tide pool fishes of monterey bay, california",William F. Johnson,1949,NA
10,The role of sea urchins in mediating fish predation on a commensal isopod (crustacea: isopoda),Timothy D.Stebbinsab,1988,NA
11,Studies on amyloodinium ocellatum (dinoflflagellata) in mississippi sound: natural and experimental hosts,Adrian R. Lawler,1980,NA
12,"The comparative ecology of three sympatric species of california blennies of the genus hypsoblennius
Gill (teleostomi, blenniidae)","JOHN S. STEPHENS, JR., ROBERT K. JOHNSON,2 GERALD S. KEY,3 AND JOHN E. MCCOSKER2",1970,NA
13,Spatial and seasonal patterns of habitat partitioning in a guild of southern california tidepool fishes,Jana L. D. Davis,2000,NA
14,Foraging behavior and prey selection of the leather seastar dermasterias imbricata,Cynthia Annett and Raymond Pierotti,1984,NA
15,Feeding and predator-avoidance by the rose anemone urticina piscivora,R. Houtman · L. R. Paul · R. V. Ungemach · R. C. Ydenberg,1996,NA
16,Defense adaptations of the dendrochirote holothurian psolus chitonoides clark,"
BRIAN L. BINGHAM and LEE F. BRAITHWAITE",1986,NA
17,"Behavioral responses of seven species of asteroids to the ateroid predator, solaster dawsoni",H.D. Van Veldhuizen and V.J. Oakes,1981,NA
18,Evisceration behaviour and the seasonal incidence of evisceration in the holothurian eupentacta quinquesemita (selenka),Maria Byrne,1985,NA
19,Sea star disease and population declines at the channel islands,"Ginny L. Eckert1, John M. Engle2, David J. Kushner",2000,NA
20,Predation by patiria miniata (asteroidea) on bryozoans: prey diversity may depend on the mechanism of successi,R.W. Day and R.W. Osman,1981,NA
21,Effects of the starfish patiria miniata on the distribution of the sea urchin lytechinus anamesus in a southern californian kelp forest,"Stephen C. Schroeter, John Dixon & Jon Kastendiek",1983,NA
22,"Studies on the cardiac stomach of a starfish, patiria miniata (brandt)'","
JOHN MAXWELL ANDERSON",1959,NA
23,Turf assemblage of a macrocystis kelp forest : experiments on competition and herbivory,"Miles, A. Keith",1987,NA
24,Emerging infectious disease in sea stars: castrating ciliate parasites in patiria miniata,"J. Sunday*, L. Raeburn, M. W. Hart",2008,NA
25,Castration and mortality in pisaster ochraceus parasitized by orchitophrya stellarum (ciliophora).,"Leighton, B. J. ;  Boom, J. D. G. ;  Bouland, C. ;  Hartwick, E. B. ;  Smith, M. J.",1991,NA
26,Impact of temperature on an emerging parasitic association between a sperm-feeding scuticociliate and northeast pacific sea stars,Amanda E.BatesabWilliam B.SticklecChristopher D.G.Harleyb,2010,NA
27,The food of the starfish pisaster ochraceus along the california coast,Howard M. Feder,1959,NA
28,"Growth and predation by the ochre sea star, pisaster ochraceus (brandt), in monterey bay, california",Howard M. Feder,2012,NA
29,"Wasted and castrated: two diseases affecting the ochre star, pisaster ochraceus, in north america",Zoe Zilz-- haha it's your thesis paper from WWU!,2018,NA
30,Effects of food concentration and availability on the incidence of cloning in planktotrophic larvae of the sea star pisaster ochraceus,"
MINAKO S. VICKERY* AND JAMES B. MCCLINTOCK",2000,NA
31,"Population structure and reproduction of the fissiparous seastar, linckia columbiae gray, on santa catalina island, california",Florence A. McAlary,1993,NA
32,Genetic population structures of the blue starfish linckia laevigata and its gastropod ectoparasite thyca crystallina,"M. Kochzius1,*,**, C. Seidel1, 2, J. Hauschild1, 3, S. Kirchhoff1, P. Mester1, I. Meyer-Wachsmuth1, A. Nuryanto1, 4, J. Timm1",2009,NA
33,Prey capture by pisaster brevispinus (asteroidea: echinodermata) on soft substrate,"Van Veldhuizen, H.D., Phillips, D.W.",1978,NA
34,Characterization of three novel species of labyrinthulomycota isolated from ochre sea stars (pisaster ochraceus),"Rebecca FioRito, Celeste Leander, Brian Leander",2016,NA
35,"Reciprocal abundance shifts of the intertidal sea stars, evasterias troscheliiand pisaster ochraceus, following sea star wasting disease","Sharon W. C. Kay , Alyssa-Lois M. Gehman  and Christopher D. G. Harley",2019,NA
37,Association and distribution of the ciliate orchitophrya stellarum with asteriid sea stars on the west coast of north america,"William B. Stickle1,*, Eugene N. Kozloff 2",2008,NA
38,Interactions between a sea pen and seven of its predators,Charles Birkeland,1974,NA
39,"Reproductive biology of the commercial sea cucumber parastichopus californicus (stimpson) (echinodermata:holothuroidea). Ii. Observations on the ecology of development, recruitment, and the juvenile life stage",J.LaneCameronFankbonerPeter V.,1989,NA
40,"Defense mechanism and feeding behavior of pteraster tesselatus ives (echinodermata, asteroidea)",James Milton Nance,1976,NA
41,Life cycle of the symbiotic scaleworm arctonoe vittata (polychaeta: polynoidae),T A. Britayev,1991,NA
42,Neptunea pribiloffensis (dall 1919) and tealia crassicornia ( muller 1776) on a snail's use of babysitters,Ronald L. Shimek,1981,NA
43,Foettingeria actiniarum (parasitic in anemones).,W. De Morgan,1924,NA
44,"Development and juvenile growth of the sea anemone, urticina crassicornis",FU-SHIANG CHIA AND JAMES G. SPAULDING 1,1972,NA
45,Reproductive isolation with little genetic divergence between urticina (=tealia) felina and u. eques(anthozoa: actiniaria),"A. M. Solé-Cava, J. P. Thorpe and J. G. Kaye",1985,NA
46,"Actiniae collected by the s.s. ""Huxley"" in the north sea during the summer of 1907",Chas. L. Walton,NA,NA
48,Helminth parasites of embiotocid fishes,Hisao P. Arai,1954,NA
49,"Postmonorchis donacis, a new species of monorchid trematode from the pacific coast, and its life history",R. T. Young,1953,NA
50,Use of refuges by the ophiuroid ophiopholis aculeata: contrasting effects of substratum complexity on predation risk from two predators,"David Drolet1, John H. Himmelman1,*, Rémy Rochette2",2004,NA
51,Ophiuroids feeding on phytoplankton,H. M. ROUSHDY & VAGN. KR. HANSEN,1960,NA
52,"Distribution and feeding ecology of the seastars leptasterias polaris and asterias vulgaris in the northern gulf of st lawrence, canada","Carlos F. Gaymer , John H. Himmelman and Ladd. E. Johnson",2001,NA
53,Two species of parasitic molluscs new for russian seas,Ivan O. Nekhaev,2011,NA
54,"An anatomical description of eulima bilineata alder with remarks on and a revision of pyramidelloides nevill (mollusca, prosobranchia, eulimidae)",ANDERS WARÉN,1983,NA
55,"Stomach contents of immature lobsters (homarus americanus) from placentia bay, newfoundland",J. A. Carter and D. H. Steele,1982,NA
56,Regional variation in fish predation intensity: a historical perspective in the gulf of maine,Jon D. Witman and Kenneth P. Sebens,1992,NA
57,"The structure and life history of haplosporidium malacobdellae sp. nov., a new sporozoan from the entocommensal rhynchocoelan malacobdella grossa (of müller)","Jennings, J. B., and R. Gibson.",1968,NA
58,Use of prey resources by the seastars leptasterias polaris and asterias vulgaris: a comparison between field observations and laboratory experiments,"Carlos F Gaymer, John H Himmelman, Ladd E Johnson",2001,NA
59,Damage due to solar ultraviolet radiation in the brittlestar ophioderma brevispinum(echinodermata: ophiuroidea),Sönke Johnsen  and William M. Kier,2009,NA
60,Effect of light and substratum complexity on microhabitat selection and activity of the ophiuroid ophiopholis aculeata,David DroletJohn H. HimmelmanRemy Rochette,2004,NA
61,Nutrition and development of brooded embryos in the brittlestar amphipholis squamata: do endosymbiotic bacteria play a role?,C.W. Walker t and M.P. Lesser,1989,NA
62,"Description of a novel symbiotic bacterium from the brittle star, amphipholis squamata",Michael P. Lesser and Richard P. Blakemore,2021,NA
63,Expression of bioluminescence in amphipholis squamata (ophiuroidea: echinodermata) in presence of various organisms: a laboratory study,"D. Deheyn*6, J. Mallefety and M. Jangoux*",2000,NA
64,Evidence of an alarm signal in ophiuroidea (echinodermata),"alessandra pereira majer , jose’ roberto trigo and luiz francisco lembo duarte",2009,NA
65,Spiny lobsters and sea urchins: analysis of a predator-prey interaction,M.J.TegnerL.A.Levin1,1983,NA
66,"Nutrition of the sea urchin, strongylocentrotus purpuratus",Reuben Lasker and Arthur C. Giese,1954,NA
67,"Population dynamics of the sea urchin strongylocentrotuspurpuratus in a central california kelp forest: recruitment, mortality, growth, and diet",M. C. Kenner,1992,NA
68,"A predator-prey relationship between the leather star, dermasterias imbricata, and the purple urchin, strongylocentrotus purpuratus",RICHARD J. ROSENTHAL! AND JAMES R. CHESS·,1972,NA
70,"Ecology of two littoral species of caprellid amphipods (crustacea) from washington, usa",E. A. Caine,1980,NA
71,"Feeding of the woolly sculpin, clinocottus analis (pisces: cottidae), in todos santos bay, baja california, mexico",GORGONIO RUIZ-CAMPOS AND M. GREGORY HAMMA,1991,NA
72,Food habits of three species of rocky intertidal sculpins (cottidae) in central california,Ronald M. Yoshiyama,1980,NA
81,"Antineoplastic agents, 116. An evaluation of the marine ascidian aplidium californicum",Pettit et al,1986,NA
82,"Haplostominae (copepoda, cyclopoida) associated with compound ascidians from the san juan archipelago and vicinity.","Ooishi, Shigeko, and Paul L. Illg",1977,NA
83,The life-cycle of bythotiara huntsmani (fraser 1911),Brinckmann and Voss,1979,NA
84,"Prevalence and intensity of gyrodactylus maculosi sp. n. (Monogenea) parasitizing gills of sculpin (oligocottus maculosus) in coastal british columbia, canada",D. K. CONE1 AND M. ROTH2'3,1993,NA
85,"Prevalence and intensity of pseudodelphis oligocotti n. gen., n. sp. (Dracunculoidea; guyanemidae) in the tidepool sculpin, oligocottus maculosus (scorpaeniformes; cottidae)",M. L. Adamson and Myron Roth,1990,NA
86,"Influence of haemobaphes cyclopterina and h. intermedius(copepoda) on arctic cod (boreogadus saida) and tidepool sculpins (oligocottus maculosus), respectively","R. A. Khan, K. Ryan, J. W. Lawson, and H. Munehara",1997,NA
87,Growth and reproduction of the tidepool sculpin oligocottus maculosus,Bryan E. Pierce and Keith B. Pierson,1990,NA
89,Top predators rely on carbon derived from giant kelp macrocystis pyrifera,"Craig Koenigs, Robert J. Miller*, Henry M. Page",2015,NA
90,"Life history and larval developement of the giant kelpfish, heterostichus rostratus",CAROL A. STEPIENl,1986,NA
91,"Regulation of color morphic patterns in the giant kelpfish, heterostichus rostratus girard: genetic versus environmental factors",CAROL A. STEPIENl,1986,NA
92,Variable prey density modifies the effects of seagrass habitat structure on predator−prey interactions,"Rachel Lannin, Kevin Hovel*",2011,NA
93,Relative influence of habitat complexity and proximity to patch edges on seagrass epifaunal communities,Eliza C. Moore and Kevin A. Hovel,2010,NA
94,"Population structure, diets and biogeographic relationships of a rocky intertidal fish assemblage in central chile: high levels of herbivory in a temperate system","Stepien, Carol A.",1990,NA
95,"Observations on the reproductive behavior of the giant kelpfish, heterostichus rostratus",JAMES A. COYER,1982,NA
96,"Mesopredator foraging success in eelgrass (zostera marina l.): relative effects of epiphytes, shoot density, and prey abundance",Kevin A.HovelAlexandria M.WarnekeStacey P.Virtue-HilbornAlterra E.Sanchez,2016,NA
97,"Variation in octopus bimaculatus verrill, 1883 diet as revealed through δ13c and δ15n stable isotope analysis: potential indirect effects of marine protected areas",Jennifer K. K. Hofmeister,2018,NA
97,A new species of lepeophtheirus(copepoda; caligidae) parasitic on three kelpfish species (clinidae) from the southern california coast,"Julianne Kalman Passarelli, Danny Tang",2017,NA
98,"A new species of marine leech (hirudinida: piscicolidae) from giant kelpfish, heterostichus rostratus girard, in southern california",Eugene M. Burreson; Julianne Kalman Passarelli; Bernard Kim,2012,NA
99,Parasitic copepods from the pacific coast,Charles Branch Wilson,1935,NA
100,"Occurrence and behaviour of hyale grandicornis, a gammarid amphipod commensal in the genus acmaea",Samuel E. Johnson,1968,NA
101,"Diet, daily ration and gastric evacuation of the leopard shark (triakis semifasciata)",Jon S. Kao,2000,NA
102,"Symbiotic ciliates from solitary ascidians in the pacific northwest, with a description of parahypocoma rhamphisokarya",Eugene M. Burreson,1973,NA
103,Solitary ascidians as predators of invertebrate larvae: evidence from gut analyses and plankton samples,NA,NA,NA
104,Stomach contents and microfeeding of some common cirripedes,NA,NA,NA
105,North american copepods of the family notodelphyidae,Illg,1958,NA
106,"A light and electron microscopic study of tissue interactions between a parasitic copepod, scolecodes huntsmani (henderson), and its host ascidian, styela gibbsii (stimpson)",Patricia Dudley,1968,NA
107,Shrimps of the genus betaeus on the pacific coast of north america with descriptions of three new species.,Josephine Hart,1964,NA
108,Predation by the nudibranch dirona albolineata on three species of prosobranchs',Gordon Robilliard,1971,NA
109,"Six larval trematodes from the snail, littorina scutulata gould of san juan island, u.s.a., and vancouver, b.c.",Hilda Lei Ching,1964,NA
110,"The reproductive biology of the california vermetid gastropods serpulorbis squamigerus (carpenter, 1857) and petaloconchus montereyensis (dall, 1919)",Michael Gale Hadfield,1967,NA
111,"Food habits of the leopard shark, triakis semifasciata, in elkhorn slough, monterey bay, california.","Talent, L. G.",1976,NA
112,"Tidal influence on spatial dynamics of leopard sharks, triakis semifasciata, in tomales bay, california","Joshua T. Ackerman, Matthew C. Kondratieff, Scott A. Matern & Joseph J. Cech, Jr.a",2000,NA
113,Biology and ecology of the venomous marine anthozoans (class anthozoa),Sanatham,2020,NA
114,Demography of the central california population of the leopard shark ( triakis semifasciata ),Gregor M Cailliet,1992,NA
115,"Trophic ecology of the dominant fishes in elkhorn slough, california, 1974-1980","JAMESE BARRYt'2
MARYM. YOKLAVICH3
GRFGOR M. CAILIJET
DAVID A. AMBROSE4
BROOKE S. ANTRIM",1996,NA
115,"Trophic ecology of the dominant fishes in elkhorn slough, california, 1974-1981","JAMESE BARRYt'2
MARYM. YOKLAVICH3
GRFGOR M. CAILIJET
DAVID A. AMBROSE4
BROOKE S. ANTRIM",1996,NA
116,The ontogeny of feeding behavior and cranial morphology in the leopard shark triakis semifasciata (girard 1854): a longitudinal perspective,"Dayv Lowrya, Philip J.Mottaa, Robert E.Hueterb",2007,NA
