publication_year,firstauthor,title,reference
1984,Love,"A checklist of parasites of california, oregon, and washington marine and estuarine fishes","Love, M. S., & Moser, M. (1984). A Checklist of Parasites of California, Oregon, and Washington Marine and Estuarine Fishes. The Journal of Parasitology, 70(6), 962. https://doi.org/10.2307/3281646"
1983,Eschmeyer,A field guide to pacific coast fishes: north america,"Eschmeyer, William N.; Herald, Earl S.. 1983. A field guide to pacific coast fishes: north america. Houghton Mifflin Harcourt"
1986,Daly,A key to the mysidacea of the pacific northwest,"Daly, Kendra L.; Holmquist, Charlotte. 1986. A key to the mysidacea of the pacific northwest. Canadian Journal of Zoology. 64. 6. 1201-1210. 10.1139/z86-179"
1968,Dudley,"A light and electron microscopic study of tissue interactions between a parasitic copepod, scolecodes huntsmani (henderson), and its host ascidian, styela gibbsii (stimpson)","Dudley, Patricia L.. 1968. A light and electron microscopic study of tissue interactions between a parasitic copepod, scolecodes huntsmani (henderson), and its host ascidian, styela gibbsii (stimpson). Journal of Morphology. 124. 3. 263-281. 10.1002/jmor.1051240302"
1981,Brusca,A monograph on the isopoda cymothoidae (crustacea) of the eastern pacific,"Brusca, Richard C.. 1981. A monograph on the isopoda cymothoidae (crustacea) of the eastern pacific. Zoological Journal of the Linnean Society. 73. 2. 117-199. 10.1111/j.1096-3642.1981.tb01592.x"
1977,Ho,A new family of cyclopoid copepod (namakosiramiidae) parasitic on holothurians from southern california,"Ho, Ju-shey; Perkins, Penny Sue. 1977. A new family of cyclopoid copepod (namakosiramiidae) parasitic on holothurians from southern california. The Journal of Parasitology. 63. 2. 368-371. 10.2307/3280080"
1930,Hilton,A new phoronopsis from california,"Hilton, William A.. 1930. A new phoronopsis from california. Transactions of the American Microscopical Society. 49. 2. 154-159. 10.2307/3222308"
1992,Setran,A new plankton trap for use in the collection of rocky intertidal zooplankton,"Setran, Aaron Carr. 1992. A new plankton trap for use in the collection of rocky intertidal zooplankton. Limnology and Oceanography. 37. 3. 669-674. 10.4319/lo.1992.37.3.0669"
1931,Shoemaker,"A new species of amphipod crustacean (acanthonotozomatidae) from california, and notes on eurystheus tenuicornis","Shoemaker, Clarence R. 1931. A new species of amphipod crustacean (acanthonotozomatidae) from california, and notes on eurystheus tenuicornis. Proceedings of the United States National Museum. 78. 18. 8-Jan"
1986,Wicksten,"A new species of heptacarpus from california, with a redescription of heptacarpus palpator (owen) (caridea: hippolytidae)","Wicksten, Mary K.. 1986. A new species of heptacarpus from california, with a redescription of heptacarpus palpator (owen) (caridea: hippolytidae). Bulletin - Southern California Academy of Sciences. 85. 1. 46-55"
2017,Passarelli,A new species of lepeophtheirus (copepoda; caligidae) parasitic on three kelpfish species (clinidae) from the southern california coast,"Passarelli, Julianne Kalman; Tang, Danny. 2017. A new species of lepeophtheirus (copepoda; caligidae) parasitic on three kelpfish species (clinidae) from the southern california coast. Bulletin of the Southern California Academy of Sciences. 116. 1. 16-Jan. 10.3160/soca-116-01-1-16.1"
2012,Burreson,"A new species of marine leech (hirudinida: piscicolidae) from giant kelpfish, heterostichus rostratus girard, in southern california","Burreson, Eugene M.; Passarelli, Julianne Kalman; Kim, Bernard. 2012. A new species of marine leech (hirudinida: piscicolidae) from giant kelpfish, heterostichus rostratus girard, in southern california. Journal of Parasitology. 98. 4. 788-790. 10.1645/GE-3036.1"
2012,Burreson,A new species of mysidobdella (hirudinida: piscicolidae) from mysids along the california coast,"Burreson, Eugene M.; Kim, Bernard; Passarelli, Julianne Kalman. 2012. A new species of mysidobdella (hirudinida: piscicolidae) from mysids along the california coast. Journal of Parasitology. 98. 2. 341-343. 10.1645/GE-2921.1"
2005,Muricy,A new species of oscarella (demospongiae: plakinidae) from california,"Muricy, Guilherme; Pearse, John. 2005. A new species of oscarella (demospongiae: plakinidae) from california. Proceedings of the California Academy of Sciences Series. 4"
1954,Fahrenbach,"A new species of the genus diarthrodes (crustacea, copepoda) parasitic in a red alga","Fahrenbach, Wolf-Henrich. 1954. A new species of the genus diarthrodes (crustacea, copepoda) parasitic in a red alga. Journal of the Washington Academy of Sciences. 44. 10. 326-329"
1954,Fahrenbach,"A new species of the genus diarthrodes (crustacea, copepoda) parasitic in a red alga","Fahrenbach, Wolf-Henrich. 1954. A new species of the genus diarthrodes (crustacea, copepoda) parasitic in a red alga. Journal of the Washington Academy of Sciences. 44. 10. 326-329"
1949,Johnson,"A new species of trematode, podocotyle gibbonsia, from tide pool fishes of monterey bay, california","Johnson, William F.. 1949. A new species of trematode, podocotyle gibbonsia, from tide pool fishes of monterey bay, california. Transactions of the American Microscopical Society. 68. 2. 107-109. 10.2307/3223258"
1949,Young,A note concerning certain microphallid trematodes infecting shore birds (limosa fedoa and catoptrophorus semipalmatus inornatus) with description of a new species (levinseniella charadriformis),"Young, R. T.. 1949. A note concerning certain microphallid trematodes infecting shore birds (limosa fedoa and catoptrophorus semipalmatus inornatus) with description of a new species (levinseniella charadriformis). The Journal of Parasitology. 35. 4. 353-357. 10.2307/3273421"
1972,Rosenthal,"A predator-prey relationship between the leather star, dermasterias imbricata and the purple urchin strongylocentrotus purpuratus","Rosenthal, Richard J; Chess, James R.. 1972. A predator-prey relationship between the leather star, dermasterias imbricata and the purple urchin strongylocentrotus purpuratus"
1960,Benson,A pycnogonid infestation of mytilus californicus,"Benson, P. H.. 1960. A pycnogonid infestation of mytilus californicus. The Veliger. 3. 16-18"
2010,Verdín,A qualitative assessment of sponge-feeding organisms from the mexican pacific coast,"Verdín C.J., Padilla. 2010. A qualitative assessment of sponge-feeding organisms from the mexican pacific coast. The Open Marine Biology Journal. 4. 1. 39-46. 10.2174/1874450801004010039"
2015,Horn,A shallow-diving seabird predator as an indicator of prey availability in southern california waters: a longitudinal study,"Horn, M. H.; Whitcombe, C. D.. 2015. A shallow-diving seabird predator as an indicator of prey availability in southern california waters: a longitudinal study. Journal of Marine Systems. 146. 89-98. 10.1016/j.jmarsys.2014.08.012"
1982,Birkeland,A stable system of predation on a holothurian by four asteroids and their top predator,"Birkeland, Charles; Dayton, Paul K.; Engstrom, Norman A.. 1982. A stable system of predation on a holothurian by four asteroids and their top predator. Australian Museum Memoir. 16. 175-189. 10.3853/j.0067-1967.16.1982.365"
