publication_year,firstauthor,title,reference,reference_number,author,year,link_or_doi
1984,Love,"A checklist of parasites of california, oregon, and washington marine and estuarine fishes","Love, M. S., & Moser, M. (1984). A Checklist of Parasites of California, Oregon, and Washington Marine and Estuarine Fishes. The Journal of Parasitology, 70(6), 962. https://doi.org/10.2307/3281646",205,Love and Moser,1984,NA
1983,Eschmeyer,A field guide to pacific coast fishes: north america,"Eschmeyer, William N.; Herald, Earl S.. 1983. A field guide to pacific coast fishes: north america. Houghton Mifflin Harcourt",451,Eschmeyer,1983,NA
1986,Daly,A key to the mysidacea of the pacific northwest,"Daly, Kendra L.; Holmquist, Charlotte. 1986. A key to the mysidacea of the pacific northwest. Canadian Journal of Zoology. 64. 6. 1201-1210. 10.1139/z86-179",NA,NA,NA,NA
1968,Dudley,"A light and electron microscopic study of tissue interactions between a parasitic copepod, scolecodes huntsmani (henderson), and its host ascidian, styela gibbsii (stimpson)","Dudley, Patricia L.. 1968. A light and electron microscopic study of tissue interactions between a parasitic copepod, scolecodes huntsmani (henderson), and its host ascidian, styela gibbsii (stimpson). Journal of Morphology. 124. 3. 263-281. 10.1002/jmor.1051240302",106,Patricia Dudley,1968,NA
1981,Brusca,A monograph on the isopoda cymothoidae (crustacea) of the eastern pacific,"Brusca, Richard C.. 1981. A monograph on the isopoda cymothoidae (crustacea) of the eastern pacific. Zoological Journal of the Linnean Society. 73. 2. 117-199. 10.1111/j.1096-3642.1981.tb01592.x",425,Brusca,1981,NA
NA,NA,A monograph on the polychaeta of southern africa,"Day, J. H., & History), B. M. (Natural. (1967). Part 1: Errantia. In A monograph on the Polychaeta of southern Africa: Vol. Vol 1 (pp. 1–498). BM(NH). https://doi.org/10.5962/bhl.title.8596",334,Day,1967,NA
1977,Ho,A new family of cyclopoid copepod (namakosiramiidae) parasitic on holothurians from southern california,"Ho, Ju-shey; Perkins, Penny Sue. 1977. A new family of cyclopoid copepod (namakosiramiidae) parasitic on holothurians from southern california. The Journal of Parasitology. 63. 2. 368-371. 10.2307/3280080",NA,NA,NA,NA
1930,Hilton,A new phoronopsis from california,"Hilton, William A.. 1930. A new phoronopsis from california. Transactions of the American Microscopical Society. 49. 2. 154-159. 10.2307/3222308",NA,NA,NA,NA
1992,Setran,A new plankton trap for use in the collection of rocky intertidal zooplankton,"Setran, Aaron Carr. 1992. A new plankton trap for use in the collection of rocky intertidal zooplankton. Limnology and Oceanography. 37. 3. 669-674. 10.4319/lo.1992.37.3.0669",307,Setran,1992,NA
1931,Shoemaker,"A new species of amphipod crustacean (acanthonotozomatidae) from california, and notes on eurystheus tenuicornis","Shoemaker, Clarence R. 1931. A new species of amphipod crustacean (acanthonotozomatidae) from california, and notes on eurystheus tenuicornis. Proceedings of the United States National Museum. 78. 18. 8-Jan",290,Shoemaker,1931,NA
