Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Title,Publisher,Place,
1968,"Abbott, Donald P; Trason, Winona B",<i>Ritterella rubra</i> and <i>Distaplia smithi</i>: two new colonial ascidians from the west coast of North America.,Bulletin - Southern California Academy of Sciences,,,,,,1968,143-154,,3,67,,,,,,,,,"Abbott, D. P., & Trason, W. B. (1968). Ritterella rubra and Distaplia smithi: Two new colonial ascidians from the west coast of North America. Bulletin - Southern California Academy of Sciences, 67(3), 143–154."
2007,"Abbott, Donald P.; Lambert, Charles C.; Gretchen, Lambert; Newberry, A. Todd; Madin, Laurence P.",Chordata,The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon,978-0-520-93043-8,,,https://www.degruyter.com/document/doi/10.1525/9780520930438-039/html,Chordata was published in The Light and Smith Manual on page 949.,2007,949-964,,,,,,,,,,University of California Press,,"Abbott, D. P., Lambert, C. C., Gretchen, L., Newberry, A. T., & Madin, L. P. (2007). Chordata. In The Light and Smith Manual: Intertidal invertebrates from Central California to Oregon (pp. 949–964). University of California Press. https://doi.org/10.1525/9780520930438-039"
2000,"Ackerman, Joshua T.; Kondratieff, Matthew C.; Matern, Scott A.; Cech, Joseph J.","Tidal Influence on Spatial Dynamics of Leopard Sharks, <i>Triakis semifasciata</i>, in Tomales Bay, California",Environmental Biology of Fishes,,1573-5133,10.1023/A:1007657019696,https://doi.org/10.1023/A:1007657019696,"We used ultrasonic telemetry to determine the movement directions and movement rates of leopard sharks, Triakis semifasciata, in Tomales Bay, California. To analyze tide and time of day effects, we surgically implanted transmitters in the peritoneal cavities of one male and five female leopard sharks, which we located during summer for three to five sampling sessions lasting 12 to 24 h each. All leopard sharks showed strong movement direction patterns with tide. During incoming tides, sharks moved significantly (p<0.0001) towards the inner bay, apparently to exploit the extensive inner bay muddy littoral zones' food resources. On outgoing tides, sharks showed significant (p<0.0001) movements towards the outer bay. During high tide, there was no discernible pattern to their movements (p=0.092). Shark movement rates were significantly (p<0.0001) greater during dark periods (mean±SE: 10.5±1.0 m min−1), compared with fully lighted ones (6.7±0.5 m min−1). Movement rates of longer sharks tended to be greater than those of shorter ones (range means±SE: 5.8±0.6 m min−1 for the 91 cm shark, to 12.8±1.6 m min−1 for the 119 cm shark), but the leopard sharks' overall mean movement rate (8.1±0.5 m min−1) was slower than other (more pelagic) sharks.",5/1/00,33-43,,1,58,,Environmental Biology of Fishes,,,,,,,"Ackerman, J. T., Kondratieff, M. C., Matern, S. A., & Cech, J. J. (2000). Tidal Influence on Spatial Dynamics of Leopard Sharks, Triakis semifasciata, in Tomales Bay, California. Environmental Biology of Fishes, 58(1), 33–43. https://doi.org/10.1023/A:1007657019696"
1990,"Adamson, M. L.; Roth, Myron","Prevalence and Intensity of<i> Pseudodelphis oligocotti </i>n. gen., n. sp. (Dracunculoidea; Guyanemidae) in the Tidepool Sculpin, <i>Oligocottus maculosus </i>(Scorpaeniformes; Cottidae)",The Journal of Parasitology,,0022-3395,10.2307/3282830,https://www.jstor.org/stable/3282830,"Pseudodelphis oligocotti n. gen., n. sp. (Dracunculoidea; Guyanemidae) is described from the tidepool sculpin, Oligocottus maculosus (Scorpaeniformes; Cottidae), from various localities in coastal British Columbia. The species is placed in Guyanemidae because of its reduced buccal capsule, divided esophagus, functional vulva, and single ovary. It is distinguished from Guyanema, the only other genus in the family, by the absence of caudal alae and the arrangement of caudal papillae in the male. Females of the new genus are distinguished from those of Guyanema by the presence of a blind uterine diverticulum, without associated oviduct and ovary, extending anteriorly from the junction of the posterior uterus and vagina, and a more posteriorly positioned vulva. Fish were sampled every 2 wk throughout 1988. Worms were overdispersed in the host population. Prevalence and mean intensity of infection were highest from February to March.",1990,509-514,,4,76,,,,,,,,,"Adamson, M. L., & Roth, M. (1990). Prevalence and Intensity of Pseudodelphis oligocotti n. Gen., n. Sp. (Dracunculoidea; Guyanemidae) in the Tidepool Sculpin, Oligocottus maculosus (Scorpaeniformes; Cottidae). The Journal of Parasitology, 76(4), 509–514. https://doi.org/10.2307/3282830"
1990,"Ainley, David G.","Seabirds of the Farallon Islands: Ecology, Dynamics, and Structure of an Upwelling-System Community",,978-0-8047-1530-0,,,,"Summarizing a 15-year study of the seabird community on this small group of rocks about 20 miles offshore of San Francisco, this volume is both a detailed account of a seabird breeding ecology and a challenge to the prevailing conception of ecological stability as the typical seabird lifestyle. With",1990,,494,,,,,Seabirds of the Farallon Islands,,,,Stanford University Press,,"Ainley, D. G. (1990). Seabirds of the Farallon Islands: Ecology, Dynamics, and Structure of an Upwelling-System Community. Stanford University Press."
1981,"Ainley, David G.; Anderson, Daniel W.; Kelly, Paul R.",Feeding Ecology of Marine Cormorants in Southwestern North America,The Condor,,0010-5422,10.2307/1367418,https://www.jstor.org/stable/1367418,"The diets of Pelagic, Brandt's and Double-crested cormorants (Phalacrocorax pelagicus, P. penicillatus and P. auritus) were compared. Data were based on 1,695 pellets and 71 chick regurgitations analyzed by us and information on 34 stomach samples published in the literature. A total of 19 sites between Kodiak, Alaska and central Mexico is represented. The three cormorants often fed in the same areas at the same time using the same technique. They exploited different microhabitats as defined by prey behavior; the prey species overlapped substantially between Brandt's and Pelagic cormorants, but those of the Double-crested Cormorant were quite different. Double-crested Cormorants fed on schooling fish usually occurring well above flat bottoms; Pelagic Cormorants fed on solitary prey on or concealed in rocky substrates; and Brandt's Cormorants fed on prey on or just above the bottom in rocky areas and in areas of flat sand or mud. The latter species fed over flat bottoms more in the northern part of their range than in the southern part where they fed almost exclusively in or near rocky habitat. Double-crested and Pelagic cormorants showed no geographic shift in their feeding habits.",1981,120-131,,2,83,,,,,,,,,"Ainley, D. G., Anderson, D. W., & Kelly, P. R. (1981). Feeding Ecology of Marine Cormorants in Southwestern North America. The Condor, 83(2), 120–131. https://doi.org/10.2307/1367418"
1987,"Alvariño, Angeles","<i>Spadella pimukatharos</i>, a new benthic chaetognath from Santa Catalina Island, California",Proceedings of the Biological Society of Washington,,,,https://swfsc-publications.fisheries.noaa.gov/publications/CR/1987/8702.PDF,,1987,125-133,,,100,,,,,,,,,"Alvariño, A. (1987). Spadella pimukatharos, a new benthic chaetognath from Santa Catalina Island, California. Proceedings of the Biological Society of Washington, 100, 125–133."
2023,"Alves, Rodrigo V. A.; Lucena Frédou, Flávia; Craveiro, Nykon; Nolé Eduardo, Leandro; Rosa Filho, José S.",Life history and population dynamics of the enigmatic tanaid <i>Chondrochelia dubia </i>(Tanaidacea: Leptocheliidae) in a tropical seaweed bed,Scientia Marina,,"1886-8134, 0214-8358",10.3989/scimar.05322.059,https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/1946,"The present study describes the population dynamics and life history parameters of the enigmatic tanaid Chondrochelia dubia collected in Paiva Beach, tropical coast of Brazil. The region was impacted by a large, unexpected oil spill from August to October 2019. Samples were taken monthly between July 2019 and July 2020 in beds of the red seaweed Jania capillacea. The abundance of individuals was negatively correlated with monthly rainfall, with higher abundances in drier months. There was an unexpected significant drop in abundance in September, possibly caused by contact with the crude oil, but the population recovered fully within two months. The parameters of the von Bertallanfy growth equation, calculated for the first time for the species, were Linf=5.26 mm; k=3.36 year–1; t0=0.0. Compared with other studies, the specimens are very small (2.04 ± 0.95 mm in length), females reach sexual maturity very early (L50=2.3 mm), and natural mortality is high (Z=M=5.77 year–1), indicating an opportunistic life strategy. This study reinforces the bioindication potential of C. dubia and the use of bootstrapped length-based methods to estimate key population parameters in small marine invertebrates.",3/30/23,e059,,1,87,,scimar,Life history and population dynamics of the enigmatic tanaid Chondrochelia dubia (Tanaidacea,,,,,,"Alves, R. V. A., Lucena Frédou, F., Craveiro, N., Nolé Eduardo, L., & Rosa Filho, J. S. (2023). Life history and population dynamics of the enigmatic tanaid Chondrochelia dubia (Tanaidacea: Leptocheliidae) in a tropical seaweed bed. Scientia Marina, 87(1), e059. https://doi.org/10.3989/scimar.05322.059"
1986,"Ambrose, Rf",Effects of octopus predation on motile invertebrates in a rocky subtidal community,Marine Ecology Progress Series,,"0171-8630, 1616-1599",10.3354/meps030261,http://www.int-res.com/articles/meps/30/m030p261.pdf,"Octopus birnaculatus, a common member of intertidal and subtidal communities in southern California, consumes many motile benthic invertebrate species, including snails, chitons, h p e t s , bivalves, and crustaceans. An analysis of octopus d d holes in empty snail shells indicates that 0. bimaculatus is a major s n d predator in the community. The addition of marked snails to a natural reef with unmanipulated octopus densities demonstrated that octopuses can quickly reduce s n d abundances, consuming 24 % of the available snails within 24 d. During 5 yr at 1 site, octopus abundance declined from 40 to 8 octopuses, while total prey abundance increased from 16 to 80 ind m-'. A second site experienced a similar drop in octopus density and increase in prey density over 3 yr. At both sites, snails and hermit crabs showed the greatest increases. Sedentary grazers, bivalves, and crabs and shrimps occurred at low densities throughout, possibly because the abundances of these preferred prey were depressed by octopus predation even during years of low octopus density. In splte of the strong negative association at the 2 sltes between octopus and prey over time, for a single time penod at 15 different s ~ t epsrey densities were not negatively correlated w t h the densities of their predators. However, octopus densities were much higher when they appeared to reduce the abundances of their prey than when the 15 different sites were sampled. I conclude that octopus predation can dramatically reduce prey densities when octopuses are unusually common, but that in most years the abundance of octopuses 1s too low to disrupt the basic patterns of prey abundance that result from other processes. The h g h e s t prey species richness and diversity at the 2 study sites occurred during years of lowest octopus densities. Species richness, chversity and evenness of the prey assemblage were not correlated with octopus, lobster or predatory gastropod abundances at the 15 different locations; when the effects of habitat structure were held constant by partial correlation, seastar abundance was negatively correlated with species nchness and diversity. The relation between predation and species chversity suggests that, when predation is effective in this assemblage, it decreases diversity.",1986,261-273,,,30,,Mar. Ecol. Prog. Ser.,,,,,,,"Ambrose, R. (1986). Effects of octopus predation on motile invertebrates in a rocky subtidal community. Marine Ecology Progress Series, 30, 261–273. https://doi.org/10.3354/meps030261"
1982,"Ambrose, Richard F.",Shelter Utilization by the Molluscan Cephalopod <i>Octopus bimaculatus</i>,Marine Ecology Progress Series,,0171-8630,,https://www.jstor.org.proxy.library.ucsb.edu/stable/24815165,"Octopus bimaculatus, a common member of subtidal and intertidal communities of southern California (USA), is found in a wide range of habitats at Santa Catalina Island, where it is equally abundant in holes, under rocks, and in crevices. Although shelters may be scarce in some areas, it appears that shelters generally do not limit the size of O. bimaculatus populations. Shelters suitable for habitation by adult and juvenile O. bimaculatus were always in excess during this study. Nearly half of the population studied inhabited their shelter for more than a month, and a few octopuses occupied the same shelter for at least 5 months. One fourth of the population spent less than a week in the same shelter, and many of these may have changed shelters every day. However, nearly all octopuses remained in the same area. The nontransient behavior of O. bimaculatus may have important implications for resource utilization, mating and agonistic behavior.",1982,67-73,,1,7,,,,,,,,,"Ambrose, R. F. (1982). Shelter Utilization by the Molluscan Cephalopod Octopus bimaculatus. Marine Ecology Progress Series, 7(1), 67–73."
