INITIALS,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,link.ID,ref_num,localities,zone,pools_exposed_interstitial,MorrisHaderlie,epibiota_consumed,notes,#
ZZ,678,cestode_1,3,3,557,Lophopanopeus leucomanus,,1,6,,1,6,,85,Rancho Marino,middle,pools,,,,1251
ZZ,679,cestode_2,3,3,557,Lophopanopeus leucomanus,,1,6,,1,6,,85,Rancho Marino,middle,pools,,,,1250
ZZ,677,ciliate_1,,1,513,Heptacarpus carinatus,,1,9,,1,6,,87,Rancho Marino,low,pools,,,,1249
ZZ,700,copepod_1,,,549,Cancer antennarius,,1,7,,1,6,,DecaProj1,Mussel Shoals,low,pools,,,,1274
ZZ,634,Doto kya,nudibranch,1,85,Obelia dichotoma,hydroid,1,3,,1,,,"LSM, PO1",,low,pools,n,,,727
ZZ,681,metacercaria_1,,5,19,Gobeisox maeandricus,,1,6,,1,6,,86,Rancho Marino,low,pools,,,,1253
ZZ,681,metacercaria_1,,5,19,Gobeisox maeandricus,,1,6,,1,6,,86,Rancho Marino,low,pools,,,,1254
ZZ,681,metacercaria_1,,5,19,Gobeisox maeandricus,,1,6,,1,6,,86,Rancho Marino,low,pools,,,,1255
ZZ,682,metacercaria_2,,5,529,Petrolisthes eriomerus,,1,6,,1,6,,84,Rancho Marino,middle,pools,,,,1269
ZZ,695,metacercaria_4,,5,702,Crangon alaskensis,,1,6,,1,0,,DecaProj3,Hammond's Beach,middle,pools,,,,1276
ZZ,696,metacercaria_5,,5,513,Heptacarpus carinatus,,1,6,,1,6,,DecaProj6,Miramar Beach,middle,pools,,,,1279
ZZ,696,metacercaria_5,,5,566,Pachygrapsus crassipes,,1,6,,1,6,,DecaProj9,Shell Beach,all,pools,,,,1282
ZZ,697,metacercaria_6,,5,515,Heptacarpus paludicola,,1,6,,1,6,,DecaProj8,Shell Beach,middle,pools,,,,1281
ZZ,685,nematode_1,,1,524,Pagurus samuelis,,1,6,,1,6,,17,Ellwood Boulderfield (taken from box closest to the edge of the table),high,pools,,,,1262
ZZ,686,nematode_2,,1,524,Pagurus samuelis,,1,6,,1,6,,18,VSFB,high,pools,,,,1263
ZZ,687,nematode_3,,1,NA,Unknown shrimp,,1,6,,1,6,,21,Alegria Beach,mid,pools,,,,1271
ZZ,688,nematode_4,,1,524,Pagurus samuelis,,1,6,,1,6,,23,VSFB,high,pools,,,,1264
ZZ,689,nematode_5,,1,529,Petrolisthes eriomerus,,1,6,,1,6,,89,Rancho Marino,low,pools,,,,1270
ZZ,690,nematode_6,,1,558,Paraxanthias taylori,,1,7,,1,6,,78,Cambria,high,pools,,,,1272
ZZ,691,nematode_7,,1,557,Lophopanopeus leucomanus,,1,6,,1,6,,85,Rancho Marino,middle,pools,,,,1252
ZZ,692,nematode_8,,1,529,Petrolisthes eriomerus,,1,6,,1,6,,84,Rancho Marino,middle,pools,,,,1268
ZZ,701,nematode_9,,,549,Cancer antennarius,,1,6,,1,6,,DecaProj2,Mussel Shoals,low,pools,,,,1275
ZZ,693,opecoelid_metacercaria_3,,5,549,Cancer antennarius,,1,6,,1,6,,DecaProj1,Hammond's Beach,low,pools,,,,1273
ZZ,693,opecoelid_metacercaria_3,,5,513,Heptacarpus carinatus,,1,6,,1,6,,DecaProj4,Hammond's Beach,middle,pools,,,,1277
ZZ,693,opecoelid_metacercaria_3,,5,513,Heptacarpus carinatus,,1,6,,1,6,,DecaProj5,Miramar Beach,middle,pools,,,,1278
ZZ,693,opecoelid_metacercaria_3,,5,515,Heptacarpus paludicola,,1,6,,1,6,,DecaProj7,Arroyo Hondo,middle,pools,,,,1280
ZZ,693,opecoelid_metacercaria_3,,,525,Pagurus hirsutiusculus,,1,6,,1,6,,DecaProj12,Miramar Beach,all,pools,,,,1285
ZZ,693,opecoelid_metacercaria_3,,5,514,Heptacarpus sitchensis,,1,6,,1,6,,DecaProj21,unknown,low,pools,,,,1291
ZZ,473,Peltogasterella gracilis,,1,525,Pagurus hirsutiusculus,,1,6,,1,1,,25,Alegria Beach,high,pools,,,,1259
ZZ,473,Peltogasterella gracilis,,1,525,Pagurus hirsutiusculus,,1,6,,1,1,,75,Cambria,high,pools,,,,1260
ZZ,473,Peltogasterella gracilis,,1,524,Pagurus samuelis,,1,6,,1,1,,35,Ellwood Boulderfield (taken from box closest to the edge of the table),high,pools,,,,1265
ZZ,473,Peltogasterella gracilis,,1,524,Pagurus samuelis,,1,6,,1,1,,65,Cambria,high,pools,,,,1266
ZZ,473,Peltogasterella gracilis,,1,524,Pagurus samuelis,,1,6,,1,1,,67,Cambria,high,pools,,,,1267
ZZ,473,Peltogasterella gracilis,,1,525,Pagurus hirsutiusculus,,1,6,,1,1,,DecaProj13,Jalama,all,pools,,,,1286
ZZ,473,Peltogasterella gracilis,,1,524,Pagurus samuelis,,1,6,,1,1,,DecaProj15,Ellwood Boulder Fields,all,pools,,,,1287
ZZ,473,Peltogasterella gracilis,,1,524,Pagurus samuelis,,1,6,,1,1,,DecaProj17,Jalama,all,pools,,,,1289
ZZ,680,polychaete_1,,1,527,Pagurus granosimanus,,1,9,,1,6,,28,VSFB,high,pools,,,,1257
ZZ,680,polychaete_1,,3,527,Pagurus granosimanus,,1,9,,1,6,,28,VSFB,high,pools,,,,1258
ZZ,683,Sphaeromyxa sp.,,1,19,Gobeisox maeandricus,,1,5,,1,6,,86,Rancho Marino,low,pools,,,,1256
ZZ,698,trematode_1,,,525,Pagurus hirsutiusculus,,1,6,,1,6,,DecaProj11,Ellwood Boulder Fields,all,pools,,,,1284
ZZ,699,trematode_2,,,524,Pagurus samuelis,,1,6,,1,6,,DecaProj16,Ellwood Boulder Fields,all,pools,,,,1288
