reference_number,focal_consumer_taxon,focal_consumer_life_stage,resource_genus,resource_taxonomic_resolution,general_location_of_study,id.x,resource_species,alternate_nomenclature,resource_category,common_name,functional_role,range,life_stage,body_size_mm,n_s_both,commonality,source,zone,habitat_notes,solitary_aggregating_colonial,mobile_or_sessile,preys_on,trophic_strategy,how_picky,eaten_by,non_trophic_epicommensal_w,mutualist_w,parasitized_by,unknown_symbiosis,parasitic_on,how_picky_symbiotically,notes,node_type,node_resolution,web_enter_code,enter_code_2,googled,justification,confidence,x41,clean_zone,id.y,kingdom,resource_phylum,resource_class,resource_order,resource_family,subclass,infraclass,subterclass,superorder,superfamily,subphylum,subfamily,superclass,suborder,infraorder,parvorder,subkingdom,infrakingdom,tribe,subgenus,infraphylum,parvphylum,gigaclass,megaclass,phylum_division,subphylum_subdivision,subtribe,section,subsection,subspecies,epifamily
2,Anthopluera sola,"attached polyp stage, adult",Aplysia,genus,"Lunada Bay, Palos Verdes, California.",300,Aplysia californica,NA,sea hare,California brown sea hare,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie",low,sporadically common,solitary,mobile,"algae, Zostera sp.",grazer,generalist,Anthopleura xanthogrammatica (in bays only),NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,NA,240765,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Heterobranchia,Euthyneura,Tectipleura,NA,Aplysioidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Anthopluera sola,"attached polyp stage, adult",Aplysia,genus,"Lunada Bay, Palos Verdes, California.",301,Aplysia vaccaria,NA,sea hare,California black sea hare,NA,NA,adult,NA,Both,common,"Morris, Abbott, & Haderlie",low,sporadically common,solitary,mobile,Egregia menziesii,grazer,specialist,NA,Opisthopus transversus,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,568031,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Heterobranchia,Euthyneura,Tectipleura,NA,Aplysioidea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Patiria miniata,adult,Tubulipora,genus,"Site 1: Naples Reef in Santa Barbara, Site 2: Santa Cruz Island, Site 3: Habitat reef off of Santa Catalina Island, Site 4/5: right off the shore of Santa Barbara, across from Santa Catalina, in the San Mateo and San Onofre kelp forests.",795,Tubulipora aliciae,T. pulchra,bryozoan,NA,NA,NA,adult,2 - 200,S,present,Light & Smith,all,loosely attached to algae by small projections,colonial,sessile,NA,filter feeder,generalist,NA,algae,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,470927,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Tubuliporidae,NA,NA,NA,NA,NA,NA,NA,NA,Tubuliporina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Patiria miniata,adult,Tubulipora,genus,"Site 1: Naples Reef in Santa Barbara, Site 2: Santa Cruz Island, Site 3: Habitat reef off of Santa Catalina Island, Site 4/5: right off the shore of Santa Barbara, across from Santa Catalina, in the San Mateo and San Onofre kelp forests.",796,Tubulipora pacifica,NA,bryozoan,NA,NA,NA,adult,2 - 200,S,present,Light & Smith,low,often on algae; shallow water to about 100 m,colonial,sessile,NA,filter feeder,generalist,NA,algae,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,470926,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Tubuliporidae,NA,NA,NA,NA,NA,NA,NA,NA,Tubuliporina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Patiria miniata,adult,Tubulipora,genus,"Site 1: Naples Reef in Santa Barbara, Site 2: Santa Cruz Island, Site 3: Habitat reef off of Santa Catalina Island, Site 4/5: right off the shore of Santa Barbara, across from Santa Catalina, in the San Mateo and San Onofre kelp forests.",797,Tubulipora tuba,NA,bryozoan,NA,NA,NA,adult,2 - 200,S,present,Light & Smith,all,"encrusting algae, rock, shell;",colonial,sessile,NA,filter feeder,generalist,NA,algae,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,470928,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Tubuliporidae,NA,NA,NA,NA,NA,NA,NA,NA,Tubuliporina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Orchitophyra Stellarum,adult?,Leptasterias,genus,I think collections were made thorughout North America? Zoe will know,672,Leptasterias aequalis,NA,asteroid,6 arm star,NA,"North to San Simeon, CA",adult,52mm,Both,common,Light & Smith; Walla Walla,middle,under rocks,solitary,mobile,"""sea cucumbers, littorine snails, limpets, chitons, small mussels, barnacles, and other small animals, including dead animals""",carnivore (scavenger + predator),generalist,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,2,fix,NA,NA,NA,NA,NA,379050,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Ambuloasteroidea,Neoasteroidea,NA,Forcipulatacea,NA,Asterozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Orchitophyra Stellarum,adult?,Leptasterias,genus,I think collections were made thorughout North America? Zoe will know,149,Leptasterias hexactis,NA,asteroid,6 arm star,NA,NA,adult,NA,N + Channel Islands,common,"Morris, Abbott, & Haderlie",middle,in small mytilus beds,solitary,mobile,generalist predator,typical predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,1,PROBABLY GOOD,NA,NA,NA,NA,NA,369177,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Ambuloasteroidea,Neoasteroidea,NA,Forcipulatacea,NA,Asterozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Orchitophyra Stellarum,adult?,Leptasterias,genus,I think collections were made thorughout North America? Zoe will know,148,Leptasterias pusilla,NA,asteroid,NA,NA,NA,adult,NA,N,common,"Morris, Abbott, & Haderlie; Light & Smith",pools,range very small,solitary,mobile,"Diala acuta, small limpets",typical predator,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,all,379735,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Ambuloasteroidea,Neoasteroidea,NA,Forcipulatacea,NA,Asterozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Thyca crystallina,adult,Linckia,genus,"""sample sites across the Indo-Malay Archipelago..."" Figure 1 in the paper shows every site where samples were collected from across 3 years, ( there are many).",142,Linckia columbiae,NA,asteroid,NA,NA,San Pedro to South,adult,NA,S,NA,"Morris, Abbott, & Haderlie; Light & Smith",low,NA,solitary,sessile,"diet unknown, maybe bacteria and detritus; other species of Linckia are substrate film feeders and microherbivores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Taxonomic,Species,NA,NA,NA,NA,NA,NA,NA,378630,Animalia,Echinodermata,Asteroidea,Valvatida,Ophidiasteridae,Ambuloasteroidea,Neoasteroidea,NA,Valvatacea,NA,Asterozoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Tealia crassicornis,larvae,Artemia,genus,"""...collected from the San Juan Island area and kept in the sea
water tanks at the Friday Harbor Laboratories...""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
