intials,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,zone,pools_exposed,epibiota_consumed,notes,link.ID,date_added
ZZ_coded,103,Anthopleura artemisia,anemone,1,771,Viruses,microorganism,6,1,4,4,,NA,low,pools,yes, ,,17-Apr-2024
ZZ_coded,103,Anthopleura artemisia,anemone,1,753,Phytoplankton,phytoplankton,6,1,4,4,,NA,low,pools,yes, ,,17-Apr-2024
ZZ_coded,103,Anthopleura artemisia,anemone,1,754,Zooplankton,zooplankton,6,1,4,4,,NA,low,pools,yes, ,,17-Apr-2024
ZZ_coded,103,Anthopleura artemisia,anemone,1,755,Microorganisms,microorganism,6,1,4,4,,NA,low,pools,yes, ,,17-Apr-2024
ZZ_coded,103,Anthopleura artemisia,anemone,1,756,Bacteria,microorganism,6,1,4,4,,NA,low,pools,yes, ,,17-Apr-2024
ZZ_coded,103,Anthopleura artemisia,anemone,1,603,planktonic diatoms,phytoplankton,6,1,4,4,,NA,low,pools,yes, ,,17-Apr-2024
ZZ_coded,103,Anthopleura artemisia,anemone,1,770,Holoplankton (planktonic larvae),zooplankton,6,1,4,4,,NA,low,pools,yes, ,,17-Apr-2024
ZZ_coded,101,Anthopleura elegantissima,anemone,1,771,Viruses,microorganism,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,101,Anthopleura elegantissima,anemone,1,753,Phytoplankton,phytoplankton,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,101,Anthopleura elegantissima,anemone,1,754,Zooplankton,zooplankton,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,101,Anthopleura elegantissima,anemone,1,755,Microorganisms,microorganism,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,101,Anthopleura elegantissima,anemone,1,756,Bacteria,microorganism,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,101,Anthopleura elegantissima,anemone,1,603,planktonic diatoms,phytoplankton,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,101,Anthopleura elegantissima,anemone,1,770,Holoplankton (planktonic larvae),zooplankton,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,100,Anthopleura sola,anemone,1,771,Viruses,microorganism,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,100,Anthopleura sola,anemone,1,753,Phytoplankton,phytoplankton,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,100,Anthopleura sola,anemone,1,754,Zooplankton,zooplankton,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,100,Anthopleura sola,anemone,1,755,Microorganisms,microorganism,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,100,Anthopleura sola,anemone,1,756,Bacteria,microorganism,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,100,Anthopleura sola,anemone,1,603,planktonic diatoms,phytoplankton,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,100,Anthopleura sola,anemone,1,770,Holoplankton (planktonic larvae),zooplankton,6,1,4,4,,NA,NA,pools,yes, ,,17-Apr-2024
ZZ_coded,970,Aulactinia incubans,anemone,1,771,Viruses,microorganism,6,1,4,4,,NA,low,pools,yes, ,,17-Apr-2024
ZZ_coded,970,Aulactinia incubans,anemone,1,753,Phytoplankton,phytoplankton,6,1,4,4,,NA,low,pools,yes, ,,17-Apr-2024
