INITIALS,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
ZZ_coded,146,Solaster dawsoni,asteroid,1,156,Eupentacta quinquesemita,cucumber,1,1,NA,4,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,low,NA,yes,NA,NA,2351,22 Mar 2024
ZZ_coded,146,Solaster dawsoni,asteroid,1,1980,Solaster stimpsoni,asteroid,1,1,NA,4,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,low,NA,yes,NA,NA,2352,22 Mar 2024
ZZ_coded,147,Astrometis sertulifera,asteroid,1,163,Ophiothrix spiculata,brittle star,1,1,NA,4,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,very low,NA,yes,NA,NA,2353,22 Mar 2024
ZZ_coded,150,Pisaster ochraceus,asteroid,1,458,Tetraclita rubescens,barnacle,1,1,NA,4,NA,"Morris, Abbott, & Haderlie",NA,"middle, low",NA,yes,NA,NA,2354,22 Mar 2024
ZZ_coded,151,Pisaster giganteus,asteroid,1,366,Mytilus californianus,mussel,1,1,NA,4,NA,"Morris, Abbott, & Haderlie",NA,very low,NA,yes,NA,NA,2355,22 Mar 2024
ZZ_coded,151,Pisaster giganteus,asteroid,1,284,Nucella emarginata,snail,1,1,NA,4,NA,"Morris, Abbott, & Haderlie",NA,very low,NA,yes,NA,NA,2356,22 Mar 2024
ZZ_coded,151,Pisaster giganteus,asteroid,1,237,Tegula funebralis,topsnail,1,1,NA,4,NA,"Morris, Abbott, & Haderlie",NA,very low,NA,yes,NA,NA,2357,22 Mar 2024
ZZ_coded,151,Pisaster giganteus,asteroid,1,409,Nuttallina californica,chiton,1,1,NA,4,NA,"Morris, Abbott, & Haderlie",NA,very low,NA,yes,NA,NA,2358,22 Mar 2024
ZZ_coded,151,Pisaster giganteus,asteroid,1,287,Kelletia kelletii,whelk,1,1,NA,4,NA,"Morris, Abbott, & Haderlie",NA,very low,NA,yes,NA,NA,2359,22 Mar 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,154,Cucumaria pseudocurata,cucumber,1,1,NA,4,NA,"Morris, Abbott, & Haderlie",NA,low,NA,yes,NA,NA,2360,22 Mar 2024
ZZ_coded,193,Megathura crenulata,limpet,1,759,macroalgae,algae,1,1,NA,4,NA,"Morris, Abbott, & Haderlie",NA,low,NA,yes,NA,NA,2361,22 Mar 2024
ZZ_coded,202,Lottia instabilis,true limpet,1,648,Pterygophora californica,algae,1,3,NA,4,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,low,NA,yes,NA,NA,2362,22 Mar 2024
ZZ_coded,203,Lottia limatula,true limpet,1,653,Hildenbrandia sp.,algae,1,3,NA,4,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,NA,yes,NA,NA,2363,22 Mar 2024
