"id","kingdom","phylum","class","subclass","infraclass","subterclass","superorder","superfamily","family","genus","species","subphylum","order","subfamily","superclass","suborder","infraorder","parvorder","subkingdom","infrakingdom","tribe","subgenus","infraphylum","parvphylum","gigaclass","megaclass","phylum_division","subphylum_subdivision","subtribe","section","subsection","subspecies","epifamily"
"1674307","Animalia","Mollusca","Gastropoda","Heterobranchia","Euthyneura","Tectipleura","Pylopulmonata","Pyramidelloidea","Pyramidellidae","Aartsenia","Aartsenia pupiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117871","Animalia","Cnidaria","Hydrozoa","Hydroidolina",NA,NA,NA,"Sertularioidea","Sertulariidae","Abietinaria","Abietinaria filicula","Medusozoa","Leptothecata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285366","Animalia","Cnidaria","Hydrozoa","Hydroidolina",NA,NA,NA,"Sertularioidea","Sertulariidae","Abietinaria","Abietinaria greenei","Medusozoa","Leptothecata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285368","Animalia","Cnidaria","Hydrozoa","Hydroidolina",NA,NA,NA,"Sertularioidea","Sertulariidae","Abietinaria","Abietinaria inconstans","Medusozoa","Leptothecata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169126","Animalia","Porifera","Demospongiae","Heteroscleromorpha",NA,NA,NA,NA,"Hymedesmiidae","Acanthancora","Acanthancora cyanocrypta",NA,"Poecilosclerida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"580789","Animalia","Mollusca","Gastropoda","Caenogastropoda",NA,NA,NA,"Muricoidea","Muricidae","Acanthina","Acanthina paucilirata",NA,"Neogastropoda","Ocenebrinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404474","Animalia","Mollusca","Gastropoda","Caenogastropoda",NA,NA,NA,"Muricoidea","Muricidae","Acanthinucella","Acanthinucella punctulata",NA,"Neogastropoda","Ocenebrinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404477","Animalia","Mollusca","Gastropoda","Caenogastropoda",NA,NA,NA,"Muricoidea","Muricidae","Acanthinucella","Acanthinucella spirata",NA,"Neogastropoda","Ocenebrinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356676","Animalia","Arthropoda","Copepoda",NA,"Neocopepoda",NA,"Podoplea",NA,"Chondracanthidae","Acanthochondria","Acanthochondria deltoidea","Crustacea","Cyclopoida",NA,"Multicrustacea","Ergasilida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348383","Animalia","Arthropoda","Copepoda",NA,"Neocopepoda",NA,"Podoplea",NA,"Chondracanthidae","Acanthochondria","Acanthochondria vancouverensis","Crustacea","Cyclopoida",NA,"Multicrustacea","Ergasilida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581687","Animalia","Mollusca","Gastropoda","Heterobranchia","Euthyneura","Ringipleura","Nudipleura","Onchidoridoidea","Onchidorididae","Acanthodoris","Acanthodoris brunnea",NA,"Nudibranchia",NA,NA,"Doridina","Doridoidei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581689","Animalia","Mollusca","Gastropoda","Heterobranchia","Euthyneura","Ringipleura","Nudipleura","Onchidoridoidea","Onchidorididae","Acanthodoris","Acanthodoris hudsoni",NA,"Nudibranchia",NA,NA,"Doridina","Doridoidei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535686","Animalia","Mollusca","Gastropoda","Heterobranchia","Euthyneura","Ringipleura","Nudipleura","Onchidoridoidea","Onchidorididae","Acanthodoris","Acanthodoris lutea",NA,"Nudibranchia",NA,NA,"Doridina","Doridoidei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535685","Animalia","Mollusca","Gastropoda","Heterobranchia","Euthyneura","Ringipleura","Nudipleura","Onchidoridoidea","Onchidorididae","Acanthodoris","Acanthodoris nanaimoensis",NA,"Nudibranchia",NA,NA,"Doridina","Doridoidei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140627","Animalia","Mollusca","Gastropoda","Heterobranchia","Euthyneura","Ringipleura","Nudipleura","Onchidoridoidea","Onchidorididae","Acanthodoris","Acanthodoris pilosa",NA,"Nudibranchia",NA,NA,"Doridina","Doridoidei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535687","Animalia","Mollusca","Gastropoda","Heterobranchia","Euthyneura","Ringipleura","Nudipleura","Onchidoridoidea","Onchidorididae","Acanthodoris","Acanthodoris rhodoceras",NA,"Nudibranchia",NA,NA,"Doridina","Doridoidei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228364","Animalia","Nematoda","Chromadorea","Chromadoria",NA,NA,NA,"Chromadoroidea","Cyatholaimidae","Acanthonchus","Acanthonchus duplicatus",NA,"Chromadorida","Paracanthonchinae",NA,"Chromadorina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483922","Animalia","Platyhelminthes",NA,NA,NA,NA,NA,NA,"Pseudocerotidae","Acanthozoon","Acanthozoon lepidum","Rhabditophora","Polycladida",NA,NA,"Cotylea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167343","Animalia","Porifera","Demospongiae","Heteroscleromorpha",NA,NA,NA,NA,"Acarnidae","Acarnus","Acarnus erithacus",NA,"Poecilosclerida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"550289","Animalia","Arthropoda","Malacostraca","Eumalacostraca",NA,NA,"Peracarida","Calliopioidea","Pontogeneiidae","Accedomoera","Accedomoera vagor","Crustacea","Amphipoda",NA,"Multicrustacea","Senticaudata","Hadziida","Hadziidira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483782","Animalia","Platyhelminthes",NA,NA,NA,NA,NA,NA,"Euryleptidae","Acerotisa","Acerotisa langi","Rhabditophora","Polycladida",NA,NA,"Cotylea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462114","Animalia","Arthropoda","Ostracoda","Podocopa",NA,NA,NA,"Cytheroidea","Paradoxostomatidae","Acetabulastoma","Acetabulastoma californica","Crustacea","Podocopida",NA,"Oligostraca","Cytherocopina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239750","Animalia","Arthropoda","Pycnogonida",NA,NA,NA,NA,"Ammotheoidea","Ammotheidae","Achelia","Achelia chelata","Chelicerata","Pantopoda","Achelinae",NA,"Eupantopodida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239815","Animalia","Arthropoda","Pycnogonida",NA,NA,NA,NA,"Ammotheoidea","Ammotheidae","Achelia","Achelia simplissima","Chelicerata","Pantopoda","Achelinae",NA,"Eupantopodida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456582","Animalia","Mollusca","Gastropoda","Patellogastropoda",NA,NA,NA,"Lottioidea","Acmaeidae","Acmaea","Acmaea mitra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"535688","Animalia","Mollusca","Gastropoda","Heterobranchia","Euthyneura","Ringipleura","Nudipleura","Onchidoridoidea","Onchidorididae","Adalaria","Adalaria jannae",NA,"Nudibranchia",NA,NA,"Doridina","Doridoidei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505934","Animalia","Mollusca","Bivalvia","Autobranchia","Pteriomorphia",NA,NA,"Mytiloidea","Mytilidae","Adula","Adula californiensis",NA,"Mytilida","Lithophaginae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
