web_enter_code,id.x,species,category,common_name,life_stage,n_s_both,zone,trophic_strategy,interaction_type,resourceName,source
yes,151,Pisaster giganteus,asteroid,blue knobby star,adult,Both,very low,typical predator,preys_on,(in order of preference) Mytilus edulis,"Morris, Abbott, & Haderlie"
no - too vague,1877,Littorina littorea,limpet,NA,adult,N,all,grazer,preys_on,a wide range of algae,Light & Smith
yes,569,Pycnogonum stearnsi,sea spider,NA,adult,Both,middle to low,micropredator,parasitic_on,A. elegantissima,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,420,Enteroctopus dofleini,octopus,giant Pacific octopus,small,Both,low tidepools,typical predator,preys_on,abalones,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,1745,Enteroctopus dofleini,octopus,giant Pacific octopus,adult,N,low tidepools,typical predator,preys_on,abalones,Light & Smith
no - resource,1922,Dendronotus diversicolor,nudibranch,NA,adult,N,all,micropredator,preys_on,Abietinaria amphora,Light & Smith
yes,560,Hermissenda crassicornis,nudibranch,opalescent nudibranch,adult,N,low,typical predator,preys_on,Abietinaria spp.,Light & Smith
yes,1923,Dendronotus frondosus,nudibranch,NA,adult,Both,all,micropredator,preys_on,Abietinaria spp.,Light & Smith
no - resource,1922,Dendronotus diversicolor,nudibranch,NA,adult,N,all,micropredator,preys_on,Abietinaria traski,Light & Smith
yes,151,Pisaster giganteus,asteroid,blue knobby star,adult,Both,very low,typical predator,preys_on,Acanthina spirata,"Morris, Abbott, & Haderlie"
no - already in web,285,Nucella lamellosa,snail,frilled dogwinkle,adult,N,low,typical predator,preys_on,acorn barnacles,"Morris, Abbott, & Haderlie; Light & Smith"
yes,580,Paraphrosylus praedator,insect,long legged fly,adult,N,high to middle,typical predator,preys_on,adult chironimid flies,"Morris, Abbott, & Haderlie; Light & Smith"
,2072,Paralabrax nebulifer,fish,barred sand bass,adult,Both,low,typical predator,preys_on,adults prey on fishes (especially Porichthys notatus),FishBase
expanded,347,Doto amyra,nudibranch,hammerhead doto,adult,Both,low,micropredator,preys_on,Aglaophenia sp.,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,349,Dirona picta,nudibranch,spotted dirona,adult,Both,low,micropredator,preys_on,Aglaophenia sp.,"Morris, Abbott, & Haderlie; Light & Smith"
expanded,1925,Doto lancei,nudibranch,NA,adult,N,all,micropredator,preys_on,Aglaophenia sp.,Light & Smith
yes,634,Doto kya,nudibranch,NA,adult,Both,low,micropredator,preys_on,Aglaophenia struthioides,Light & Smith
yes,1322,Carinonajna barnardi,gammarid,NA,adult,NA,all,parasite,parasitic_on,Alaria,Light & Smith
yes,1324,Carinonajna bispinosa,gammarid,NA,adult,NA,all,parasite,parasitic_on,Alaria,Light & Smith
yes,1299,Peramphithoe humeralis,gammarid,NA,adult,NA,all,parasite,parasitic_on,Alaria or Macrocystis,Light & Smith
