INITIALS,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
ZZ_coded,358,Aeolidia loui,nudibranch,1,107,Metridium senile,anemone,1,3,NA,4,NA,4,NA,low,NA,no,NA,NA,1770,21 Mar 2024
ZZ_coded,358,Aeolidia loui,nudibranch,1,101,Anthopleura elegantissima,anemone,1,3,NA,4,NA,4,NA,NA,NA,no,NA,NA,1771,21 Mar 2024
ZZ_coded,15,Clinocottus analis,fish,1,495,Colidotea rostrata,isopod,1,1,NA,4,NA,10,NA,low,NA,no,NA,NA,1772,21 Mar 2024
ZZ_coded,3,Hypsoblennius gilberti,fish,1,495,Colidotea rostrata,isopod,1,1,NA,4,NA,10,NA,low,NA,no,NA,NA,1773,21 Mar 2024
ZZ_coded,10,Hypsoblennius jenkinsi,fish,1,3,Hypsoblennius gilberti,fish,1,20,NA,4,NA,12,NA,NA,NA,no,NA,NA,1774,21 Mar 2024
ZZ_coded,747,Hypsoblennius gentilis,fish,1,3,Hypsoblennius gilberti,fish,1,20,NA,4,NA,12,NA,NA,NA,no,NA,NA,1775,21 Mar 2024
ZZ_coded,143,Dermasterias imbricata,asteroid,1,101,Anthopleura elegantissima,anemone,1,1,NA,4,NA,14,NA,NA,NA,no,NA,NA,1776,21 Mar 2024
ZZ_coded,143,Dermasterias imbricata,asteroid,1,109,Corynactis californica,anemone,1,1,NA,4,NA,14,NA,low,NA,no,NA,NA,1777,21 Mar 2024
ZZ_coded,143,Dermasterias imbricata,asteroid,1,156,Eupentacta quinquesemita,cucumber,1,1,NA,4,NA,18,NA,low,NA,no,NA,NA,1778,21 Mar 2024
ZZ_coded,582,Orchitophrya stellarum,ciliate,1,144,Patiria miniata,asteroid,1,6,NA,4,NA,24,NA,low,NA,no,NA,NA,1779,21 Mar 2024
ZZ_coded,582,Orchitophrya stellarum,ciliate,1,150,Pisaster ochraceus,asteroid,1,6,NA,4,NA,24,NA,"middle, low",NA,no,NA,NA,1780,21 Mar 2024
ZZ_coded,582,Orchitophrya stellarum,ciliate,1,150,Pisaster ochraceus,asteroid,1,6,NA,4,NA,25,NA,"middle, low",NA,no,NA,NA,1781,21 Mar 2024
ZZ_coded,582,Orchitophrya stellarum,ciliate,1,150,Pisaster ochraceus,asteroid,1,6,NA,4,NA,26,NA,"middle, low",NA,no,NA,NA,1782,21 Mar 2024
