INITIALS,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
ZZ_coded,3042,Ardea alba,bird,1,14,Leptocottus armatus,fish,1,3,1,3,1,378,NA,NA,NA,no,y,NA,19168,2 Jun 2024
ZZ_coded,3042,Ardea alba,bird,1,8,Atherinops affinis,fish,1,3,1,3,1,378,NA,middle to low,NA,no,y,NA,19169,2 Jun 2024
ZZ_coded,3085,Gymnophallus obscurus,trematode,5,210,Lottia scabra,true limpet,1,NA,1,3,1,386,NA,high,NA,no,y,NA,19170,2 Jun 2024
ZZ_coded,3086,Gymnophallus obscurus,trematode,5,210,Lottia scabra,true limpet,1,NA,1,3,1,386,NA,high,NA,no,y,NA,19171,2 Jun 2024
ZZ_coded,3067,Cercaria searlesiae,trematode,3,286,Lirabuccinum dirum,whelk,1,NA,2,3,1,386,NA,middle,NA,no,y,NA,19172,2 Jun 2024
ZZ_coded,3071,Lepocreadiid Cercaria mihi 11,trematode,3,290,Alia carinata,snail,1,NA,2,3,1,386,NA,low,NA,no,y,NA,19173,2 Jun 2024
ZZ_coded,3085,Gymnophallus obscurus,trematode,1,3012,Haematopus bachmani,bird,1,NA,2,3,1,387,NA,low to middle,NA,no,y,NA,19174,2 Jun 2024
ZZ_coded,3086,Gymnophallus obscurus,trematode,1,3012,Haematopus bachmani,bird,1,NA,2,3,1,387,NA,low to middle,NA,no,y,NA,19175,2 Jun 2024
ZZ_coded,3018,Larus brachyrynchus,bird,1,642,fish eggs,gametes,NA,3,2,3,1,407,NA,all,NA,no,y,NA,19176,2 Jun 2024
ZZ_coded,3019,Larus glaucescens,bird,1,215,Lottia scutum,true limpet,1,3,2,3,1,385,NA,middle,NA,no,y,NA,19177,2 Jun 2024
ZZ_coded,3019,Larus glaucescens,bird,1,237,Tegula funebralis,topsnail,1,3,2,3,1,385,NA,middle,NA,no,y,NA,19178,2 Jun 2024
ZZ_coded,3053,Cercaria B,trematode,3,285,Nucella lamellosa,snail,1,NA,2,3,1,386,NA,low,NA,no,y,NA,19179,2 Jun 2024
ZZ_coded,3054,Lecithaster salmonis,trematode,3,283,Nucella canaliculata,snail,1,NA,2,3,1,386,NA,middle,NA,no,y,NA,19180,2 Jun 2024
ZZ_coded,3054,Lecithaster salmonis,trematode,3,284,Nucella emarginata,snail,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19181,2 Jun 2024
ZZ_coded,3055,Cercaria noblei,trematode,3,366,Mytilus californianus,mussel,1,NA,1,3,1,386,NA,high to middle,NA,no,y,NA,19182,2 Jun 2024
ZZ_coded,3056,Gymnophallus deliciosus,trematode,5,367,Mytilus edulis,mussel,1,NA,2,3,1,386,NA,low,NA,no,y,NA,19183,2 Jun 2024
ZZ_coded,3085,Gymnophallus obscurus,trematode,5,199,Lottia digitalis,true limpet,1,NA,1,3,1,386,NA,high,NA,no,y,NA,19184,2 Jun 2024
ZZ_coded,3086,Gymnophallus obscurus,trematode,5,199,Lottia digitalis,true limpet,1,NA,1,3,1,386,NA,high,NA,no,y,NA,19185,2 Jun 2024
ZZ_coded,3058,Maritrema megametrios,trematode,5,744,Gnorimosphaeroma oregonense,isopod,1,NA,2,3,1,386,NA,high,NA,no,y,NA,19186,2 Jun 2024
ZZ_coded,3059,Ascorhytis charadriformis,trematode,3,248,Littorina scutulata,littorine,1,NA,1,3,1,386,NA,high to middle,NA,no,y,NA,19187,2 Jun 2024
ZZ_coded,3060,Ascorhytis charadriformis,trematode,3,248,Littorina scutulata,littorine,1,NA,1,3,1,386,NA,high to middle,NA,no,y,NA,19188,2 Jun 2024
ZZ_coded,3094,Ascorhytis charadriformis,trematode,3,248,Littorina scutulata,littorine,1,NA,1,3,1,386,NA,high to middle,NA,no,y,NA,19189,2 Jun 2024
ZZ_coded,3059,Ascorhytis charadriformis,trematode,5,567,Hemigrapsus nudus,true crab,1,NA,1,3,1,386,NA,middle to low,NA,no,y,NA,19190,2 Jun 2024
ZZ_coded,3060,Ascorhytis charadriformis,trematode,5,567,Hemigrapsus nudus,true crab,1,NA,1,3,1,386,NA,middle to low,NA,no,y,NA,19191,2 Jun 2024
ZZ_coded,3094,Ascorhytis charadriformis,trematode,5,567,Hemigrapsus nudus,true crab,1,NA,1,3,1,386,NA,middle to low,NA,no,y,NA,19192,2 Jun 2024
ZZ_coded,3061,Microphallus nicolli,trematode,3,293,Callianax biplicata,snail,1,NA,1,3,1,386,NA,low,NA,no,y,NA,19193,2 Jun 2024
ZZ_coded,3062,Microphallus pirum,trematode,3,284,Nucella emarginata,snail,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19194,2 Jun 2024
ZZ_coded,3063,Microphallus pirum,trematode,3,284,Nucella emarginata,snail,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19195,2 Jun 2024
ZZ_coded,3062,Microphallus pirum,trematode,5,525,Pagurus hirsutiusculus,hermit crab,1,NA,2,3,1,386,NA,middle to low,NA,no,y,NA,19196,2 Jun 2024
ZZ_coded,3063,Microphallus pirum,trematode,5,525,Pagurus hirsutiusculus,hermit crab,1,NA,2,3,1,386,NA,middle to low,NA,no,y,NA,19197,2 Jun 2024
ZZ_coded,3062,Microphallus pirum,trematode,5,997,Telmessus cheiragonus,true crab,1,NA,2,3,1,386,NA,very low,NA,no,y,NA,19198,2 Jun 2024
ZZ_coded,3063,Microphallus pirum,trematode,5,997,Telmessus cheiragonus,true crab,1,NA,2,3,1,386,NA,very low,NA,no,y,NA,19199,2 Jun 2024
ZZ_coded,3064,Microphallus pygmaeus,trematode,3,248,Littorina scutulata,littorine,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19200,2 Jun 2024
ZZ_coded,3065,Microphallus sp. mihi,trematode,3,1803,Alvania compacta,microsnail,1,NA,2,3,1,386,NA,all,NA,no,y,NA,19201,2 Jun 2024
ZZ_coded,3066,Microphallid Cercaria mihi 8,trematode,3,248,Littorina scutulata,littorine,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19202,2 Jun 2024
ZZ_coded,3068,Opecoelid Metacercaria,trematode,5,702,Crangon alaskensis,shrimp,1,NA,2,3,1,386,NA,NA,NA,no,y,NA,19203,2 Jun 2024
ZZ_coded,3069,Renicola thaidus,trematode,3,285,Nucella lamellosa,snail,1,NA,2,3,1,386,NA,low,NA,no,y,NA,19204,2 Jun 2024
ZZ_coded,3070,Renicola thaidus,trematode,3,285,Nucella lamellosa,snail,1,NA,2,3,1,386,NA,low,NA,no,y,NA,19205,2 Jun 2024
ZZ_coded,3069,Renicola thaidus,trematode,5,367,Mytilus edulis,mussel,1,NA,2,3,1,386,NA,low,NA,no,y,NA,19206,2 Jun 2024
ZZ_coded,3070,Renicola thaidus,trematode,5,367,Mytilus edulis,mussel,1,NA,2,3,1,386,NA,low,NA,no,y,NA,19207,2 Jun 2024
ZZ_coded,3072,Notocotylid Cercaria mihi 12,trematode,3,248,Littorina scutulata,littorine,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19208,2 Jun 2024
ZZ_coded,3073,Himasthla sp. Cercaria mihi 13,trematode,3,248,Littorina scutulata,littorine,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19209,2 Jun 2024
ZZ_coded,3074,Parorchis acanthus,trematode,3,285,Nucella lamellosa,snail,1,NA,2,3,1,386,NA,low,NA,no,y,NA,19210,2 Jun 2024
ZZ_coded,3074,Parorchis acanthus,trematode,3,284,Nucella emarginata,snail,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19211,2 Jun 2024
ZZ_coded,3075,Psilostomum magniovum,trematode,3,248,Littorina scutulata,littorine,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19212,2 Jun 2024
ZZ_coded,3076,Psilostomum magniovum,trematode,3,248,Littorina scutulata,littorine,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19213,2 Jun 2024
ZZ_coded,3075,Psilostomum magniovum,trematode,5,367,Mytilus edulis,mussel,1,NA,2,3,1,386,NA,low,NA,no,y,NA,19214,2 Jun 2024
ZZ_coded,3076,Psilostomum magniovum,trematode,5,367,Mytilus edulis,mussel,1,NA,2,3,1,386,NA,low,NA,no,y,NA,19215,2 Jun 2024
ZZ_coded,3077,Cryptocotyle lingua,trematode,3,248,Littorina scutulata,littorine,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19216,2 Jun 2024
ZZ_coded,3087,Cryptocotyle lingua,trematode,3,248,Littorina scutulata,littorine,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19217,2 Jun 2024
ZZ_coded,3102,Cryptocotyle lingua,trematode,3,248,Littorina scutulata,littorine,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19218,2 Jun 2024
ZZ_coded,3103,Cryptocotyle lingua,trematode,3,248,Littorina scutulata,littorine,1,NA,2,3,1,386,NA,high to middle,NA,no,y,NA,19219,2 Jun 2024
