INITIALS,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
ZZ_coded,2060,Stylochus tripartitus,turbellarian,1,467,Paraconcavus pacificus,barnacle,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,all,NA,y,y,NA,20492,3 Jun 2024
ZZ_coded,705,Pleioplana inquieta,flatworm,1,467,Paraconcavus pacificus,barnacle,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,low,NA,y,y,NA,20493,3 Jun 2024
ZZ_coded,2395,Asteroidea,sea star,6,467,Paraconcavus pacificus,barnacle,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,all,NA,y,y,NA,20494,3 Jun 2024
ZZ_coded,284,Nucella emarginata,snail,1,366,Mytilus californianus,mussel,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,high to middle,NA,y,y,NA,20495,3 Jun 2024
ZZ_coded,273,Ceratostoma nuttalli,murex,1,366,Mytilus californianus,mussel,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,middle to low,NA,y,y,NA,20496,3 Jun 2024
ZZ_coded,1836,Ceratostoma nuttalli,snail,NA,366,Mytilus californianus,mussel,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,middle to low,NA,y,y,NA,20497,3 Jun 2024
ZZ_coded,279,Roperia poulsoni,murex,1,366,Mytilus californianus,mussel,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,low tidepools,NA,y,y,NA,20498,3 Jun 2024
ZZ_coded,150,Pisaster ochraceus,asteroid,1,366,Mytilus californianus,mussel,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,"middle, low",NA,y,y,NA,20499,3 Jun 2024
ZZ_coded,719,Enhydra lutris,mammal,1,366,Mytilus californianus,mussel,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,NA,NA,y,y,NA,20500,3 Jun 2024
ZZ_coded,712,Homo sapiens,human,1,366,Mytilus californianus,mussel,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,NA,NA,y,y,NA,20501,3 Jun 2024
ZZ_coded,330,Corambe steinbergae,nudibranch,1,821,Membranipora serrilamella,bryozoan,1,1,1,3,1,Light & Smith,California,low,NA,y,y,NA,20502,3 Jun 2024
ZZ_coded,150,Pisaster ochraceus,asteroid,1,293,Callianax biplicata,snail,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,"middle, low",NA,y,y,NA,20503,3 Jun 2024
ZZ_coded,143,Dermasterias imbricata,asteroid,1,293,Callianax biplicata,snail,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,low,NA,y,y,NA,20504,3 Jun 2024
ZZ_coded,144,Patiria miniata,asteroid,1,293,Callianax biplicata,snail,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,low,NA,y,y,NA,20505,3 Jun 2024
