reference_number,consumerNum,category,consumerStage,c_nsboth,czone,focal_consumer_taxon,focal_consumer_life_stage,consumption_type,trophic_strategy,resource_taxon,resource_taxonomic_resolution,added_to_edge_list,ep_riz,justification
386,NA,NA,NA,NA,NA,Cercaria littorinalinae,Furcocercous cercaria,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Cercaria B,redia,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Lecithaster salmonis,redia,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Lecithaster salmonis,redia,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Cercaria noblei,sporocyst,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Gymnophallus deliciosus,metacercaria,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Parvatrema obscurus,metacercaria,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Parvatrema obscurus,metacercaria,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Maritrema megametrios,metacercaria,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Ascorhytis charadriformis,sporocyst,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Ascorhytis charadriformis,sporocyst,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Ascorhytis charadriformis,metacercaria,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Ascorhytis charadriformis,metacercaria,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Microphallus nicolli,sporocyst,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Microphallus pirum,sporocyst,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Microphallus pirum,metacercaria,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Microphallus pirum,metacercaria,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Microphallus pygmaeus,sporocyst,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Microphallus pygmaeus,sporocyst,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Microphallus sp. mihi,sporocyst,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Microphallid Cercaria mihi 8,sporocyst,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Cercaria searlesiae,redia,endoparasitism,NA,Lirabuccinum dirum,NA,,y,3
386,NA,NA,NA,NA,NA,Opecoelid Metacercaria,metacercaria,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Renicola thaidus,sporocyst,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Renicola thaidus,metacercaria,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Lepocreadiid Cercaria mihi 11,redia,endoparasitism,NA,Alia carinata,NA,,y,3
386,NA,NA,NA,NA,NA,Notocotylid Cercaria mihi 12,redia,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Himasthla sp. Cercaria mihi 13,redia,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Parorchis acanthus,redia,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Parorchis acanthus,redia,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Psilostomum magniovum,redia,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Psilostomum magniovum,metacercaria,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Cryptocotyle lingua,redia,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Cercaria foliatae,sporocyst,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Cercaria margaritensis,NA,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Profilicollis botulus,cystacanth,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Echinocephalus pseudouncinatus,juvenile,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Ascarophis sp. 1,juvenile,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Ascarophis sp. 1,juvenile,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Ascarophis sp. 2,juvenile,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Ascarophis sp. 2,juvenile,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Ascarophis sp.,juvenile,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Ascarophis sp.,juvenile,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Ascarophis sp.,juvenile,endoparasitism,NA,NA,NA,,y,3
386,NA,NA,NA,NA,NA,Ascarophis sp.,juvenile,endoparasitism,NA,NA,NA,,y,3
387,NA,NA,NA,NA,NA,Gymnophallus obscurus,metacercariae,endoparasitism,NA,NA,NA,,y,3
387,NA,NA,NA,NA,NA,Gymnophallus obscurus,metacercariae,endoparasitism,NA,NA,NA,,y,3
387,NA,NA,NA,NA,NA,Gymnophallus obscurus,adult,endoparasitism,NA,NA,NA,,y,3
388,NA,NA,NA,NA,NA,Cryptocotyle lingua,adult,endoparasitism,NA,NA,NA,,y,3
388,NA,NA,NA,NA,NA,Echinostephilla haematopi,adult,endoparasitism,NA,NA,NA,,y,3
388,NA,NA,NA,NA,NA,Levinseniella propinqua,adult,endoparasitism,NA,NA,NA,,y,3
388,NA,NA,NA,NA,NA,Microphallus primas,adult,endoparasitism,NA,NA,NA,,y,3
388,NA,NA,NA,NA,NA,Plenosoma minimum,adult,endoparasitism,NA,NA,NA,,y,3
388,NA,NA,NA,NA,NA,Gymnophallus obscurus,adult,endoparasitism,NA,NA,NA,,y,3
389,NA,NA,NA,NA,NA,Plagiorchis noblei,adult,endoparasitism,NA,NA,NA,,y,3
390,NA,NA,NA,NA,NA,Spelotrema nicolli,adult,endoparasitism,NA,NA,NA,,y,3
390,NA,NA,NA,NA,NA,Levinseniella chadriformis,adult,endoparasitism,NA,NA,NA,,y,3
390,NA,NA,NA,NA,NA,Levinseniella chadriformis,adult,endoparasitism,NA,NA,NA,,y,3
109,NA,NA,NA,NA,NA,Spelotrema pygmaeum,sporocyst,endoparasitism,NA,NA,species,,y,3
109,NA,NA,NA,NA,NA,Spelotrema pygmaeum,adult,endoparasitism,NA,NA,species,,NA,3
109,NA,NA,NA,NA,NA,Maritrema,parthenitae,endoparasitism,NA,NA,species,,y,3
109,NA,NA,NA,NA,NA,Unidentified microphallid,parthenitae,endoparasitism,NA,NA,species,,y,3
109,NA,NA,NA,NA,NA,Echinostome cercaria I,parthenitae,endoparasitism,NA,NA,species,,y,3
109,NA,NA,NA,NA,NA,Echinostome cercaria I,metacercaria,endoparasitism,NA,NA,species,,y,3
109,NA,NA,NA,NA,NA,Echinostome cercaria I,metacercaria,endoparasitism,NA,NA,species,,y,3
109,NA,NA,NA,NA,NA,Echinostome cercaria II,NA,endoparasitism,NA,NA,species,,y,3
109,NA,NA,NA,NA,NA,Cryptocotyle lingua,pleurolophocercous cercaria,endoparasitism,NA,NA,species,,y,3
109,NA,NA,NA,NA,NA,Cryptocotyle lingua,adult,endoparasitism,NA,NA,species,,y,3
109,NA,NA,NA,NA,NA,Cryptocotyle lingua,metacercaria,endoparasitism,NA,NA,species,,y,3
109,NA,NA,NA,NA,NA,Unidentified rediae,NA,endoparasitism,NA,NA,species,,y,3
391,NA,NA,NA,NA,NA,a bunch of unnamed larval trematodes,NA,endoparasitism,NA,NA,species,,y,3
391,NA,NA,NA,NA,NA,a bunch of unnamed larval trematodes,NA,endoparasitism,NA,NA,species,,y,3
