reference_number,consumerNum,focal_consumer_taxon,consumerCat,focal_consumer_life_stage,consumption_type,trophic_strategy.x,resource_species,resource_taxonomic_resolution,date_added
15,143,Dermasterias imbricata,asteroid,adult,predation,typical predator,Urticina piscivora,species,NA
16,143,Dermasterias imbricata,asteroid,adult,predation,typical predator,Psolus chitonoides,species,NA
21,144,Patiria miniata,asteroid,adult,predation,carnivore (scavenger + predator),Lytechinus anamesus,species,NA
38,146,Solaster dawsoni,asteroid,adult,predation,typical predator,Crossaster papposus,species,NA
42,104,Urticina crassicornis,anemone,adult,non-feeding commensalism ( or mutalistic? ),filter feeder,Neptunea pribiloffensis,species,NA
66,168,Strongylocentrotus purpuratus,urchin,adult,herbivory,grazer,Iridophycus flaccidum,species,NA
67,168,Strongylocentrotus purpuratus,urchin,adult,herbivory,grazer,Bossietla californica schmittii,species,NA
67,168,Strongylocentrotus purpuratus,urchin,adult,herbivory,grazer,Caltiarthron cheilosporioides,species,NA
67,168,Strongylocentrotus purpuratus,urchin,adult,herbivory,grazer,Caltiarthron tuberculosurn,species,NA
80,16,Oligocottus maculosus,fish,adult,predation,typical predator,Artemia salina,species,NA
82,594,Haplosaccus elongatus,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium arenatum,species,NA
82,596,Haplostomella distincta,copepod,adult,non-feeding endocommensalism,NA,Amaroucium arenatum,species,NA
82,594,Haplosaccus elongatus,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium glabrum,species,NA
82,596,Haplostomella distincta,copepod,adult,non-feeding endocommensalism,NA,Amaroucium glabrum,species,NA
82,597,Haplostomella oceanica,copepod,adult,non-feeding endocommensalism,NA,Amaroucium arenatum,species,NA
82,723,Haplostoma ambiguum,copepod,adult,non-feeding endocommensalism,parasite,Didemnum albidum,species,NA
82,595,Haplostomella dubia,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium arenatum,species,NA
82,593,Haplostoma minutum,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium arenatum,species,NA
82,725,Haplostoma elegans,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium constellatum,species,NA
82,595,Haplostomella dubia,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium glabrum,species,NA
82,725,Haplostoma elegans,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium propinquum,species,NA
82,724,Haplostoma dentatum,copepod,adult,non-feeding endocommensalism,parasite,Cystordytes lobatus,species,NA
82,592,Pholeterides furtiva,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium arenatum,species,NA
82,718,Botryllophilus sp.,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium arenatum,species,NA
82,718,Botryllophilus sp.,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium arenatum,species,NA
82,592,Pholeterides furtiva,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium constellatum,species,NA
82,718,Botryllophilus sp.,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium constellatum,species,NA
82,718,Botryllophilus sp.,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium propinquum,species,NA
82,729,Haplostomides luteolus,copepod,adult,non-feeding endocommensalism,parasite,Amaroucium glabrum,species,NA
82,728,Haplostomides bellus,copepod,adult,non-feeding endocommensalism,parasite,Sigillinaria aequali-siphonis,species,NA
87,16,Oligocottus maculosus,fish,adult,predation,typical predator,Paryophyrus vetulus,species,NA
101,9,Triakis semifasciata,shark,adult,predation,typical predator,Tresus nuttallii,species,NA
101,605,Triakis semifasciata,shark,adult,predation,typical predator,Tresus nuttallii,species,NA
101,606,Triakis semifasciata,shark,adult,predation,typical predator,Tresus nuttallii,species,NA
101,9,Triakis semifasciata,shark,adult,predation,typical predator,Urechis caupo,species,NA
101,605,Triakis semifasciata,shark,adult,predation,typical predator,Urechis caupo,species,NA
101,606,Triakis semifasciata,shark,adult,predation,typical predator,Urechis caupo,species,NA
101,9,Triakis semifasciata,shark,adult,unintentional ingestion,typical predator,Zostera marina,species,NA
101,605,Triakis semifasciata,shark,adult,unintentional ingestion,typical predator,Zostera marina,species,NA
101,606,Triakis semifasciata,shark,adult,unintentional ingestion,typical predator,Zostera marina,species,NA
105,618,Pygodelphys aquilonaris,copepod,adult,non-feeding endocommensalism,parasite,Cnemidocarpa finmarkiensis,species,NA
105,618,Pygodelphys aquilonaris,copepod,adult,non-feeding endocommensalism,parasite,Ascidia parairopa,species,NA
105,618,Pygodelphys aquilonaris,copepod,adult,non-feeding endocommensalism,parasite,Halocynthia aurantium,species,NA
105,618,Pygodelphys aquilonaris,copepod,adult,non-feeding endocommensalism,parasite,Cnemidocarpa finmarkiensis,species,NA
105,618,Pygodelphys aquilonaris,copepod,adult,non-feeding endocommensalism,parasite,Cnemidocarpa finmarkiensis,species,NA
105,618,Pygodelphys aquilonaris,copepod,adult,non-feeding endocommensalism,parasite,Molgula regularis,species,NA
105,618,Pygodelphys aquilonaris,copepod,adult,non-feeding endocommensalism,parasite,Halocynthia aurantium,species,NA
105,618,Pygodelphys aquilonaris,copepod,adult,non-feeding endocommensalism,parasite,Chelysoma productum,species,NA
105,1170,Scolecodes huntsmani,copepod,adult,endoparasitism,parasite,Syela gibbsii,species,NA
106,1170,Scolecodes huntsmani,copepod,adult,endoparasitism,parasite,Syela gibbsii,species,NA
107,508,Betaeus harfordi,shrimp,adult,non-feeding endocommensalism,NA,Haliotis assimilis,species,NA
107,508,Betaeus harfordi,shrimp,adult,non-feeding endocommensalism,NA,Haliotis kamtschatkana,species,NA
