"man_edits","id.x","species","alternate_nomenclature","category","common_name","functional_role","range","life_stage","body_size_mm","n_s_both","commonality","source","zone","habitat_notes","solitary_aggregating_colonial","mobile_or_sessile","preys_on","trophic_strategy","how_picky","eaten_by","non_trophic_epicommensal_w","mutualist_w","parasitized_by","unknown_symbiosis","parasitic_on","how_picky_symbiotically","notes","node_type","node_resolution","aphia","kingdom","phylum","subphylum","infraphylum","megaclass","superclass","class","order","family","genus","subclass","suborder","superfamily","subfamily","infraorder"
"5/28/24",3009,"Pluvialis squatarola","gray plover","bird","black-bellied plover",NA,NA,"adult","250","Both","not present","Baker 1974","high",NA,"solitary","mobile","polycheates, clams","typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","159137","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Charadriidae","Pluvialis",NA,NA,NA,NA,NA
"5/28/24",3010,"Charadrius semipalmatus",NA,"bird","semipalmated plover",NA,NA,"adult",NA,"Both","not present",NA,"high",NA,"solitary","mobile","polycheates","typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","159126","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Charadriidae","Charadrius",NA,NA,NA,NA,NA
"5/28/24",3011,"Anarhynchus nivosus",NA,"bird","snowy plover",NA,NA,"adult",NA,"Both","not present",NA,"high",NA,"solitary","mobile","Kelp flies","typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/28/24",3012,"Haematopus bachmani",NA,"bird","black oystercatcher",NA,NA,"adult",NA,"Both","uncommon",NA,"low to middle",NA,"solitary","mobile","mollusks","typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","366767","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Charadriidae","Haematopus",NA,NA,NA,NA,NA
"5/28/24",3013,"Larus californicus",NA,"bird","california gull",NA,NA,"adult",NA,"Both","abundant",NA,"all",NA,"solitary","mobile","everything","carnivore (scavenger + predator)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","343907","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Laridae","Larus",NA,NA,NA,NA,NA
"5/28/24",3015,"Chroicocephalus philadelphia",NA,"bird","bonapartes gull",NA,NA,"adult",NA,"Both","fairly common",NA,"all",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","882954","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Laridae","Chroicocephalus",NA,NA,NA,NA,NA
"5/28/24",3016,"Larus delawarensis",NA,"bird","ring-billed gull",NA,NA,"adult",NA,"Both","fairly common",NA,"all",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","148797","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Laridae","Larus",NA,NA,NA,NA,NA
"5/28/24",3017,"Larus argentatus",NA,"bird","herring gull",NA,NA,"adult",NA,"Both","uncommon",NA,"all",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","137138","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Laridae","Larus",NA,NA,NA,NA,NA
"5/28/24",3018,"Larus brachyrynchus","mew gull","bird","short-billed gull",NA,NA,"adult",NA,"Both","uncommon",NA,"all",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5/28/24",3019,"Larus glaucescens",NA,"bird","glacous-winged gull",NA,NA,"adult",NA,"Both","uncommon",NA,"middle to high",NA,"solitary","mobile",NA,"typical predator",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taxonomic","Species","343911","Animalia","Chordata","Vertebrata","Gnathostomata","Tetrapoda","Reptilia","Aves","Charadriiformes","Laridae","Larus",NA,NA,NA,NA,NA
