INITIALS,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
ZZ_coded,146,Solaster dawsoni,sea star,1,146,Solaster dawsoni,sea star,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11850,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,1980,Solaster stimpsoni,sea star,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11851,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,143,Dermasterias imbricata,sea star,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11852,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,145,Henricia leviuscula,sea star,1,1,3,6,2,375,Sanak Archipelago,low,NA,no,y,,11853,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,720,Evasterias troschelii,sea star,1,1,2,3,2,375,Sanak Archipelago,all,NA,no,y,,11854,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,149,Leptasterias hexactis,sea star,1,1,3,6,2,375,Sanak Archipelago,middle,NA,no,y,,11855,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,672,Leptasterias aequalis,sea star,1,1,3,6,2,375,Sanak Archipelago,middle,NA,no,y,,11856,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,148,Leptasterias pusilla,sea star,1,1,3,6,2,375,Sanak Archipelago,pools,NA,no,y,,11857,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,152,Pycnopodia helianthoides,sea star,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11858,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,156,Eupentacta quinquesemita,cucumber,1,1,3,6,2,375,Sanak Archipelago,low,NA,no,y,,11859,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,1988,Cucumaria piperata,cucumber,1,1,3,6,2,375,Sanak Archipelago,all,NA,no,y,,11860,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,154,Cucumaria pseudocurata,cucumber,1,1,3,6,2,375,Sanak Archipelago,middle,NA,no,y,,11861,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,155,Cucumaria miniata,cucumber,1,1,3,6,2,375,Sanak Archipelago,low,NA,no,y,,11862,8 Oct 2024
ZZ_coded,146,Solaster dawsoni,sea star,1,465,Balanus crenatus,barnacle,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11863,8 Oct 2024
ZZ_coded,1980,Solaster stimpsoni,sea star,1,891,Terebratalia transversa,brachiopod,1,1,2,3,2,375,Sanak Archipelago,very low,NA,no,y,,11864,8 Oct 2024
ZZ_coded,1980,Solaster stimpsoni,sea star,1,152,Pycnopodia helianthoides,sea star,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11865,8 Oct 2024
ZZ_coded,1980,Solaster stimpsoni,sea star,1,156,Eupentacta quinquesemita,cucumber,1,1,3,6,2,375,Sanak Archipelago,low,NA,no,y,,11866,8 Oct 2024
ZZ_coded,1980,Solaster stimpsoni,sea star,1,1988,Cucumaria piperata,cucumber,1,1,3,6,2,375,Sanak Archipelago,all,NA,no,y,,11867,8 Oct 2024
ZZ_coded,1980,Solaster stimpsoni,sea star,1,154,Cucumaria pseudocurata,cucumber,1,1,3,6,2,375,Sanak Archipelago,middle,NA,no,y,,11868,8 Oct 2024
ZZ_coded,1980,Solaster stimpsoni,sea star,1,155,Cucumaria miniata,cucumber,1,1,3,6,2,375,Sanak Archipelago,low,NA,no,y,,11869,8 Oct 2024
ZZ_coded,1980,Solaster stimpsoni,sea star,1,221,Pyura mirabilis,tunicate,1,1,3,6,2,375,Sanak Archipelago,very low,NA,no,y,,11870,8 Oct 2024
ZZ_coded,1980,Solaster stimpsoni,sea star,1,220,Pyura haustor,tunicate,1,1,3,6,2,375,Sanak Archipelago,low,NA,no,y,,11871,8 Oct 2024
ZZ_coded,143,Dermasterias imbricata,sea star,1,149,Leptasterias hexactis,sea star,1,1,3,6,2,375,Sanak Archipelago,middle,NA,no,y,,11872,8 Oct 2024
ZZ_coded,143,Dermasterias imbricata,sea star,1,672,Leptasterias aequalis,sea star,1,1,3,6,2,375,Sanak Archipelago,middle,NA,no,y,,11873,8 Oct 2024
