resourceNum,consumerNum,INITIALS,consumerName,consumerCat,consumerStage,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed_interstitial,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
66,328,ZZ,Doriopsilla albopunctata,nudibranch,1,Cliona celata,sponge,1,3,NA,3,NA,MAH,NA,NA,pools,y,NA,NA,1,NA
66,328,EMH,Doriopsilla albopunctata,nudibranch,1,Cliona celata,sponge,1,3,NA,3,NA,RIZ Lit Seach: 162,"CA, USA",NA,NA,NA,NA,NA,660,NA
64,306,ZZ,Tylodina fungina,nudibranch,1,Aplysina fistularis,sponge,1,3,NA,3,NA,MAH,NA,NA,pools,y,NA,NA,2,NA
64,306,EMH,Tylodina fungina,sea snail,1,Aplysina fistularis,sponge,1,1,NA,3,NA,"MAH, RIZ Lit Search: 132","San Diego, CA",NA,NA,NA,NA,NA,477,NA
70,326,ZZ,Diaulula sandiegensis,nudibranch,1,Haliclona sp.,sponge,1,3,NA,3,NA,MAH,NA,NA,pools,y,NA,NA,3,NA
70,324,EMH,Doris montereyensis,nudibranch,1,Haliclona sp.,sponge,1,3,NA,3,NA,RIZ Lit Seach: 162,"CA, USA",NA,NA,NA,NA,reported as Prianos sp.,653,NA
70,325,EMH,Peltodoris nobilis,nudibranch,1,Haliclona sp.,sponge,1,3,NA,3,NA,RIZ Lit Search: 163,"CA, USA",NA,NA,NA,NA,reported as Prianos sp.,716,NA
70,327,ZZ,Geitodoris heathi,nudibranch,1,Halichondria panicea,sponge,1,3,NA,4,NA,MAH,NA,middle,pools,y,NA,"MAH says nudibranch has been ""seen clinging to sponge"" but didn't confirm predation",609,NA
70,1906,ZZ_coded,Hypselodoris californiensis,nudibranch,1,Haliclona sp.,sponge,1,3,NA,3,NA,Light & Smith,NA,all,NA,no,NA,NA,2546,22-Mar-24
71,312,ZZ,Cadlina luteomarginata,nudibranch,1,Higginsia sp.,sponge,1,3,NA,3,NA,MAH,NA,NA,pools,y,NA,NA,4,NA
71,312,EMH,Cadlina luteomarginata,nudibranch,1,Higginsia sp.,sponge,1,3,NA,3,NA,RIZ Lit Seach: 162,"CA, USA",NA,NA,NA,NA,NA,630,NA
71,312,ZZ_coded,Cadlina luteomarginata,nudibranch,1,Higginsia sp.,sponge,1,3,NA,3,NA,"Morris, Abbott, & Haderlie; Light & Smith",NA,low,NA,yes,NA,NA,2423,22-Mar-24
607,1253,ZZ,Idotea resecata,isopod,1,Phyllospadix torreyi,angiosperm,1,3,NA,6,NA,Light & Smith,NA,all,both,NA,no,eats seeds,2899,28-Mar-24
607,609,ZZ,Protohyale (Protohyale) frequens,gammarid,1,Phyllospadix torreyi,angiosperm,1,3,3,3,NA,304; Light & Smith,NA,all,pools,NA,yes,NA,4139,17-Apr-24
607,501,ZZ_coded,Ampithoe plumulosa,gammarid,1,Phyllospadix torreyi,angiosperm,1,1,4,4,NA,NA,NA,low,both,NA,yes,NA,8270,22-Apr-24
607,168,EMH,Strongylocentrotus purpuratus,urchin,1,Phyllospadix torreyi,sea grass,1,3,NA,6,NA,RIZ lit search: 66,NA,NA,NA,NA,NA,NA,122,NA
607,401,ZZ,Stenoplax heathiana,chiton,1,Phyllospadix torreyi,sea grass,1,3,NA,3,NA,178,NA,middle,both,n,yes,NA,785,NA
