resourceNum,resourceName,resourceCat,resourceStage,consumerNum,consumerName,consumerCat,consumerStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed_interstitial,MorrisHaderlie,epibiota_consumed,notes,link.ID
287,Kelletia kelletii,whelk,1,364,Lithophaga plumula,mussel,1,28,NA,3,1,196,NA,low,NA,y,NA,NA,889
287,Kelletia kelletii,whelk,1,150,Pisaster ochraceus,asteroid,1,1,NA,3,1,MAH,NA,low,pools,y,NA,NA,456
287,Kelletia kelletii,whelk,1,418,Octopus bimaculoides,octopus,1,1,NA,3,1,157,"CA, USA",NA,NA,NA,NA,NA,552
287,Kelletia kelletii,whelk,1,418,Octopus bimaculoides,octopus,1,1,NA,3,1,MAH,NA,low,pools,y,yes,NA,834
287,Kelletia kelletii,whelk,1,418,Octopus bimaculoides,octopus,1,1,NA,3,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,NA,yes,NA,NA,2466
287,Kelletia kelletii,whelk,1,151,Pisaster giganteus,asteroid,1,1,NA,3,1,MAH,NA,NA,pools,y,NA,NA,141
287,Kelletia kelletii,whelk,1,151,Pisaster giganteus,asteroid,1,1,NA,3,1,"Morris, Abbott, & Haderlie",NA,very low,NA,yes,NA,NA,2359
364,Lithophaga plumula,mussel,1,279,Roperia poulsoni,murex,1,1,NA,3,1,197,NA,low,pools,n,NA,NA,890
364,Lithophaga plumula,mussel,1,285,Nucella lamellosa,snail,1,1,4,6,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,low,both,NA,no,NA,3585
364,Lithophaga plumula,mussel,1,1845,Nucella analoga analoga,snail,1,1,4,6,1,Light & Smith,NA,low,both,NA,no,NA,3594
475,Cirolana harfordi,isopod,1,2,Gibbonsia elegans,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,17
475,Cirolana harfordi,isopod,1,2,Gibbonsia elegans,fish,1,1,NA,3,1,MAH,NA,middle,exposed,y,y,NA,927
475,Cirolana harfordi,isopod,1,6,Micrometrus minimus,fish,1,1,NA,3,1,7,NA,NA,NA,NA,NA,NA,102
475,Cirolana harfordi,isopod,1,6,Micrometrus minimus,fish,1,1,NA,3,1,MAH,NA,middle,exposed,y,y,NA,929
475,Cirolana harfordi,isopod,1,706,Apodichthys fucorum,fish,1,1,NA,3,1,MAH,NA,middle,exposed,y,y,NA,928
493,Idotea urotoma,isopod,1,2,Gibbonsia elegans,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,reported as rectilinea,18
493,Idotea urotoma,isopod,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,reported as rectilinea,35
493,Idotea urotoma,isopod,1,6,Micrometrus minimus,fish,1,1,NA,3,1,7,NA,NA,NA,NA,NA,reported as rectilinea,97
493,Idotea urotoma,isopod,1,2086,Enophrys bison,fish,1,1,3,6,2,361,mudflat in Northern California,low,pools,NA,yes,NA,11170
493,Idotea urotoma,isopod,1,2087,Gibbonsia montereyensis,fish,1,1,2,6,1,362,"Dillon Beach, CA",low,pools,NA,yes,"termed a ""gammarid feeder""",11199
493,Idotea urotoma,isopod,1,19,Gobiesox maeandricus,fish,1,1,NA,3,1,258,NA,middle to low,NA,no,NA,NA,2236
493,Idotea urotoma,isopod,1,3000,Cebidichthys violaceus,fish,4,1,2,6,1,359,Central California,all,pools,NA,yes,NA,11087
493,Idotea urotoma,isopod,1,3002,Xiphister mucosus,fish,4,1,2,6,1,359,Central California,all,pools,NA,yes,NA,11109
490,Pentidotea wosnesenskii,isopod,1,2,Gibbonsia elegans,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,19
490,Pentidotea wosnesenskii,isopod,1,6,Micrometrus minimus,fish,1,1,NA,3,1,MAH,NA,low,pools,y,y,NA,934
490,Pentidotea wosnesenskii,isopod,1,6,Micrometrus minimus,fish,1,1,NA,3,1,MAH,NA,low,pools,y,y,NA,936
1253,Pentidotea resecata,isopod,1,2,Gibbonsia elegans,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,20
1253,Pentidotea resecata,isopod,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,33
702,Crangon alaskensis,shrimp,1,2,Gibbonsia elegans,fish,1,1,NA,6,1,7,Los Angeles,NA,pools,NA,NA,NA,22
702,Crangon alaskensis,shrimp,1,554,Cancer productus,true crab,4,1,NA,3,1,202,NA,NA,NA,no,NA,NA,1880
702,Crangon alaskensis,shrimp,1,2086,Enophrys bison,fish,1,1,3,6,2,361,mudflat in Northern California,low,pools,NA,yes,NA,11155
702,Crangon alaskensis,shrimp,1,2097,Scorpaenichthys marmoratus,fish,1,1,4,10,1,365,Northern CA,low,pools,NA,yes,lab feeding,11248
702,Crangon alaskensis,shrimp,1,555,Cancer productus,true crab,1,1,NA,3,1,202,NA,NA,NA,no,NA,NA,1881
702,Crangon alaskensis,shrimp,1,1219,Argeia pugettensis,isopod,1,7,NA,3,1,265,NA,all,pools,NA,no,NA,3140
702,Crangon alaskensis,shrimp,1,296,Volvarina taeniolata,snail,1,3,3,10,1,279,NA,low,pools,NA,no,NA,3929
702,Crangon alaskensis,shrimp,1,695,metacercaria_4,trematode,5,6,NA,1,6,diss_190,Hammond's Beach,middle,pools,n,n,NA,10243
430,Platynereis bicanaliculata,polychaete,1,2,Gibbonsia elegans,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,25
430,Platynereis bicanaliculata,polychaete,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,40
430,Platynereis bicanaliculata,polychaete,1,6,Micrometrus minimus,fish,1,1,NA,3,1,7,NA,NA,NA,NA,NA,NA,101
430,Platynereis bicanaliculata,polychaete,1,15,Clinocottus analis,fish,1,1,NA,3,1,154,Mexico,NA,NA,NA,NA,NA,509
430,Platynereis bicanaliculata,polychaete,1,425,Halosydna brevisetosa,scale worm,1,10,NA,3,1,MAH,NA,low,both,y,NA,NA,876
430,Platynereis bicanaliculata,polychaete,1,124,Paranemertes peregrina,nemertean,1,1,1,3,1,"Morris, Abbott, & Haderlie",NA,low,both,y,yes,NA,48
609,Protohyale (Protohyale) frequens,gammarid,1,2,Gibbonsia elegans,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,26
609,Protohyale (Protohyale) frequens,gammarid,1,1,Gibbonsia metzi,fish,1,1,NA,3,1,7,Los Angeles,NA,pools,NA,NA,NA,31
609,Protohyale (Protohyale) frequens,gammarid,1,6,Micrometrus minimus,fish,1,1,NA,3,1,7,NA,NA,NA,NA,NA,NA,103
609,Protohyale (Protohyale) frequens,gammarid,1,2087,Gibbonsia montereyensis,fish,1,1,3,10,1,7; 362,Los Angeles,low,pools,NA,yes,"termed a ""gammarid feeder"" - assigned these links based on G. elegans and G. metzi",11200
609,Protohyale (Protohyale) frequens,gammarid,1,2087,Gibbonsia montereyensis,fish,1,1,3,10,1,7; 362,Los Angeles,low,pools,NA,yes,"termed a ""gammarid feeder"" - assigned these links based on G. elegans and G. metzi",11202
609,Protohyale (Protohyale) frequens,gammarid,1,2079,Ascelichthys rhodorus,fish,1,1,1,3,1,258,NA,all,pools,NA,yes,NA,3850
609,Protohyale (Protohyale) frequens,gammarid,1,15,Clinocottus analis,fish,1,1,NA,3,1,154,Mexico,NA,NA,NA,NA,NA,520
609,Protohyale (Protohyale) frequens,gammarid,1,2083,Clinocottus globiceps,fish,1,1,1,3,1,258,NA,all,pools,NA,yes,NA,3851
609,Protohyale (Protohyale) frequens,gammarid,1,984,Crangon handi,shrimp,1,1,NA,3,1,"Light & Smith; Kuris, Carlton 1977",NA,all,pools,NA,yes,NA,2713
