resourceNum,resourceName,resourceCat,resourceStage,consumerNum,consumerName,consumerCat,consumerStage,interaction.type,ref_num,justification,confidence,incl.code
1,Gibbonsia metzi,fish,1,660,Larus occidentalis,bird,1,1,418,4,4,1
1,Gibbonsia metzi,fish,1,760,Sphaerospora sphaerula,myxozoan,6,6,205,3,NA,1
1,Gibbonsia metzi,fish,1,760,Sphaerospora sphaerula,myxozoan,6,24,8,3,NA,1
1,Gibbonsia metzi,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
1,Gibbonsia metzi,fish,1,2104,Ceratomyxa gracilis,myxozoan,1,6,205,3,NA,1
1,Gibbonsia metzi,fish,1,2106,Sphaeromyxa gibbonsia,myxozoan,1,6,205,3,NA,1
1,Gibbonsia metzi,fish,1,2122,Helicometrina elongata,trematode,1,6,"205, 205","3, 3",NA,1
1,Gibbonsia metzi,fish,1,2148,Ceratomyxa noblei,myxozoan,1,6,205,3,NA,1
1,Gibbonsia metzi,fish,1,2152,Ceratomyxa blennius,myxozoan,1,6,205,3,NA,1
1,Gibbonsia metzi,fish,1,2154,Trilospora californica,myxozoan,1,6,205,3,NA,1
1,Gibbonsia metzi,fish,1,2270,Pseudopecoelus gibbonsiae,trematode,1,6,205,3,NA,1
1,Gibbonsia metzi,fish,1,3017,Larus argentatus,bird,1,1,414,"4, 5",4,1
1,Gibbonsia metzi,fish,1,3019,Larus glaucescens,bird,1,1,392,6,2,1
1,Gibbonsia metzi,fish,1,3043,Egretta thula,bird,1,1,"393, 393","6, 6",2,1
1,Gibbonsia metzi,fish,1,3047,Urile penicillatus,bird,1,1,415,6,1,1
2,Gibbonsia elegans,fish,1,660,Larus occidentalis,bird,1,1,418,4,4,1
2,Gibbonsia elegans,fish,1,760,Sphaerospora sphaerula,myxozoan,6,6,205,3,NA,1
2,Gibbonsia elegans,fish,1,763,Podocotyle gibbonsia,trematode,1,6,"9, 205","3, 3",NA,1
2,Gibbonsia elegans,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
2,Gibbonsia elegans,fish,1,2106,Sphaeromyxa gibbonsia,myxozoan,1,6,205,3,NA,1
2,Gibbonsia elegans,fish,1,2106,Sphaeromyxa gibbonsia,myxozoan,1,24,8,3,NA,1
2,Gibbonsia elegans,fish,1,2117,Helicometrina nimia,trematode,1,6,205,3,NA,1
2,Gibbonsia elegans,fish,1,2122,Helicometrina elongata,trematode,1,6,205,3,NA,1
2,Gibbonsia elegans,fish,1,2148,Ceratomyxa noblei,myxozoan,1,6,205,3,NA,1
2,Gibbonsia elegans,fish,1,2152,Ceratomyxa blennius,myxozoan,1,6,205,3,NA,1
2,Gibbonsia elegans,fish,1,2154,Trilospora californica,myxozoan,1,6,205,3,NA,1
2,Gibbonsia elegans,fish,1,3017,Larus argentatus,bird,1,1,414,"4, 5",4,1
2,Gibbonsia elegans,fish,1,3019,Larus glaucescens,bird,1,1,392,6,2,1
2,Gibbonsia elegans,fish,1,3043,Egretta thula,bird,1,1,"393, 393","6, 6",2,1
2,Gibbonsia elegans,fish,1,3047,Urile penicillatus,bird,1,1,415,6,1,1
3,Hypsoblennius gilberti,fish,1,4,Amphistichus koelzi,fish,1,9,NA,3,NA,1
3,Hypsoblennius gilberti,fish,1,10,Hypsoblennius jenkinsi,fish,1,20,12,3,NA,1
3,Hypsoblennius gilberti,fish,1,418,Octopus bimaculoides,octopus,1,1,"MAH, Morris, Abbott, & Haderlie; Light & Smith","3, 3",NA,1
3,Hypsoblennius gilberti,fish,1,583,Amyloodinium ocellatum,dinoflagellate,1,7,11,3,NA,1
3,Hypsoblennius gilberti,fish,1,660,Larus occidentalis,bird,1,1,418,4,4,1
3,Hypsoblennius gilberti,fish,1,747,Hypsoblennius gentilis,fish,1,20,12,3,NA,1
3,Hypsoblennius gilberti,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,4,1
