resourceNum,resourceName,resourceCat,resourceStage,consumerNum,consumerName,consumerCat,consumerStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed_interstitial,MorrisHaderlie,epibiota_consumed,notes,link.ID,parasitic
66,Cliona celata,sponge,1,328,Doriopsilla albopunctata,nudibranch,1,3,1,3,1,MAH,NA,NA,pools,y,NA,NA,1,n
66,Cliona celata,sponge,1,328,Doriopsilla albopunctata,nudibranch,1,3,NA,3,1,162,"CA, USA",NA,NA,NA,NA,NA,660,n
66,Cliona celata,sponge,1,328,Doriopsilla albopunctata,nudibranch,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,low,NA,y,y,NA,20566,n
64,Aplysina fistularis,sponge,1,306,Tylodina fungina,nudibranch,1,3,1,3,1,MAH,NA,NA,pools,y,NA,NA,2,n
64,Aplysina fistularis,sponge,1,306,Tylodina fungina,nudibranch,1,1,NA,3,1,"MAH,  132","San Diego, CA",NA,NA,NA,NA,NA,477,n
70,Haliclona sp.,sponge,1,326,Diaulula sandiegensis,nudibranch,1,3,1,3,1,MAH,NA,NA,pools,y,NA,NA,3,n
70,Haliclona sp.,sponge,1,326,Diaulula sandiegensis,nudibranch,1,1,3,6,2,"375, 376",Sanak Archipelago,NA,NA,no,y,NA,17001,n
70,Haliclona sp.,sponge,1,326,Diaulula sandiegensis,nudibranch,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,low tidepools,NA,y,y,NA,20560,n
70,Haliclona sp.,sponge,1,324,Doris montereyensis,nudibranch,1,3,NA,3,1,162,"CA, USA",NA,NA,NA,NA,reported as Prianos sp.,653,n
70,Haliclona sp.,sponge,1,325,Peltodoris nobilis,nudibranch,1,3,NA,3,1,163,"CA, USA",NA,NA,NA,NA,reported as Prianos sp.,716,n
70,Haliclona sp.,sponge,1,327,Geitodoris heathi,nudibranch,1,3,NA,4,1,MAH,NA,middle,pools,y,NA,"MAH says nudibranch has been ""seen clinging to sponge"" but didn't confirm predation",609,n
70,Haliclona sp.,sponge,1,1906,Hypselodoris californiensis,nudibranch,1,3,NA,3,1,Light & Smith,NA,all,NA,no,NA,NA,2546,n
71,Higginsia sp.,sponge,1,312,Cadlina luteomarginata,nudibranch,1,3,1,3,1,MAH,NA,NA,pools,y,NA,NA,4,n
71,Higginsia sp.,sponge,1,312,Cadlina luteomarginata,nudibranch,1,3,NA,3,1,162,"CA, USA",NA,NA,NA,NA,NA,630,n
71,Higginsia sp.,sponge,1,312,Cadlina luteomarginata,nudibranch,1,3,NA,3,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,low,NA,yes,NA,NA,2423,n
71,Higginsia sp.,sponge,1,312,Cadlina luteomarginata,nudibranch,1,1,1,3,1,"Morris, Abbott, & Haderlie",California,low,NA,y,y,NA,20537,n
607,Phyllospadix torreyi,angiosperm,1,1253,Pentidotea resecata,isopod,1,3,NA,6,1,Light & Smith,NA,all,both,NA,no,eats seeds,2899,n
607,Phyllospadix torreyi,angiosperm,1,609,Protohyale (Protohyale) frequens,gammarid,1,3,3,3,1,304; Light & Smith,NA,all,pools,NA,yes,NA,4139,n
607,Phyllospadix torreyi,angiosperm,1,501,Ampithoe plumulosa,gammarid,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8270,n
607,Phyllospadix torreyi,angiosperm,1,168,Strongylocentrotus purpuratus,urchin,1,3,NA,6,1,66,NA,NA,NA,NA,NA,NA,122,n
607,Phyllospadix torreyi,angiosperm,1,401,Stenoplax heathiana,chiton,1,3,NA,3,1,178,NA,middle,both,n,yes,NA,785,n
607,Phyllospadix torreyi,angiosperm,1,240,Tegula eiseni,snail,1,1,4,4,1,NA,NA,NA,both,NA,yes,NA,8603,n
607,Phyllospadix torreyi,angiosperm,1,214,Tectura paleacea,true limpet,1,3,NA,3,1,MAH,NA,low,pools,y,NA,NA,282,n
607,Phyllospadix torreyi,angiosperm,1,214,Tectura paleacea,true limpet,1,27,NA,6,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,low,both,NA,no,NA,2900,n
607,Phyllospadix torreyi,angiosperm,1,200,Lottia fenestrata,true limpet,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8630,n
607,Phyllospadix torreyi,angiosperm,1,206,Lottia strigatella,true limpet,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8648,n
607,Phyllospadix torreyi,angiosperm,1,209,Lottia persona,true limpet,1,1,4,4,1,NA,NA,high to middle,both,NA,yes,NA,8639,n
607,Phyllospadix torreyi,angiosperm,1,488,Idotea stenops,isopod,1,3,3,6; 10,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,pools,NA,yes,NA,4098,n
607,Phyllospadix torreyi,angiosperm,1,245,Homalopoma luridum,topsnail,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8612,n
607,Phyllospadix torreyi,angiosperm,1,1239,Dynamenella sheareri,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8468,n
607,Phyllospadix torreyi,angiosperm,1,477,Exosphaeroma amplicauda,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8477,n
607,Phyllospadix torreyi,angiosperm,1,1758,Lepidozona radians,chiton,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8027,n
607,Phyllospadix torreyi,angiosperm,1,1878,Littorina plena,limpet,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8558,n
607,Phyllospadix torreyi,angiosperm,1,1771,Tonicella lokii,chiton,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8180,n
607,Phyllospadix torreyi,angiosperm,1,1458,Ameronothroiid mites,mite,1,1,4,4,1,NA,NA,high,both,NA,yes,NA,8594,n
607,Phyllospadix torreyi,angiosperm,1,1457,Hyadesiid mites,mite,1,3,4,3,2,"344, 345",NA,high,pools,no,yes,NA,10502,n
607,Phyllospadix torreyi,angiosperm,1,506,Caprella sp.,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7973,n
607,Phyllospadix torreyi,angiosperm,1,1403,Caprella alaskana,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7883,n
607,Phyllospadix torreyi,angiosperm,1,1404,Caprella brevirostris,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7892,n
607,Phyllospadix torreyi,angiosperm,1,1407,Caprella ferrea,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7901,n
607,Phyllospadix torreyi,angiosperm,1,1408,Caprella greenleyi,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7910,n
607,Phyllospadix torreyi,angiosperm,1,1409,Caprella incisa,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7919,n
607,Phyllospadix torreyi,angiosperm,1,1410,Caprella kennerlyi,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7928,n
607,Phyllospadix torreyi,angiosperm,1,1411,Caprella laeviuscula,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7937,n
607,Phyllospadix torreyi,angiosperm,1,1412,Caprella natalensis,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7946,n
607,Phyllospadix torreyi,angiosperm,1,1413,Caprella penantis,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7955,n
607,Phyllospadix torreyi,angiosperm,1,1414,Caprella pilipalma,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7964,n
607,Phyllospadix torreyi,angiosperm,1,1415,Caprella verrucosa,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7982,n
607,Phyllospadix torreyi,angiosperm,1,1419,Cercops compactus,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7991,n
607,Phyllospadix torreyi,angiosperm,1,1417,Tritella laevis,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8000,n
607,Phyllospadix torreyi,angiosperm,1,1418,Tritella pilimana,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8009,n
607,Phyllospadix torreyi,angiosperm,1,491,Idotea montereyensis,isopod,1,3,NA,6,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,both,NA,no,NA,2901,n
607,Phyllospadix torreyi,angiosperm,1,491,Idotea montereyensis,isopod,1,3,4,4,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,all,both,NA,yes,NA,4242,n
607,Phyllospadix torreyi,angiosperm,1,169,Strongylocentrotus franciscanus,urchin,1,1,4,4,1,NA,NA,very low,both,NA,yes,NA,8657,n
607,Phyllospadix torreyi,angiosperm,1,1252,Idotea ochotensis,isopod,1,3,4,4,1,Light & Smith,NA,all,both,NA,yes,NA,4250,n
607,Phyllospadix torreyi,angiosperm,1,1254,Idotea rufescens,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8432,n
607,Phyllospadix torreyi,angiosperm,1,1295,Ampithoe ramondi,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8288,n
607,Phyllospadix torreyi,angiosperm,1,1296,Ampithoe sectimanus,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8297,n
607,Phyllospadix torreyi,angiosperm,1,1291,Ampithoe dalli,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8252,n
607,Phyllospadix torreyi,angiosperm,1,1292,Ampithoe lacertosa,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8261,n
607,Phyllospadix torreyi,angiosperm,1,537,Epialtoides hiltoni,true crab,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8621,n
607,Phyllospadix torreyi,angiosperm,1,556,Cycloxanthops novemdentatus,true crab,1,3,NA,6,1,"Morris, Abbott, & Haderlie",NA,low,both,NA,no,NA,2902,n
607,Phyllospadix torreyi,angiosperm,1,1777,Mopalia kennerleyi,chiton,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8081,n
607,Phyllospadix torreyi,angiosperm,1,1778,Mopalia lionota,chiton,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8090,n
607,Phyllospadix torreyi,angiosperm,1,1779,Mopalia plumosa,chiton,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8099,n
607,Phyllospadix torreyi,angiosperm,1,478,Exosphaeroma octoncum,isopod,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8495,n
607,Phyllospadix torreyi,angiosperm,1,479,Exosphaeroma rhomburum,isopod,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8504,n
607,Phyllospadix torreyi,angiosperm,1,482,Paracerceis gilliana,isopod,1,3,4,4,1,"Morris, Abbott, & Haderlie",NA,low,pools,NA,yes,NA,4193,n
607,Phyllospadix torreyi,angiosperm,1,1236,Dynamene benedicti,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8441,n
607,Phyllospadix torreyi,angiosperm,1,1237,Dynamenella dilatata,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8450,n
607,Phyllospadix torreyi,angiosperm,1,1238,Dynamenella glabra,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8459,n
607,Phyllospadix torreyi,angiosperm,1,1241,Exosphaeroma inornata,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8486,n
607,Phyllospadix torreyi,angiosperm,1,1242,Gnorimosphaeroma noblei,isopod,1,1,4,4,1,NA,NA,high,both,NA,yes,NA,8513,n
607,Phyllospadix torreyi,angiosperm,1,1243,Paradella dianae,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8522,n
607,Phyllospadix torreyi,angiosperm,1,1244,Sphaeroma quoianum,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8531,n
607,Phyllospadix torreyi,angiosperm,1,1245,Sphaeroma walkeri,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8540,n
607,Phyllospadix torreyi,angiosperm,1,1876,Lottia digitalis situs,limpet,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8567,n
607,Phyllospadix torreyi,angiosperm,1,1290,Ampithoe corallina,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8243,n
607,Phyllospadix torreyi,angiosperm,1,1294,Ampithoe pollex,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8279,n
607,Phyllospadix torreyi,angiosperm,1,1301,Peramphithoe lindbergi,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8306,n
607,Phyllospadix torreyi,angiosperm,1,1303,Peramphithoe plea,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8324,n
607,Phyllospadix torreyi,angiosperm,1,1305,Peramphithoe tea,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8333,n
607,Phyllospadix torreyi,angiosperm,1,1325,Carinonajna carli,gammarid,1,28,1,3,1,LS,NA,low,pools,no,y,NA,20168,n
607,Phyllospadix torreyi,angiosperm,1,1328,Carinonajna longimana,gammarid,1,28,1,3,1,LS,NA,low,pools,no,y,NA,20173,n
607,Phyllospadix torreyi,angiosperm,1,1332,Apohyale anceps,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8342,n
607,Phyllospadix torreyi,angiosperm,1,1333,Apohyale californica,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8351,n
607,Phyllospadix torreyi,angiosperm,1,1334,Apohyale pugettensis,gammarid,1,1,4,4,1,NA,NA,high,both,NA,yes,NA,8360,n
607,Phyllospadix torreyi,angiosperm,1,1335,Parallorchestes americana,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8369,n
607,Phyllospadix torreyi,angiosperm,1,1336,Parallorchestes cowani,gammarid,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8378,n
607,Phyllospadix torreyi,angiosperm,1,1337,Parallorchestes leblondi,gammarid,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8387,n
607,Phyllospadix torreyi,angiosperm,1,1338,Protohyale (Leptohyale) longipalpa,gammarid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8396,n
607,Phyllospadix torreyi,angiosperm,1,1339,Ptilohyale littoralis,gammarid,1,1,4,4,1,NA,NA,high,both,NA,yes,NA,8405,n
607,Phyllospadix torreyi,angiosperm,1,1235,Ancinus granulatus,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8423,n
607,Phyllospadix torreyi,angiosperm,1,1756,Stenoplax heathiana,chiton,3,3,1,3,1,311,NA,middle to low,both,NA,yes,NA,4359,n
607,Phyllospadix torreyi,angiosperm,1,252,Bittium eschrichtii,snail,1,3,4,4,1,"Morris, Abbott, & Haderlie",NA,low,both,NA,yes,NA,4226,n
607,Phyllospadix torreyi,angiosperm,1,1763,Cyanoplax berryana,chiton,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8108,n
607,Phyllospadix torreyi,angiosperm,1,1764,Cyanoplax caverna,chiton,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8117,n
607,Phyllospadix torreyi,angiosperm,1,1768,Cyanoplax cryptica,chiton,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8126,n
607,Phyllospadix torreyi,angiosperm,1,1765,Cyanoplax dentiens,chiton,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8135,n
607,Phyllospadix torreyi,angiosperm,1,1766,Cyanoplax keepiana,chiton,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8144,n
607,Phyllospadix torreyi,angiosperm,1,1767,Cyanoplax lowei,chiton,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8153,n
607,Phyllospadix torreyi,angiosperm,1,1769,Cyanoplax thomasi,chiton,1,1,4,4,1,NA,NA,middle,both,NA,yes,NA,8162,n
607,Phyllospadix torreyi,angiosperm,1,1770,Nuttallina fluxa,chiton,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8171,n
607,Phyllospadix torreyi,angiosperm,1,1881,Runcina macfarlandi,limpet,1,1,4,4,1,NA,NA,high,both,NA,yes,NA,8576,n
607,Phyllospadix torreyi,angiosperm,1,1875,Williamia peltoides,limpet,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8585,n
608,Phyllospadix scouleri,angiosperm,1,1253,Pentidotea resecata,isopod,1,3,NA,6,1,Light & Smith,NA,all,both,NA,no,eats seeds,2895,n
608,Phyllospadix scouleri,angiosperm,1,609,Protohyale (Protohyale) frequens,gammarid,1,3,3,3,1,304; Light & Smith,NA,all,pools,NA,yes,NA,4138,n
608,Phyllospadix scouleri,angiosperm,1,501,Ampithoe plumulosa,gammarid,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8269,n
608,Phyllospadix scouleri,angiosperm,1,168,Strongylocentrotus purpuratus,urchin,1,3,NA,6,1,66,NA,NA,NA,NA,NA,NA,473,n
608,Phyllospadix scouleri,angiosperm,1,401,Stenoplax heathiana,chiton,1,3,NA,3,1,178,NA,middle,both,n,yes,NA,786,n
608,Phyllospadix scouleri,angiosperm,1,558,Paraxanthias taylori,true crab,1,3,3,6,1,293,NA,middle to low,both,NA,yes,NA,4028,n
608,Phyllospadix scouleri,angiosperm,1,240,Tegula eiseni,snail,1,1,4,4,1,NA,NA,NA,both,NA,yes,NA,8602,n
608,Phyllospadix scouleri,angiosperm,1,214,Tectura paleacea,true limpet,1,3,NA,3,1,MAH,NA,low,pools,y,NA,NA,283,n
608,Phyllospadix scouleri,angiosperm,1,214,Tectura paleacea,true limpet,1,27,NA,6,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,low,both,NA,no,NA,2896,n
608,Phyllospadix scouleri,angiosperm,1,200,Lottia fenestrata,true limpet,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8629,n
608,Phyllospadix scouleri,angiosperm,1,206,Lottia strigatella,true limpet,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8647,n
608,Phyllospadix scouleri,angiosperm,1,209,Lottia persona,true limpet,1,1,4,4,1,NA,NA,high to middle,both,NA,yes,NA,8638,n
608,Phyllospadix scouleri,angiosperm,1,488,Idotea stenops,isopod,1,3,3,6; 10,1,"Morris, Abbott, & Haderlie; Light & Smith",NA,middle to low,pools,NA,yes,NA,4090,n
608,Phyllospadix scouleri,angiosperm,1,245,Homalopoma luridum,topsnail,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8611,n
608,Phyllospadix scouleri,angiosperm,1,2080,Cebidichthys violaceus,fish,1,3,1,3,1,360,Central California,all,pools,NA,yes,NA,11125,n
608,Phyllospadix scouleri,angiosperm,1,1239,Dynamenella sheareri,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8467,n
608,Phyllospadix scouleri,angiosperm,1,477,Exosphaeroma amplicauda,isopod,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8476,n
608,Phyllospadix scouleri,angiosperm,1,1758,Lepidozona radians,chiton,1,1,4,4,1,NA,NA,low,both,NA,yes,NA,8026,n
608,Phyllospadix scouleri,angiosperm,1,1878,Littorina plena,limpet,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,8557,n
608,Phyllospadix scouleri,angiosperm,1,1771,Tonicella lokii,chiton,1,1,4,4,1,NA,NA,middle to low,both,NA,yes,NA,8179,n
608,Phyllospadix scouleri,angiosperm,1,1458,Ameronothroiid mites,mite,1,1,4,4,1,NA,NA,high,both,NA,yes,NA,8593,n
608,Phyllospadix scouleri,angiosperm,1,1457,Hyadesiid mites,mite,1,3,4,3,2,"344, 345",NA,high,pools,no,yes,NA,10501,n
608,Phyllospadix scouleri,angiosperm,1,506,Caprella sp.,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7972,n
608,Phyllospadix scouleri,angiosperm,1,1403,Caprella alaskana,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7882,n
608,Phyllospadix scouleri,angiosperm,1,1404,Caprella brevirostris,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7891,n
608,Phyllospadix scouleri,angiosperm,1,1407,Caprella ferrea,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7900,n
608,Phyllospadix scouleri,angiosperm,1,1408,Caprella greenleyi,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7909,n
608,Phyllospadix scouleri,angiosperm,1,1409,Caprella incisa,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7918,n
608,Phyllospadix scouleri,angiosperm,1,1410,Caprella kennerlyi,caprellid,1,1,4,4,1,NA,NA,all,both,NA,yes,NA,7927,n
