resourceNum,resourceName,resourceCat,resourceStage,consumerNum,consumerName,consumerCat,consumerStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,habitat,MorrisHaderlie,epibiota_consumed,notes,link.ID
300,Aplysia californica,sea hare,1,99,Anthopleura xanthogrammica,anemone,1,1,1,3,1,2,"Lunada Bay, CA;Palos Verdes, CA",all,pools,NA,NA,"aplysia had wrong # (40), fixed",47
300,Aplysia californica,sea hare,1,1120,Anthessius lighti,copepod,1,7,1,3,1,134,"Anaheim Slough, CA",low,pools,no,NA,NA,1838
300,Aplysia californica,sea hare,1,1120,Anthessius lighti,copepod,1,7,1,3,1,134,"Bodega Bay, CA",low,pools,no,NA,NA,1838
300,Aplysia californica,sea hare,1,1120,Anthessius lighti,copepod,1,7,1,3,1,134,"Carpinteria, CA",low,pools,no,NA,NA,1838
300,Aplysia californica,sea hare,1,1120,Anthessius lighti,copepod,1,7,1,3,1,134,"Culver's Point, San Juan, WA",low,pools,no,NA,NA,1838
300,Aplysia californica,sea hare,1,1120,Anthessius lighti,copepod,1,7,1,3,1,134,"Laguna Beach, cA",low,pools,no,NA,NA,1838
300,Aplysia californica,sea hare,1,1120,Anthessius lighti,copepod,1,7,1,3,1,134,"Reed Rock, San Juan Channel, WA",low,pools,no,NA,NA,1838
300,Aplysia californica,sea hare,1,1120,Anthessius lighti,copepod,1,7,1,3,1,134,"Salmon Beach, Tacoma Narrows, WA",low,pools,no,NA,NA,1838
300,Aplysia californica,sea hare,1,1120,Anthessius lighti,copepod,1,7,2,3,1,435,,low,pools,no,no,NA,2603
38,Myxilla incrustans,sponge,1,312,Cadlina luteomarginata,nudibranch,1,3,1,3,1,162,California;California,all,pools,NA,NA,NA,629
38,Myxilla incrustans,sponge,1,312,Cadlina luteomarginata,nudibranch,1,3,2,3,1,"436, 160",,low,pools,y,NA,NA,531
38,Myxilla incrustans,sponge,1,312,Cadlina luteomarginata,nudibranch,1,3,2,3,1,436; 435,,low,pools,yes,NA,NA,2422
38,Myxilla incrustans,sponge,1,413,Mopalia hindsii,chiton,1,3,1,7,1,3,"Long Marine Laboratory, CA",low,exposed,n,yes,make sure doesn't link to what sponge is epibiotic on (bivalves),809
38,Myxilla incrustans,sponge,1,326,Diaulula sandiegensis,nudibranch,1,3,2,3,1,436,,low,pools,y,NA,NA,719
38,Myxilla incrustans,sponge,1,325,Peltodoris nobilis,nudibranch,1,3,1,3,1,163,"California;Morro Bay, CA",all,pools,NA,NA,NA,712
38,Myxilla incrustans,sponge,1,325,Peltodoris nobilis,nudibranch,1,3,1,3,1,163,"California;San Diego, CA",all,pools,NA,NA,NA,712
38,Myxilla incrustans,sponge,1,327,Geitodoris heathi,nudibranch,1,3,4,4,1,436,,middle,pools,y,NA,"MAH says nudibranch has been ""seen clinging to sponge"" but didn't confirm predation",608
107,Metridium senile,anemone,1,143,Dermasterias imbricata,sea star,1,1,2,3,2,319,"Puget Sound, WA;San Juan Islands, WA",low,pools,no,yes,NA,10278
107,Metridium senile,anemone,1,143,Dermasterias imbricata,sea star,1,1,2,3,2,319,"Puget Sound, WA;Waddah and Tatoosh Islands, WA",low,pools,no,yes,NA,10278
107,Metridium senile,anemone,1,143,Dermasterias imbricata,sea star,1,1,2,3,2,319,"Puget Sound, WA;Departure Bay, BC",low,pools,no,yes,NA,10278
107,Metridium senile,anemone,1,143,Dermasterias imbricata,sea star,1,1,2,3,2,319,"Puget Sound, WA;Puget Sound, WA",low,pools,no,yes,NA,10278
107,Metridium senile,anemone,1,143,Dermasterias imbricata,sea star,1,1,2,3,2,"375, 376",Sanak Archipelago,low,pools,no,y,NA,13259
107,Metridium senile,anemone,1,143,Dermasterias imbricata,sea star,1,1,1,3,1,436; 435,California,low,pools,y,y,NA,20535
107,Metridium senile,anemone,1,560,Hermissenda crassicornis,nudibranch,1,1,2,3,1,435,,low,pools,no,NA,NA,2489
107,Metridium senile,anemone,1,358,Aeolidia loui,nudibranch,1,3,1,3,1,4,"Hopkins Marine Laboratory, CA",low,pools,no,NA,NA,1770
107,Metridium senile,anemone,1,358,Aeolidia loui,nudibranch,1,3,1,3,1,"436, 162",California,all,pools,NA,NA,NA,688
107,Metridium senile,anemone,1,358,Aeolidia loui,nudibranch,1,1,1,3,1,436; 435,California,low,pools,y,y,NA,20534
107,Metridium senile,anemone,1,358,Aeolidia loui,nudibranch,1,3,2,3,1,465; 436,,low,pools,yes,NA,NA,2445
107,Metridium senile,anemone,1,359,Anteaeolidiella oliviae,nudibranch,1,3,1,3,1,162,California;California,all,pools,NA,NA,NA,709
107,Metridium senile,anemone,1,359,Anteaeolidiella oliviae,nudibranch,1,3,2,3,1,436,,low,pools,y,yes,not sure if micropredator or not,759
107,Metridium senile,anemone,1,1954,Aeolidiella chromosoma,nudibranch,1,3,2,3,1,435,,all,pools,no,NA,NA,2558
107,Metridium senile,anemone,1,1955,Aeolidiella oliviae,nudibranch,1,3,2,3,1,435,,low,pools,NA,no,NA,2799
