resourceNum,resourceName,resourceCat,resourceStage,consumerNum,consumerName,consumerCat,consumerStage,interaction.type,ref_num,justification,zone,habitat,localities,confidence
1,Gibbonsia metzi,fish,1,660,Larus occidentalis,bird,1,1,418,4,all,pools,"California; Alcatraz Island, CA; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",4
1,Gibbonsia metzi,fish,1,760,Sphaerospora sphaerula,myxozoan,6,6,"205, 8",3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific; Santa Barbara, CA",1
1,Gibbonsia metzi,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,all,pools,,4
1,Gibbonsia metzi,fish,1,2104,Ceratomyxa gracilis,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
1,Gibbonsia metzi,fish,1,2106,Sphaeromyxa gibbonsia,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
1,Gibbonsia metzi,fish,1,2122,Helicometrina elongata,trematode,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
1,Gibbonsia metzi,fish,1,2148,Ceratomyxa noblei,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
1,Gibbonsia metzi,fish,1,2152,Ceratomyxa blennius,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
1,Gibbonsia metzi,fish,1,2154,Trilospora californica,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
1,Gibbonsia metzi,fish,1,2270,Pseudopecoelus gibbonsiae,trematode,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
1,Gibbonsia metzi,fish,1,3017,Larus argentatus,bird,1,1,414,4,all,pools,"Mandarte Island, BC",4
1,Gibbonsia metzi,fish,1,3019,Larus glaucescens,bird,1,1,392,6,all,pools,"Kopachuck State Park, WA",2
1,Gibbonsia metzi,fish,1,3043,Egretta thula,bird,1,1,393,6,all,pools,"Tampa Bay, FL; Florida",2
1,Gibbonsia metzi,fish,1,3047,Urile penicillatus,bird,1,1,415,6,all,pools,Northeast Pacific,1
2,Gibbonsia elegans,fish,1,660,Larus occidentalis,bird,1,1,418,4,all,pools,"California; Alcatraz Island, CA; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",4
2,Gibbonsia elegans,fish,1,760,Sphaerospora sphaerula,myxozoan,6,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
2,Gibbonsia elegans,fish,1,763,Podocotyle gibbonsia,trematode,1,6,"205, 9",3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
2,Gibbonsia elegans,fish,1,1264,Gnathia steveni,isopod,3,3,"427, 428",4,all,pools,,4
2,Gibbonsia elegans,fish,1,2106,Sphaeromyxa gibbonsia,myxozoan,1,6,"205, 8",3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific; Santa Barbara, CA",1
2,Gibbonsia elegans,fish,1,2117,Helicometrina nimia,trematode,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
2,Gibbonsia elegans,fish,1,2122,Helicometrina elongata,trematode,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
2,Gibbonsia elegans,fish,1,2148,Ceratomyxa noblei,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
2,Gibbonsia elegans,fish,1,2152,Ceratomyxa blennius,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
2,Gibbonsia elegans,fish,1,2154,Trilospora californica,myxozoan,1,6,205,3,all,pools,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",1
