resource,resourceNum,resourceName,resourceCat,resourceStage,consumer,consumerNum,consumerName,consumerCat,consumerStage,interactionType,referenceNum,justification,confidence,localities,interactionZone,habitat,parasitic
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,660_Larus occidentalis_1,660,Larus occidentalis,bird,1,1,418,4,4,"California; Alcatraz Island, CA; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",all,pools,n
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,760_Sphaerospora sphaerula_6,760,Sphaerospora sphaerula,myxozoan,6,6,"205, 8",3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific; Santa Barbara, CA",all,pools,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,1264_Gnathia steveni_3,1264,Gnathia steveni,isopod,3,3,"427, 428, 527",4,4,NA,all,pools,n
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2104_Ceratomyxa gracilis_1,2104,Ceratomyxa gracilis,myxozoan,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2106_Sphaeromyxa gibbonsia_1,2106,Sphaeromyxa gibbonsia,myxozoan,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2122_Helicometrina elongata_1,2122,Helicometrina elongata,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2148_Ceratomyxa noblei_1,2148,Ceratomyxa noblei,myxozoan,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2152_Ceratomyxa blennius_1,2152,Ceratomyxa blennius,myxozoan,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2154_Trilospora californica_1,2154,Trilospora californica,myxozoan,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,2270_Pseudopecoelus gibbonsiae_1,2270,Pseudopecoelus gibbonsiae,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,3017_Larus argentatus_1,3017,Larus argentatus,bird,1,1,414,4,4,"Mandarte Island, BC",all,pools,n
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,3019_Larus glaucescens_1,3019,Larus glaucescens,bird,1,1,392,6,2,"Kopachuck State Park, WA",all,pools,n
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,3043_Egretta thula_1,3043,Egretta thula,bird,1,1,393,6,2,"Florida; Tampa Bay, FL",all,pools,n
1_Gibbonsia metzi_1,1,Gibbonsia metzi,fish,1,3047_Urile penicillatus_1,3047,Urile penicillatus,bird,1,1,415,6,1,Northeast Pacific,all,pools,n
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,660_Larus occidentalis_1,660,Larus occidentalis,bird,1,1,418,4,4,"California; Alcatraz Island, CA; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",all,pools,n
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,760_Sphaerospora sphaerula_6,760,Sphaerospora sphaerula,myxozoan,6,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,763_Podocotyle gibbonsia_1,763,Podocotyle gibbonsia,trematode,1,6,"205, 9",3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,1264_Gnathia steveni_3,1264,Gnathia steveni,isopod,3,3,"427, 428, 527",4,4,NA,all,pools,n
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,2106_Sphaeromyxa gibbonsia_1,2106,Sphaeromyxa gibbonsia,myxozoan,1,6,"205, 8",3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific; Santa Barbara, CA",all,pools,y
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,2117_Helicometrina nimia_1,2117,Helicometrina nimia,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,2122_Helicometrina elongata_1,2122,Helicometrina elongata,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,2148_Ceratomyxa noblei_1,2148,Ceratomyxa noblei,myxozoan,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,2152_Ceratomyxa blennius_1,2152,Ceratomyxa blennius,myxozoan,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,2154_Trilospora californica_1,2154,Trilospora californica,myxozoan,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,3017_Larus argentatus_1,3017,Larus argentatus,bird,1,1,414,4,4,"Mandarte Island, BC",all,pools,n
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,3019_Larus glaucescens_1,3019,Larus glaucescens,bird,1,1,392,6,2,"Kopachuck State Park, WA",all,pools,n
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,3043_Egretta thula_1,3043,Egretta thula,bird,1,1,393,6,2,"Florida; Tampa Bay, FL",all,pools,n
2_Gibbonsia elegans_1,2,Gibbonsia elegans,fish,1,3047_Urile penicillatus_1,3047,Urile penicillatus,bird,1,1,415,6,1,Northeast Pacific,all,pools,n
3_Hypsoblennius gilberti_1,3,Hypsoblennius gilberti,fish,1,10_Hypsoblennius jenkinsi_1,10,Hypsoblennius jenkinsi,fish,1,20,12,3,1,"Palos Verdes Peninsula, CA",all,pools,n
3_Hypsoblennius gilberti_1,3,Hypsoblennius gilberti,fish,1,418_Octopus bimaculoides_1,418,Octopus bimaculoides,octopus,1,1,"436, 436; 435",3,2,NA,"low, middle",pools,n
3_Hypsoblennius gilberti_1,3,Hypsoblennius gilberti,fish,1,583_Amyloodinium ocellatum_1,583,Amyloodinium ocellatum,dinoflagellate,1,7,11,3,2,Mississippi Sound,all,pools,y
3_Hypsoblennius gilberti_1,3,Hypsoblennius gilberti,fish,1,660_Larus occidentalis_1,660,Larus occidentalis,bird,1,1,418,4,4,"California; Alcatraz Island, CA; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",all,pools,n
3_Hypsoblennius gilberti_1,3,Hypsoblennius gilberti,fish,1,747_Hypsoblennius gentilis_1,747,Hypsoblennius gentilis,fish,1,20,12,3,1,"Palos Verdes Peninsula, CA",all,pools,n
3_Hypsoblennius gilberti_1,3,Hypsoblennius gilberti,fish,1,1264_Gnathia steveni_3,1264,Gnathia steveni,isopod,3,3,"427, 428, 527",4,4,NA,all,pools,n
3_Hypsoblennius gilberti_1,3,Hypsoblennius gilberti,fish,1,2104_Ceratomyxa gracilis_1,2104,Ceratomyxa gracilis,myxozoan,1,6,74,3,2,NA,all,pools,y
3_Hypsoblennius gilberti_1,3,Hypsoblennius gilberti,fish,1,2152_Ceratomyxa blennius_1,2152,Ceratomyxa blennius,myxozoan,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
3_Hypsoblennius gilberti_1,3,Hypsoblennius gilberti,fish,1,3017_Larus argentatus_1,3017,Larus argentatus,bird,1,1,414,4,4,"Mandarte Island, BC",all,pools,n
3_Hypsoblennius gilberti_1,3,Hypsoblennius gilberti,fish,1,3019_Larus glaucescens_1,3019,Larus glaucescens,bird,1,1,392,6,2,"Kopachuck State Park, WA",all,pools,n
3_Hypsoblennius gilberti_1,3,Hypsoblennius gilberti,fish,1,3043_Egretta thula_1,3043,Egretta thula,bird,1,1,393,6,2,"Florida; Tampa Bay, FL",all,pools,n
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,660_Larus occidentalis_1,660,Larus occidentalis,bird,1,1,418,4,4,"California; Alcatraz Island, CA; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",all,pools,n
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,717_Ardea herodias_1,717,Ardea herodias,bird,1,1,379,6,3,"British Columbia; Strait of Georgia, BC",all,pools,n
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,1125_Bomolochus cuneatus_1,1125,Bomolochus cuneatus,copepod,1,7,435,6,3,NA,all,pools,y
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,1127_Holobomolochus embiotocae_1,1127,Holobomolochus embiotocae,copepod,1,7,435,6,3,NA,all,pools,y
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,1171_Colobomatus embiotocae_1,1171,Colobomatus embiotocae,copepod,1,7,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,1183_Caligus hobsoni_1,1183,Caligus hobsoni,copepod,1,7,435,6,3,NA,all,pools,y
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,1191_Clavella embiotocae_1,1191,Clavella embiotocae,copepod,1,7,435,6,3,NA,all,pools,y
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,1192_Clavella parva_1,1192,Clavella parva,copepod,1,7,435,6,3,NA,all,pools,y
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,1195_Peniculus fissipes_1,1195,Peniculus fissipes,copepod,1,7,435,6,3,NA,all,pools,y
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,1229_Nerocila acuminata_1,1229,Nerocila acuminata,isopod,1,7,425,4,3,Eastern Pacific,all,pools,y
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,1264_Gnathia steveni_3,1264,Gnathia steveni,isopod,3,3,"427, 428, 527",4,4,NA,all,pools,n
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,3017_Larus argentatus_1,3017,Larus argentatus,bird,1,1,414,4,4,"Mandarte Island, BC",all,pools,n
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,3019_Larus glaucescens_1,3019,Larus glaucescens,bird,1,1,392,6,2,"Kopachuck State Park, WA",all,pools,n
4_Amphistichus koelzi_1,4,Amphistichus koelzi,fish,1,3043_Egretta thula_1,3043,Egretta thula,bird,1,1,393,6,2,"Florida; Tampa Bay, FL",all,pools,n
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,660_Larus occidentalis_1,660,Larus occidentalis,bird,1,1,418,4,4,"California; Alcatraz Island, CA; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",all,pools,n
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,717_Ardea herodias_1,717,Ardea herodias,bird,1,1,379,6,3,"British Columbia; Strait of Georgia, BC",all,pools,n
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,1125_Bomolochus cuneatus_1,1125,Bomolochus cuneatus,copepod,1,7,435,6,3,NA,all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,1127_Holobomolochus embiotocae_1,1127,Holobomolochus embiotocae,copepod,1,7,435,6,3,NA,all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,1171_Colobomatus embiotocae_1,1171,Colobomatus embiotocae,copepod,1,7,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,1183_Caligus hobsoni_1,1183,Caligus hobsoni,copepod,1,7,435,6,3,NA,all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,1191_Clavella embiotocae_1,1191,Clavella embiotocae,copepod,1,7,435,6,3,NA,all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,1192_Clavella parva_1,1192,Clavella parva,copepod,1,7,435,6,3,NA,all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,1195_Peniculus fissipes_1,1195,Peniculus fissipes,copepod,1,7,435,6,3,NA,all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,1229_Nerocila acuminata_1,1229,Nerocila acuminata,isopod,1,7,425,3,3,Eastern Pacific,all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,1264_Gnathia steveni_3,1264,Gnathia steveni,isopod,3,3,"427, 428, 527",4,4,NA,all,pools,n
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,2117_Helicometrina nimia_1,2117,Helicometrina nimia,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,2122_Helicometrina elongata_1,2122,Helicometrina elongata,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,2124_Genitocotyle acirrus_1,2124,Genitocotyle acirrus,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,2127_Nerocila californica_1,2127,Nerocila californica,isopod,1,7,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,2157_Telolecithus pugetensis_1,2157,Telolecithus pugetensis,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,2209_Diplangus triradiatus_1,2209,Diplangus triradiatus,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,2212_Encotyllabe embiotocae_1,2212,Encotyllabe embiotocae,monogene,1,7,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,2239_Lasiotocus sp._1,2239,Lasiotocus sp.,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,2250_Monorchis sp._1,2250,Monorchis sp.,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,2269_Pseudopecoelus umbrinae_1,2269,Pseudopecoelus umbrinae,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,3017_Larus argentatus_1,3017,Larus argentatus,bird,1,1,414,4,4,"Mandarte Island, BC",all,pools,n
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,3019_Larus glaucescens_1,3019,Larus glaucescens,bird,1,1,392,6,2,"Kopachuck State Park, WA",all,pools,n
5_Amphistichus argenteus_1,5,Amphistichus argenteus,fish,1,3043_Egretta thula_1,3043,Egretta thula,bird,1,1,393,6,2,"Florida; Tampa Bay, FL",all,pools,n
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,586_Postmonorchis donacis_1,586,Postmonorchis donacis,trematode,1,6,"205, 48, 48/49, 49",3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,660_Larus occidentalis_1,660,Larus occidentalis,bird,1,1,418,4,4,"California; Alcatraz Island, CA; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",all,pools,n
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,717_Ardea herodias_1,717,Ardea herodias,bird,1,1,379,6,3,"British Columbia; Strait of Georgia, BC",all,pools,n
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,1125_Bomolochus cuneatus_1,1125,Bomolochus cuneatus,copepod,1,7,435,6,3,NA,all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,1127_Holobomolochus embiotocae_1,1127,Holobomolochus embiotocae,copepod,1,7,435,6,3,NA,all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,1171_Colobomatus embiotocae_1,1171,Colobomatus embiotocae,copepod,1,7,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,1183_Caligus hobsoni_1,1183,Caligus hobsoni,copepod,1,7,435,6,3,NA,all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,1191_Clavella embiotocae_1,1191,Clavella embiotocae,copepod,1,7,435,6,3,NA,all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,1192_Clavella parva_1,1192,Clavella parva,copepod,1,7,435,6,3,NA,all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,1195_Peniculus fissipes_1,1195,Peniculus fissipes,copepod,1,7,435,6,3,NA,all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,1227_Elthusa californica_1,1227,Elthusa californica,isopod,1,6,435,3,2,NA,all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,1227_Elthusa californica_1,1227,Elthusa californica,isopod,1,7,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,1229_Nerocila acuminata_1,1229,Nerocila acuminata,isopod,1,7,425,3,3,Eastern Pacific,all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,1264_Gnathia steveni_3,1264,Gnathia steveni,isopod,3,3,"427, 428, 527",4,4,NA,all,pools,n
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,2124_Genitocotyle acirrus_1,2124,Genitocotyle acirrus,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,2127_Nerocila californica_1,2127,Nerocila californica,isopod,1,7,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,2159_Schikhobalotrema girellae_1,2159,Schikhobalotrema girellae,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
6_Micrometrus minimus_1,6,Micrometrus minimus,fish,1,2165_Neozoogonus californicus_1,2165,Neozoogonus californicus,trematode,1,6,205,3,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
