node,nodeNum,nodeName,synonymies,category,common_name,life_stage,life_stage_code,province,commonality,reference,zone,habitat_notes,grouping_habits,mobility,trophic_strategy,node_type,node_resolution,aphia,kingdom,phylum,class,order,family,genus,parasite
1_Gibbonsia metzi_1,1,Gibbonsia metzi,NA,fish,striped kelpfish,adult,1,Both,present,exp. test. D. Canestro; 450,NA,"Found among seaweeds, especially in tide pools, kelp",solitary,mobile,typical predator,Taxonomic,Species,280835,Animalia,Chordata,Teleostei,Blenniiformes,Clinidae,Gibbonsia,n
2_Gibbonsia elegans_1,2,Gibbonsia elegans,NA,fish,spotted kelpfish,adult,1,Both,present,exp. test. D. Canestro; 450,NA,Found from subtidal rocky areas usually in seaweed,solitary,mobile,typical predator,Taxonomic,Species,280833,Animalia,Chordata,Teleostei,Blenniiformes,Clinidae,Gibbonsia,n
3_Hypsoblennius gilberti_1,3,Hypsoblennius gilberti,NA,fish,rockpool blenny,adult,1,S,present,exp. test. D. Canestro; 450,NA,"in intertidal areas, with homing behavior",solitary,mobile,typical predator,Taxonomic,Species,276324,Animalia,Chordata,Teleostei,Blenniiformes,Blenniidae,Hypsoblennius,n
4_Amphistichus koelzi_1,4,Amphistichus koelzi,NA,fish,calico surfperch,adult,1,Both,present,exp. test. D. Canestro; 450,NA,Adults occur usually in sand beaches in surf,solitary,mobile,typical predator,Taxonomic,Species,279595,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Amphistichus,n
5_Amphistichus argenteus_1,5,Amphistichus argenteus,NA,fish,barred surfperch,adult,1,N,present,exp. test. D. Canestro; 450,NA,"occur near rocks, pilings, other sources of cover, food. Usually form small groups",solitary,mobile,typical predator,Taxonomic,Species,279594,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Amphistichus,n
6_Micrometrus minimus_1,6,Micrometrus minimus,NA,fish,dwarf perch,adult,1,N,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,typical predator,Taxonomic,Species,281562,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Micrometrus,n
8_Atherinops affinis_1,8,Atherinops affinis,NA,fish,topsmelt,adult,1,Both,common,exp. test. D. Canestro; 450; 485,middle to low,common in bays and kelp beds,solitary,mobile,omnivore,Taxonomic,Species,279812,Animalia,Chordata,Teleostei,Atheriniformes,Atherinidae,Atherinops,n
9_Triakis semifasciata_1,9,Triakis semifasciata,NA,shark,leopard shark,adult,1,Both,present,exp. test. exp. test. D. Canestro,NA,NA,solitary,mobile,typical predator,Life Stage,Species,279060,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Triakis,n
10_Hypsoblennius jenkinsi_1,10,Hypsoblennius jenkinsi,NA,fish,mussel blenny,adult,1,N,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,typical predator,Taxonomic,Species,276328,Animalia,Chordata,Teleostei,Blenniiformes,Blenniidae,Hypsoblennius,n
11_Artedius fenestralis_1,11,Artedius fenestralis,NA,fish,padded sculpin,adult,1,Both,uncommon,exp. test. D. Canestro; 450; 485,NA,intertidal,solitary,mobile,typical predator,Taxonomic,Species,279700,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Artedius,n
12_Girella nigricans_4,12,Girella nigricans,NA,fish,opaleye,juvenile,4,Both,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,omnivore,Life Stage,Species,280865,Animalia,Chordata,Teleostei,Centrarchiformes,Kyphosidae,Girella,n
14_Leptocottus armatus_1,14,Leptocottus armatus,NA,fish,Pacific staghorn sculpin,adult,1,N,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,typical predator,Taxonomic,Species,254345,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Leptocottus,n
15_Clinocottus analis_1,15,Clinocottus analis,NA,fish,wooly sculpin,adult,1,Both,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,typical predator,Taxonomic,Species,280219,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Clinocottus,n
16_Oligocottus maculosus_1,16,Oligocottus maculosus,NA,fish,tidepool sculpin,adult,1,Both,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,typical predator,Taxonomic,Species,281872,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Oligocottus,n
18_Heterostichus rostratus_1,18,Heterostichus rostratus,NA,fish,kelpfish,adult,1,N,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,typical predator,Taxonomic,Species,281075,Animalia,Chordata,Teleostei,Blenniiformes,Clinidae,Heterostichus,n
19_Gobiesox maeandricus_1,19,Gobiesox maeandricus,NA,fish,northern clingfish,adult,1,N,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,typical predator,Taxonomic,Species,275671,Animalia,Chordata,Teleostei,Gobiesociformes,Gobiesocidae,Gobiesox,n
21_Antho karykina_1,21,Antho karykina,NA,sponge,NA,adult,1,Central,common,435,middle to low,NA,NA,sessile,filter feeder,Taxonomic,Species,412846,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Antho,n
23_Antho lithophoenix_1,23,Antho lithophoenix,NA,sponge,NA,adult,1,Central,fairly common,435,middle to low,NA,NA,sessile,filter feeder,Taxonomic,Species,827729,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Antho,n
28_Clathria pennata_1,28,Clathria pennata,Ophlitaspongia pennata,sponge,NA,adult,1,Both,common,436; 435,middle to low,NA,NA,sessile,filter feeder,Taxonomic,Species,408725,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Clathria,n
30_Clathria originalis_1,30,Clathria originalis,NA,sponge,NA,adult,1,Central,common,435,very low,NA,NA,sessile,filter feeder,Taxonomic,Species,412623,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Clathria,n
