resourceNum,resourceName,resourceCat,resourceStage,consumerNum,consumerName,consumerCat,consumerStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,habitat,MorrisHaderlie,epibiota_consumed,notes,link.ID
66,Cliona celata,sponge,1,328,Doriopsilla albopunctata,nudibranch,1,3,1,3,1,436,,all,pools,y,NA,NA,1
66,Cliona celata,sponge,1,328,Doriopsilla albopunctata,nudibranch,1,3,1,3,1,162,California;California,all,pools,NA,NA,NA,660
66,Cliona celata,sponge,1,328,Doriopsilla albopunctata,nudibranch,1,1,1,3,1,436,California,low,pools,y,y,NA,20566
64,Aplysina fistularis,sponge,1,306,Tylodina fungina,nudibranch,1,3,1,3,1,436,,all,pools,y,NA,NA,2
64,Aplysina fistularis,sponge,1,306,Tylodina fungina,nudibranch,1,1,1,3,1,"436,  132","San Diego, CA",all,pools,NA,NA,NA,477
70,Haliclona sp.,sponge,1,326,Diaulula sandiegensis,nudibranch,1,3,1,3,1,436,,all,pools,y,NA,NA,3
70,Haliclona sp.,sponge,1,326,Diaulula sandiegensis,nudibranch,1,1,3,6,2,375,"Sanak Archipelago;Sanak Archipelago, AK",all,pools,no,y,NA,12911
70,Haliclona sp.,sponge,1,326,Diaulula sandiegensis,nudibranch,1,1,1,3,1,436,California,low,pools,y,y,NA,20560
70,Haliclona sp.,sponge,1,324,Doris montereyensis,nudibranch,1,3,1,3,1,162,California;California,all,pools,NA,NA,reported as Prianos sp.,653
70,Haliclona sp.,sponge,1,325,Peltodoris nobilis,nudibranch,1,3,1,3,1,163,"California;Morro Bay, CA",all,pools,NA,NA,reported as Prianos sp.,716
70,Haliclona sp.,sponge,1,325,Peltodoris nobilis,nudibranch,1,3,1,3,1,163,"California;San Diego, CA",all,pools,NA,NA,reported as Prianos sp.,716
70,Haliclona sp.,sponge,1,327,Geitodoris heathi,nudibranch,1,3,4,4,1,436,,middle,pools,y,NA,"MAH says nudibranch has been ""seen clinging to sponge"" but didn't confirm predation",609
70,Haliclona sp.,sponge,1,1906,Hypselodoris californiensis,nudibranch,1,3,2,3,1,435,,all,pools,no,NA,NA,2546
71,Higginsia sp.,sponge,1,312,Cadlina luteomarginata,nudibranch,1,3,1,3,1,436,,all,pools,y,NA,NA,4
71,Higginsia sp.,sponge,1,312,Cadlina luteomarginata,nudibranch,1,3,1,3,1,162,California;California,all,pools,NA,NA,NA,630
71,Higginsia sp.,sponge,1,312,Cadlina luteomarginata,nudibranch,1,3,2,3,1,436; 435,,low,pools,yes,NA,NA,2423
71,Higginsia sp.,sponge,1,312,Cadlina luteomarginata,nudibranch,1,1,1,3,1,436,California,low,pools,y,y,NA,20537
607,Phyllospadix torreyi,angiosperm,1,1253,Pentidotea resecata,isopod,1,3,3,6,1,435,,all,both,NA,no,eats seeds,2899
607,Phyllospadix torreyi,angiosperm,1,609,Protohyale (Protohyale) frequens,gammarid,1,3,3,3,1,304; 435,,all,pools,NA,yes,NA,4139
607,Phyllospadix torreyi,angiosperm,1,501,Ampithoe plumulosa,gammarid,1,1,4,4,1,436; 435,,low,both,NA,yes,NA,8270
607,Phyllospadix torreyi,angiosperm,1,168,Strongylocentrotus purpuratus,urchin,1,3,2,6,1,66,"Monterey Peninsula, Cal Hopkins Marine Station, CA",all,pools,NA,NA,NA,122
607,Phyllospadix torreyi,angiosperm,1,401,Stenoplax heathiana,chiton,1,3,1,3,1,311,"San Mateo County, CA",middle,both,n,yes,NA,785
