resource,resourceNum,resourceName,resourceCat,resourceStage,consumer,consumerNum,consumerName,consumerCat,consumerStage,interactionType,referenceNum,justification,confidence,ref_location_code,localities,interactionZone,habitat,parasitic
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,660_Larus occidentalis,660,Larus occidentalis,bird,1,1,418,4,4,1,"California; Alcatraz Island, CA; East Anacapa Island, CA; Moss Landing, CA; Southeast Farallon Islands, CA; Santa Barbara Island, CA",all,pools,n
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,717_Ardea herodias,717,Ardea herodias,bird,1,1,544; 583,6,4,2,"Tatoosh Island, WA",all,pools,n
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,760_Sphaerospora sphaerula,760,Sphaerospora sphaerula,myxozoan,6,6,205; 8,3,1,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific; Santa Barbara, CA",all,pools,y
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,1264_Gnathia steveni,1264,Gnathia steveni,isopod,3,3,"427, 428, 527",4,4,1,NA,all,pools,n
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,2104_Ceratomyxa gracilis,2104,Ceratomyxa gracilis,myxozoan,1,6,205,3,1,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,2106_Sphaeromyxa gibbonsia,2106,Sphaeromyxa gibbonsia,myxozoan,1,6,205,3,1,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,2122_Helicometrina elongata,2122,Helicometrina elongata,trematode,1,6,205,3,1,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,2148_Ceratomyxa noblei,2148,Ceratomyxa noblei,myxozoan,1,6,205,3,1,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,2152_Ceratomyxa blennius,2152,Ceratomyxa blennius,myxozoan,1,6,205,3,1,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,2154_Trilospora californica,2154,Trilospora californica,myxozoan,1,6,205,3,1,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,2270_Pseudopecoelus gibbonsiae,2270,Pseudopecoelus gibbonsiae,trematode,1,6,205,3,1,1,"British Columbia; Japan; Oregon; Alaska; Baja California; California; Canada; Central California; Cerros Island, Mexico; Gulf of California; Southern California; New York Aquarium; Northern California; Pacific coast of Baja California; Sea of Japan; USSR; USSR Pacific; Washington; Washington, British Columbia; Northeast Pacific",all,pools,y
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,3017_Larus argentatus,3017,Larus argentatus,bird,1,1,548,4,4,1,NA,all,pools,n
1_Gibbonsia metzi,1,Gibbonsia metzi,fish,1,3019_Larus glaucescens,3019,Larus glaucescens,bird,1,1,392,6,2,1,"Kopachuck State Park, WA",all,pools,n
