node,nodeID,nodeNum,nodeTaxon,synonymies,category,common_name,life_stage,life_stage_code,province,commonality,reference,zone,habitat_notes,grouping_habits,mobility,node_type,node_resolution,aphia,kingdom,phylum,class,order,family,genus,parasite,consumer_strategy,consumer_type
1_Gibbonsia metzi,1_Gibbonsia metzi,1,Gibbonsia metzi,NA,fish,striped kelpfish,adult,1,Both,present,exp. test. D. Canestro; 450,NA,"Found among seaweeds, especially in tide pools, kelp",solitary,mobile,Taxonomic,Species,280835,Animalia,Chordata,Teleostei,Blenniiformes,Clinidae,Gibbonsia,n,typical predator,predator
2_Gibbonsia elegans,2_Gibbonsia elegans,2,Gibbonsia elegans,NA,fish,spotted kelpfish,adult,1,Both,present,exp. test. D. Canestro; 450,NA,Found from subtidal rocky areas usually in seaweed,solitary,mobile,Taxonomic,Species,280833,Animalia,Chordata,Teleostei,Blenniiformes,Clinidae,Gibbonsia,n,typical predator,predator
3_Hypsoblennius gilberti,3_Hypsoblennius gilberti,3,Hypsoblennius gilberti,NA,fish,rockpool blenny,adult,1,S,present,exp. test. D. Canestro; 450,NA,"in intertidal areas, with homing behavior",solitary,mobile,Taxonomic,Species,276324,Animalia,Chordata,Teleostei,Blenniiformes,Blenniidae,Hypsoblennius,n,typical predator,predator
4_Amphistichus koelzi,4_Amphistichus koelzi,4,Amphistichus koelzi,NA,fish,calico surfperch,adult,1,Both,present,exp. test. D. Canestro; 450,NA,Adults occur usually in sand beaches in surf,solitary,mobile,Taxonomic,Species,279595,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Amphistichus,n,typical predator,predator
5_Amphistichus argenteus,5_Amphistichus argenteus,5,Amphistichus argenteus,NA,fish,barred surfperch,adult,1,N,present,exp. test. D. Canestro; 450,NA,"occur near rocks, pilings, other sources of cover, food. Usually form small groups",solitary,mobile,Taxonomic,Species,279594,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Amphistichus,n,typical predator,predator
6_Micrometrus minimus,6_Micrometrus minimus,6,Micrometrus minimus,NA,fish,dwarf perch,adult,1,N,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,Taxonomic,Species,281562,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Micrometrus,n,typical predator,predator
8_Atherinops affinis,8_Atherinops affinis,8,Atherinops affinis,NA,fish,topsmelt,adult,1,Both,common,exp. test. D. Canestro; 450; 485,middle to low,common in bays and kelp beds,solitary,mobile,Taxonomic,Species,279812,Animalia,Chordata,Teleostei,Atheriniformes,Atherinidae,Atherinops,n,omnivore,predator
9_Triakis semifasciata,9_Triakis semifasciata,9,Triakis semifasciata,NA,shark,leopard shark,adult,1,Both,present,exp. test. exp. test. D. Canestro,NA,NA,solitary,mobile,Life Stage,Species,279060,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Triakis,n,typical predator,predator
10_Hypsoblennius jenkinsi,10_Hypsoblennius jenkinsi,10,Hypsoblennius jenkinsi,NA,fish,mussel blenny,adult,1,N,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,Taxonomic,Species,276328,Animalia,Chordata,Teleostei,Blenniiformes,Blenniidae,Hypsoblennius,n,typical predator,predator
11_Artedius fenestralis,11_Artedius fenestralis,11,Artedius fenestralis,NA,fish,padded sculpin,adult,1,Both,uncommon,exp. test. D. Canestro; 450; 485,NA,intertidal,solitary,mobile,Taxonomic,Species,279700,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Artedius,n,typical predator,predator
12_Girella nigricans,12_Girella nigricans_juvenile,12,Girella nigricans,NA,fish,opaleye,juvenile,4,Both,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,Life Stage,Species,280865,Animalia,Chordata,Teleostei,Centrarchiformes,Kyphosidae,Girella,n,omnivore,predator
14_Leptocottus armatus,14_Leptocottus armatus,14,Leptocottus armatus,NA,fish,Pacific staghorn sculpin,adult,1,N,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,Taxonomic,Species,254345,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Leptocottus,n,typical predator,predator
15_Clinocottus analis,15_Clinocottus analis,15,Clinocottus analis,NA,fish,wooly sculpin,adult,1,Both,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,Taxonomic,Species,280219,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Clinocottus,n,typical predator,predator
16_Oligocottus maculosus,16_Oligocottus maculosus,16,Oligocottus maculosus,NA,fish,tidepool sculpin,adult,1,Both,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,Taxonomic,Species,281872,Animalia,Chordata,Teleostei,Perciformes,Cottidae,Oligocottus,n,typical predator,predator
18_Heterostichus rostratus,18_Heterostichus rostratus,18,Heterostichus rostratus,NA,fish,kelpfish,adult,1,N,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,Taxonomic,Species,281075,Animalia,Chordata,Teleostei,Blenniiformes,Clinidae,Heterostichus,n,typical predator,predator
19_Gobiesox maeandricus,19_Gobiesox maeandricus,19,Gobiesox maeandricus,NA,fish,northern clingfish,adult,1,N,present,exp. test. D. Canestro; 450,NA,NA,solitary,mobile,Taxonomic,Species,275671,Animalia,Chordata,Teleostei,Gobiesociformes,Gobiesocidae,Gobiesox,n,typical predator,predator
21_Antho karykina,21_Antho karykina,21,Antho karykina,NA,sponge,NA,adult,1,Central,common,435,middle to low,NA,NA,sessile,Taxonomic,Species,412846,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Antho,n,filter feeder,predator
23_Antho lithophoenix,23_Antho lithophoenix,23,Antho lithophoenix,NA,sponge,NA,adult,1,Central,fairly common,435,middle to low,NA,NA,sessile,Taxonomic,Species,827729,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Antho,n,filter feeder,predator
28_Clathria pennata,28_Clathria pennata,28,Clathria pennata,Ophlitaspongia pennata,sponge,NA,adult,1,Both,common,436; 435; 536,middle to low,NA,NA,sessile,Taxonomic,Species,408725,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Clathria,n,filter feeder,predator
30_Clathria originalis,30_Clathria originalis,30,Clathria originalis,NA,sponge,NA,adult,1,Central,common,435,very low,NA,NA,sessile,Taxonomic,Species,412623,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Clathria,n,filter feeder,predator
33_Lissodendoryx firma,33_Lissodendoryx firma,33,Lissodendoryx firma,NA,sponge,NA,adult,1,Central,common,435,low,NA,NA,sessile,Taxonomic,Species,133434,Animalia,Porifera,Demospongiae,Poecilosclerida,Coelosphaeridae,Lissodendoryx,n,filter feeder,predator
35_Hymedesmia (Stylopus) arndti,35_Hymedesmia (Stylopus) arndti,35,Hymedesmia (Stylopus) arndti,Astylinifer arndti,sponge,NA,adult,1,Central,uncommon,435; 536,very low,NA,solitary,sessile,Taxonomic,Species,169281,Animalia,Porifera,Demospongiae,Poecilosclerida,Hymedesmiidae,Hymedesmia,n,filter feeder,predator
38_Myxilla incrustans,38_Myxilla incrustans,38,Myxilla incrustans,NA,sponge,NA,adult,1,Central,present,435,low,NA,NA,sessile,Taxonomic,Species,133882,Animalia,Porifera,Demospongiae,Poecilosclerida,Myxillidae,Myxilla,n,filter feeder,predator
46_Mycale macginitiei,46_Mycale macginitiei,46,Mycale macginitiei,NA,sponge,NA,adult,1,Central,fairly common,435,low,NA,NA,sessile,Taxonomic,Species,192547,Animalia,Porifera,Demospongiae,Poecilosclerida,Mycalidae,Mycale,n,filter feeder,predator
51_Haliclona gellindra,51_Haliclona gellindra,51,Haliclona gellindra,Adocia gellindra,sponge,NA,adult,1,Central,uncommon,435,all,NA,NA,sessile,Taxonomic,Species,191486,Animalia,Porifera,Demospongiae,Haplosclerida,Chalinidae,Haliclona,n,filter feeder,predator
62_Acarnus erithacus,62_Acarnus erithacus,62,Acarnus erithacus,NA,sponge,NA,adult,1,Both,present,436; 435,NA,NA,NA,sessile,Taxonomic,Species,167343,Animalia,Porifera,Demospongiae,Poecilosclerida,Acarnidae,Acarnus,n,filter feeder,predator
63_Aplysilla glacialis,63_Aplysilla glacialis,63,Aplysilla glacialis,NA,sponge,NA,adult,1,Both,present,436; 435,NA,NA,colonial,sessile,Taxonomic,Species,132295,Animalia,Porifera,Demospongiae,Dendroceratida,Darwinellidae,Aplysilla,n,filter feeder,predator
64_Aplysina fistularis,64_Aplysina fistularis,64,Aplysina fistularis,NA,sponge,NA,adult,1,Both,present,436; 435,NA,NA,colonial,sessile,Taxonomic,Species,169648,Animalia,Porifera,Demospongiae,Verongiida,Aplysinidae,Aplysina,n,filter feeder,predator
65_Axocielita originalis,65_Axocielita originalis,65,Axocielita originalis,NA,sponge,NA,adult,1,Both,present,436,NA,NA,NA,sessile,Taxonomic,Species,412624,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Axocielita,n,filter feeder,predator
66_Cliona celata,66_Cliona celata,66,Cliona celata,NA,sponge,boring sponge,adult,1,Both,present,436; 536,NA,NA,NA,sessile,Taxonomic,Species,134121,Animalia,Porifera,Demospongiae,Clionaida,Clionaidae,Cliona,n,filter feeder,predator
69_Halichondria panicea,69_Halichondria panicea,69,Halichondria panicea,NA,sponge,crumb of bread sponge,adult,1,Both,abundant,436; 435; 536,NA,NA,NA,sessile,Taxonomic,Species,132627,Animalia,Porifera,Demospongiae,Suberitida,Halichondriidae,Halichondria,n,filter feeder,predator
