reference_number,nsboth,ca,ep_riz,general_location_of_study
1,s,y,y,"San Pedro, CA; Garden Grove, CA."
2,s,y,y,"Lunada Bay, CA; Palos Verdes, CA"
3,n,y,y,"Long Marine Laboratory, CA"
4,n,y,y,"Hopkins Marine Laboratory, CA"
4,n,y,y,"Hopkins Marine Laboratory, CA"
5,n,n,y,"Fossil Point, Charleston, OR; OIMB, Charleston, OR"
6,n,n,y,"San Juan Island, WA; Shannon Point Beach, WA; University of Washington Friday Harbor Marine Laboratories, WA"
7,s,y,NA,"Portugese Bend, CA"
7,s,y,NA,"Portugese Bend, CA"
7,s,y,NA,"Portugese Bend, CA"
7,s,y,NA,"Portugese Bend, CA"
8,s,y,NA,"Santa Barbara, CA"
8,s,y,NA,"Santa Barbara, CA"
9,n,y,NA,
10,s,y,y,"Lunada Bay, CA"
10,s,y,y,"Lunada Bay, CA"
11,na,n,n,Mississippi Sound
12,s,y,y,"Palos Verdes Peninsula, CA"
12,s,y,y,"Palos Verdes Peninsula, CA"
13,s,y,NA,"San Diego, CA"
14,n,y,y,"Monterey Coast Guard Breakwater, CA; Stillwater Cove, Carmel Bay, CA"
14,n,y,y,"Monterey Coast Guard Breakwater, CA; Stillwater Cove, Carmel Bay, CA"
15,n,n,y,"Deer Group Islands, Barkley Sound"
16,n,n,y,"Friday Harbor, WA"
17,n,y,NA,"Bodega Marine Lab, CA"
17,n,y,NA,"Bodega Marine Lab, CA"
17,n,y,NA,"Bodega Marine Lab, CA"
18,n,n,y,"Victoria, B.C. Canada"
19,s,y,y,"Channel Islands, CA"
20,s,y,y,"Naples Reef, Santa Barbara, CA; Santa Cruz Island, CA; Santa Catalina Island, CA; Santa Barbara, CA; San Mateo, CA; San Onofre, CA"
21,s,y,y,"San Clemente, CA"
22,s,y,y,"Pacific Grove,CA"
23,s,y,y,"San Nicolas Island, CA"
23,s,y,y,"San Nicolas Island, CA"
24,n,n,y,"Bamfield Marine Sciences Centre, Vancouver Island, British Columbia, Canada"
24,n,n,y,"Bamfield Marine Sciences Centre, Vancouver Island, British Columbia, Canada"
25,n,n,y,"British Columbia, Canada"
26,n,n,y,"Bamfield Marine Sciences Centre, Vancouver Island, British Columbia, Canada"
27,both,y,y,California
28,n,y,y,"Monterey Bay, CA"
29,n,y,y,Eastern Pacific
29,n,y,y,Eastern Pacific
30,n,n,y,"Orcas Island, WA"
30,n,n,y,"Orcas Island, WA"
30,n,n,y,"Orcas Island, WA"
31,s,y,y,"Catalina Marine Science Center Marine Life Refuge, CA"
32,na,n,n,Indo-Malay Archipelago
33,n,y,y,"Bodega Harbor, CA"
34,n,n,y,"Bamfield Marine Sciences Centre, Vancouver Island, British Columbia, Canada"
35,n,n,y,"Burrard Inlet, British Columbia"
37,n,n,y,"Manchester Research Station, WA"
38,n,n,y,"Puget Sound, WA"
38,n,n,y,"Puget Sound, WA"
38,n,n,y,"Puget Sound, WA"
39,n,n,y,British Columbia
40,na,n,n,British Columbia
41,both,y,y,North America
42,n,n,y,"Homer, AK"
43,na,n,n,Plymouth
44,n,n,y,"San Juan Archipelago, WA"
45,na,n,n,Isle of Man
46,na,n,n,North Sea
48,n,n,y,
49,both,n,y,
50,na,n,n,"Gulf of St. Lawrence,  Canada"
51,na,n,n,Lab
52,na,n,n,"Gulf of St. Lawrence,  Canada"
53,na,n,n,Barents Sea
54,na,n,n,"University of Liege, Calvi, Corsica; Tjarno Marine Biological Laboratory of the University of Goteborg"
55,na,n,n,"Placentia Bay, Newfoundland"
56,na,n,n,Gulf of Maine
57,NA,NA,NA,
58,na,n,n,"Gulf of St. Lawrence,  Canada"
59,na,n,n,North Carolina
60,na,n,n,"Gulf of St. Lawrence,  Canada"
61,na,n,n,Appledore Island
61,na,n,n,Appledore Island
62,NA,NA,NA,Lab
63,na,n,n,"Laing Island, Papua New Guinea and Langrune-sur-Mer, France"
64,na,n,n,"Sao Sebastiao Channel, Sao Paulo, Brazil"
65,both,y,y,"Santa Cruz Island, CA; San Diego, CA"
66,n,y,y,"Monterey Peninsula, Cal Hopkins Marine Station, CA"
66,n,y,y,"Monterey Peninsula, Cal Hopkins Marine Station, CA"
67,n,y,y,"Stillwater Cove in Carmel Bay, CA"
67,n,y,y,"Stillwater Cove in Carmel Bay, CA"
67,n,y,y,"Stillwater Cove in Carmel Bay, CA"
67,n,y,y,"Stillwater Cove in Carmel Bay, CA"
68,s,y,y,"Pt. Loma, CA"
70,n,n,y,"San Juan Archipelago, WA"
70,n,n,y,"San Juan Archipelago, WA"
70,n,n,y,"San Juan Archipelago, WA"
70,n,n,y,"San Juan Archipelago, WA"
70,n,n,y,"San Juan Archipelago, WA"
71,s,n,y,"Granada Cove, Todos Santos Bay, Mexico"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
72,n,y,y,"San Mateo Coast State Beaches, California"
