ID,species
1,Gibbonsia metzi
2,Gibbonsia elegans
3,Hypsoblennius gilberti
4,Amphistichus koelzi
5,Amphistichus argenteus
6,Micrometrus minimus
7,Sygnathus californiensis
8,Atherinops affinis
9,Triakis semifasciata
10,Hypoblennius jenkinsi
11,Artedius fenestralis
12,Girella nigricans
13,Hypomesus transpacificus
14,Leptocottus armatus 
15,Clinocottus analis
16,Oligocottus maculosus
17,Sygnathus sp.
18,Heterostichus rostratus
19,Gobiesox maeandricus
20,Antho illgi
21,Antho karykina
22,Antho lambei
23,Antho lithophoenix
24,Clathria asodes
25,Clathria brepha
26,Clathria microjoanna
27,Clathria parthena
28,Clathria pennata
29,Clathria spongigartina
30,Clathria originalis
31,Clathria pseudonapya
32,Forcepia hartmani
33,Lissodendoryx firma
34,Acanthancora cyanocrypta
35,Hymedesmia arndti
36,Plocamionida lyoni
37,Myxilla agennes
38,Myxilla incrustans
39,Plocamiancora igzo
40,Tedania obscurata
41,Tedania gurjanovae
42,Tedania toxicalis
43,Hamacantha hyaloderma
44,Mycale adhaerens
45,Mycale hispida
46,Mycale macginitiei
47,Mycale richardsoni
48,Mycale psila
49,Hymeniacidon actities
50,Hymeniacidon ungodon
51,Haliclona gellindra
52,Niphates lunisimilis
53,Neopetrosia vanilla
54,Xestospongia dubia
55,Xestospongia edapha
56,Amphimedon trindanea
57,Spongia idia
58,Halisarca sp. 
59,Clathrina sp.
60,Orthasterias koehleri
61,Bythotiara huntsmani 
62,Acarnus erithacus
63,Aplysilla glacialis
64,Aplysina fistularis
65,Axocielita originalis
66,Cliona celata
67,Dysidea fragilis
68,Geodia mesotriaena
69,Halichondria panicea
70,Haliclona sp. 
71,Higginsia sp. 
72,Acanthancora cyanocrypta
73,Iophon rayae
74,Leucilla nuttingi
75,Leucoselenia eleanor
76,Lissodendoryx topsenti
77,Ophlitaspongia pennata
78,Penares cortius
79,Spheciospongia confoederata
80,Stelletta clarella
81,Bythotiara huntsmani 
82,Tubularia marina
83,Garveia annulata
84,Eudendrium californicum
85,Obelia dichotoma
86,Obelia bidentata
87,Obelia geniculata
88,Sertularia furcata
89,Xingyurella turgida
90,Abietinaria sp.
91,Aglaophenia struthioides
92,Aglaophenia latirostris
93,Plumularia sp.
94,Allopora porphyra
95,Manania sp.
96,Clavularia sp.
97,Halacampa decemtentacula
98,Cactosoma arenaria
99,Anthopleura xanthogrammica
100,Anthopleura sola
101,Anthopleura elegantissima
102,Epiactis prolifera
103,Anthopleura artemesia
104,Urticina crassicornis
105,Urticina coriacea
106,Tealia lofotensis
107,Metridium senile
108,Haliplanella luciae
109,Corynactis californica
110,Balanophyllia elegans
111,Polychoerus carmelensis
112,Imogine tripartitus
