consumerNum,consumerName,life_stage,consumerCat,trophic_strategy,source,preys_on,parasitic_on,zone,habitat_notes
2325,drift algae,NA,algae,primary producer,NONE,not reported,NA,all,"varies, can be epiphytic"
759,macroalgae,adult,algae,primary producer,NA,not reported,NA,NA,NA
500,Pleustes platypa,adult,amphipod,unknown,"Morris, Abbott, & Haderlie",not reported,NA,low,on Macrosystis pyrifera in close association with Mitrella carinata (mimic)
103,Anthopleura artemisia,adult,anemone,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,low,pholad holes
101,Anthopleura elegantissima,adult,anemone,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,NA,NA
100,Anthopleura sola,adult,anemone,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,NA,NA
970,Aulactinia incubans,adult,anemone,filter feeder,Light & Smith,not reported,NA,low,protected low-intertidal areas such as under overhangs
971,Epiactis lisbethae,adult,anemone,filter feeder,Light & Smith,not reported,NA,low,NA
972,Epiactis ritteri,adult,anemone,filter feeder,Light & Smith,not reported,NA,low,"Under, on rocks in protected places of outer coast"
106,Urticina lofotensis,adult,anemone,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,low,"on outer coast; on rocks, in protected pools"
110,Balanophyllia elegans,adult,anemone,filter feeder,Light & Smith,zooplankton,NA,low,"on rocky open coasts, typically in surge channels, often under overhangs"
973,Diadumene lighti,adult,anemone,filter feeder,Light & Smith,not reported,NA,all,In sand among algal holdfasts along edges of rocky shore tide channels
974,Cactosoma arenarium,adult,anemone,filter feeder,Light & Smith,not reported,NA,all,On open coasts; frequents kelp holdfasts
97,Halcampa decemtentaculata,adult,anemone,filter feeder,"Morris, Abbott, & Haderlie; Light & Smith",not reported,NA,low,"among Phyllospadix (surfgrass) holdfasts, holdfasts of laminarian kelp, or in gravelly tidepools."
98,Cactosoma arenarium,NA,anemone,unknown,"Morris, Abbott, & Haderlie",not reported,NA,low,not much known
