resource,resourceNum,resourceName,resourceCat,resourceStage,consumer,consumerNum,consumerName,consumerCat,consumerStage,interactionType,referenceNum,justification,confidence,localities,interactionZone,habitat,parasitic
99_Anthopleura xanthogrammica_1,99,Anthopleura xanthogrammica,anemone,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,all,both,n
100_Anthopleura sola_1,100,Anthopleura sola,anemone,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,all,both,n
101_Anthopleura elegantissima_1,101,Anthopleura elegantissima,anemone,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,all,both,n
102_Epiactis prolifera_1,102,Epiactis prolifera,anemone,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,middle,both,n
103_Anthopleura artemisia_1,103,Anthopleura artemisia,anemone,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,low,both,n
104_Urticina crassicornis_1,104,Urticina crassicornis,anemone,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,middle,both,n
105_Urticina coriacea_1,105,Urticina coriacea,anemone,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,middle,both,n
106_Urticina lofotensis_1,106,Urticina lofotensis,anemone,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,low,both,n
154_Cucumaria pseudocurata_1,154,Cucumaria pseudocurata,cucumber,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,middle,pools,n
155_Cucumaria miniata_1,155,Cucumaria miniata,cucumber,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,low,pools,n
209_Lottia persona_1,209,Lottia persona,limpet,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",3,2,Sanak Archipelago,high,exposed,n
217_Styela montereyensis_1,217,Styela montereyensis,tunicate,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,low,both,n
218_Styela clava_1,218,Styela clava,tunicate,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,low,both,n
219_Styela truncata_1,219,Styela truncata,tunicate,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,low,both,n
220_Pyura haustor_1,220,Pyura haustor,tunicate,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,low,both,n
229_Haliotis cracherodii_1,229,Haliotis cracherodii,abalone,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,436; 435,3,1,California,all,both,n
247_Littorina keenae_1,247,Littorina keenae,snail,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,high,both,n
248_Littorina scutulata_1,248,Littorina scutulata,snail,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,high,both,n
285_Nucella lamellosa_1,285,Nucella lamellosa,snail,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",3,2,Sanak Archipelago,low,both,n
384_Hiatella arctica_1,384,Hiatella arctica,boring clam,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",6,3,Sanak Archipelago,low,both,n
416_Katharina tunicata_1,416,Katharina tunicata,chiton,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",3,2,Sanak Archipelago,middle,both,n
417_Cryptochiton stelleri_1,417,Cryptochiton stelleri,chiton,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",3,2,Sanak Archipelago,low,both,n
463_Balanus glandula_1,463,Balanus glandula,barnacle,1,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
464_Balanus glandula_5,464,Balanus glandula,barnacle,5,712_Homo sapiens_1,712,Homo sapiens,human,1,1,"375, 376",3,2,Sanak Archipelago,high,both,n
