reference_number,reference
1,"Kicklighter, Cynthia E.; Derby, Charles D.. 2006. Multiple components in ink of the sea hare aplysia californica are aversive to the sea anemone anthopleura sola. Journal of Experimental Marine Biology and Ecology. 334. 2. 256-268. 10.1016/j.jembe.2006.02.002"
2,"Winkler, Lindsay R.; Tilton, Bernard E.. 1962. Predation on the california sea hare, aplysia californica cooper, by the solitary great green sea anemone, anthopleura xanthogrammica (brandt), and the effect of sea hare toxin and acetylcholine on anemone muscle"
3,"Schwarz, J.; Weis, V.; Potts, D.. 2002. Feeding behavior and acquisition of zooxanthellae by planula larvae of the sea anemone anthopleura elegantissima. Marine Biology. 140. 3. 471-478. 10.1007/s00227-001-0736-y"
4,"Harris, Larry G.; Howe, Nathan R.. 1979. An analysis of the defensive mechanisms observed in the anemone anthopleura elegantissima in response to its nudibranch predator aeolidia papillosa. The Biological Bulletin. 157. 1. 138-152. 10.2307/1541083"
5,"Sease, Anna M.. 2008. Feeding behavior of anthopleura artemisia and anthropleura elegantissima. Oregon Institute of Marine Biology"
6,"Bachman, Sarah; Muller-Parker, Gisèle. 2007. Viable algae released by the seastar dermasteriasimbricata feeding on the symbiotic sea anemone anthopleura elegantissima. Marine Biology. 150. 3. 369-375. 10.1007/s00227-006-0344-y"
7,"Mitchell, D. F.. 1953. An analysis of stomach contents of california tide pool fishes. American Midland Naturalist. 49. 3. 862-871. Doi 10.2307/2485213"
8,"Noble, Elmer R.. 1939. Myxosporidia from tide pool fishes of california. The Journal of Parasitology. 25. 4. 359-364. 10.2307/3272019"
9,"Johnson, William F.. 1949. A new species of trematode, podocotyle gibbonsia, from tide pool fishes of monterey bay, california. Transactions of the American Microscopical Society. 68. 2. 107-109. 10.2307/3223258"
10,"Stebbins, Timothy D.. 1988. The role of sea urchins in mediating fish predation on a commensal isopod (crustacea: isopoda). Journal of Experimental Marine Biology and Ecology. 124. 2. 97-113. 10.1016/0022-0981(88)90114-1"
11,"Lawler, Adrian. 1980. Studies on amyloodinium ocellatum (dinoflagellata) in mississippi sound: natural and experimental hosts. Gulf and Caribbean Research. 6. 4. 403-413. 10.18785/grr.0604.08"
12,"Stephens Jr., John S.; Johnson, Robert K.; Key, Gerald S.; McCosker, John E.. 1970. The comparative ecology of three sympatric species of california blennies of the genus hypsoblennius gill (teleostomi, blenniidae). Ecological Monographs. 40. 2. 213-233. 10.2307/1942296"
13,"Davis, J. L. D.. 2000. Spatial and seasonal patterns of habitat partitioning in a guild of southern california tidepool fishes. Marine Ecology Progress Series. 196. 253-268. DOI 10.3354/meps196253"
14,"Annett, Cynthia; Pierotti, Raymond. 1984. Foraging behavior and prey selection of the leather seastar dermasterias imbricata. Marine Ecology-progress Series - MAR ECOL-PROGR SER. 14. 197-206. 10.3354/meps014197"
15,"Houtman, R.; Paul, L. R.; Ungemach, R. V.; Ydenberg, R. C.. 1997. Feeding and predator-avoidance by the rose anemone urticina piscivora. Marine Biology. 128. 2. 225-229. 10.1007/s002270050086"
16,"Bingham, Brian L.; Braithwaite, Lee F.. 1986. Defense adaptations of the dendrochirote holothurian psolus chitonoides clark. Journal of Experimental Marine Biology and Ecology. 98. 3. 311-322. 10.1016/0022-0981(86)90220-0"
17,"Van Veldhuizen, H. D.; Oakes, V. J.. 1981. Behavioral responses of seven species of asteroids to the asteroid predator, solaster dawsoni. Oecologia. 48. 2. 214-220"
18,"Byrne, Maria. 1985. Evisceration behaviour and the seasonal incidence of evisceration in the holothurian eupentacta quinquesemita (selenka). Ophelia. 24. 2. 75‚Äì90. 10.1080/00785236.1985.10426621"
19,"Eckert, G. L., John M. Engle, & David J. Kushner. (2000). Sea star disease and population declines at the Channel Islands. 390–393."
20,"Day, R. W.; Osman, R. W.. 1981. Predation by patiria miniata (asteroidea) on bryozoans: prey diversity may depend on the mechanism of succession. Oecologia. 51. 3. 300-309. 10.1007/BF00540898"
