date_changed,Reference #,Use,Paper Title,Author,Year,Focal consumer taxon,Focal consumer life stage,Focal consumer type,Consumption type,Resource taxon,resource taxonomic resolution,Resource description,nsboth,CA,EP_RIZ,General location of study,Coordinates of study site,notes,added to edge list,initials,,secondary_citation,link or doi,,,
03/21/2024 11:57AM,1,interaction report,Multiple components in ink of the sea hare Aplysia californica are aversive to the sea anemone Anthopleura sola,Cynthia E.KicklighterCharles D.Derby,2006,Anthopleura sola,adult,predator,predation,Aplysia californica,species,Aplysia californica,s,y,y,"Study was done in a lab, but Anthopluera Sola was collected from San Pedro, CA and Aplysia calfornica was collected from Garden Grove, CA. ",,"*Aplysia calfornica is normally preyed upon by Anthropluera sola, but when secreting a a mix of ink and opaline, may deter predation. This study looked at the chemical components of this deterring secretion and reveals that the secretion elicits shrivling and retreat of tentacles from Anthopleura sola. However, this is from the ink, not the opaline! What I gathered is that Anthopluera sola is a potential predator to sea hares in general depending on if the sea hare will secrete ink or just opaline. Chemical interactions may play a huge role on the diet of Anthopluera sola.( Interesingly, this ink attracts the predation of the spiny lobster! )",done,03/20/2024 01:03PM,,,,,,
03/21/2024 11:57AM,2,interaction report,"Predation on the California Sea Hare, Aplysia californica Cooper, by the Solitary Great Green Sea Anemone, Anthopleura xanthogrammica (Brandt), and the Effect of Sea Hare Toxin and Acetylcholine on Anemone Muscle",LINDSAY R. WINKLER and BERNARD E. TILTONl,1962,Anthopleura sola,adult,predator,predation,Aplysia,genus,Aplysia sp. ,s,y,y,"Lunada Bay, Palos Verdes, California.",,"*^^^ The paper above says that the anemone in this paper was misidentified, and is actually Anthopleura sola. If that's correct, then this paper confirms that Anthopleura sola does eat sea hares, a variety of Aplysia species. They basically used their fingers to clean out the digestive cavity of these sea anemones, and within these cavities they found bits and pieces of sea hares. They also experimentally fed the aneones sea hare digestive glands and they ate them in many cases. The paper talked about how the entire sea hare is not normally eaten becauase eventually toxins ( mayne their ink? ) is expelled and deters predation, but that usually portions of the sea hare are eaten, ( such as the digestive gland?) ",done,03/20/2024 01:03PM,,,,,,
03/21/2024 11:59AM,3,interaction report,Feeding behavior and acquisition of zooxanthellae by planula larvae of the sea anemone Anthopleura elegantissima,"J. Schwarz, V. Weis & D. Potts ",2001,Anthopleura elegantissima,planula,commensal,non-feeding endocommensalism,zooxanthellae,category,zooxanthallae,n,y,y,University of California Santa Cruz Long Marine Laboratory,,03/20/2024 01:07PM,"NO, non trophic",03/20/2024 01:03PM,,,,,,
03/18/2024 04:27PM,4,interaction report,AN ANALYSIS OF THE DEFENSIVE MECHANISMS OBSERVED IN THE ANEMONE ANTHOPLEURA ELEGANTISSIMA IN RESPONSE TO ITS NUDIBRANCH PREDATOR AEOLIDIA PAPILLOSA,LARRY G. HARRIS and NATHAN R. HOWE,1979,Aeolidia loui,adult,predator,predation,Metridium senile,species,"Anthopluera elegantissima, Metridiuni seni!e ",n,y,y,"Hopkins Marine Laboratory, Pacific Grove, California.","36Â°37' N, 1210 53' W)",03/20/2024 01:07PM,,03/20/2024 01:03PM,,,,,,
03/18/2024 03:48PM,4,interaction report,AN ANALYSIS OF THE DEFENSIVE MECHANISMS OBSERVED IN THE ANEMONE ANTHOPLEURA ELEGANTISSIMA IN RESPONSE TO ITS NUDIBRANCH PREDATOR AEOLIDIA PAPILLOSA,LARRY G. HARRIS and NATHAN R. HOWE,1979,Aeolidia loui,adult,predator,predation,Anthopleura elegantissima,species,"Anthopluera elegantissima, Metridiuni seni!e ",n,y,y,"Hopkins Marine Laboratory, Pacific Grove, California.","36Â°37' N, 1210 53' W)",03/20/2024 01:07PM,,03/20/2024 01:03PM,,,,,,
03/21/2024 11:38AM,5,interaction report,Feeding behavior of Anthopluera artemisia and Anthopleura elegantissima,M. Anna Sease,2008,Anthopluera artemisia and Anthopleura elegantissima,adult,predator,predation,gammarid,category,gammerid amphipods,n,n,y,"A. artemisia colleced from Fossil Point, Charleston, Oregon; A. elegantissima collected from Boat House Beach near OIMB campus in Charleston, Oregon. ",,boop,"NO, redundant",03/20/2024 01:03PM,,,,,,
03/18/2024 03:50PM,6,interaction report,"Viable algae released by the seastar Dermasterias imbricata feeding on the symbiotic sea anemone Anthopleura elegantissima
",Sarah Bachman & Gisèle Muller-Parker ,2007,Dermasterias imbricata,adult,predator,predation,"Anthopluera elegantissima, Anthopluera Xanthogrammica",NA,"Anthopluera elegantissima, Anthopluera Xanthogrammica",n,n,y,"A. elegantissima collected from: rocky intertidal zone at Eagle Cove on San Juan Island; Shannon Point Beach, Leather stars collected form stocks maintained at the University of Washington Friday Harbor Marine Laboratories on San Juan Island. ",A. elegnatissima collection: 48°27 ( Eagle cove ); 48°29′ ( shannon beach ),03/20/2024 01:07PM,"NO, redundant",03/20/2024 01:03PM,,,,,,
03/18/2024 03:52PM,7,interaction report,An Analysis of Stomach Contents of California Tide Pool Fishes,"Mitchell, Donald F. ",1953,Clinocottus analis ,adult,predator,predation,"Betaeus harfordi, Pugettia gracilis, Spirontocaris picta",NA,"Betaeus harfordi, Pugettia gracilis, Spirontocaris picta",s,y,,"Collections made at ""Portugese bend"", a well known shoreline in Los Angeles county. ",,03/20/2024 01:06PM,"NO, redundant",03/20/2024 01:04PM,,,,,,
03/18/2024 03:52PM,7,interaction report,An Analysis of Stomach Contents of California Tide Pool Fishes,Donald F. Mitchell,1953,Gibbonsia elegans ,adult,predator,predation,"Isopods: Cirolana harfordi, Idothea rectilinea, Pentidotea wosnesnskii, Pentidotea resecata// Amphibods: Spirontocaris picta, Crangon sp., Pagurus sp., Lophopanpeus frontalis// Polychaetas: Platynereis agassizi// Gastropods: Fissurella volcano, Acmea cona, Barlecia bentleyi",NA,"Isopods: Cirolana harfordi, Idothea rectilinea, Pentidotea wosnesnskii, Pentidotea resecata// Amphibods: Spirontocaris picta, Crangon sp., Pagurus sp., Lophopanpeus frontalis// Polychaetas: Platynereis agassizi// Gastropods: Fissurella volcano, Acmea cona, Barlecia bentleyi",s,y,,"Collections made at ""Portugese bend"", a well known shoreline in Los Angeles county. ",,03/20/2024 01:06PM,done,03/20/2024 01:04PM,,,,,,
03/18/2024 03:53PM,7,interaction report,An Analysis of Stomach Contents of California Tide Pool Fishes,Donald F. Mitchell,1953,Gibbonsia metzi,adult,predator,predation,"Isopods: Pentidotea resecata, Idothea rectilinea, Pentidotea aculeata// Amphipods: Eurystheus temicornis, Amphitohoe sp., Hyale frequens// Decapods: Spirontocaris paludicola, Mimulus foliatus, Parurgus sammelis, Pugettia gracilis// Polychates: Platymeris agassizi ",NA,"Isopods: Pentidotea resecata, Idothea rectilinea, Pentidotea aculeata// Amphipods: Eurystheus temicornis, Amphitohoe sp., Hyale frequens// Decapods: Spirontocaris paludicola, Mimulus foliatus, Parurgus sammelis, Pugettia gracilis// Polychates: Platymeris agassizi ",s,y,,"Collections made at ""Portugese bend"", a well known shoreline in Los Angeles county. ",,03/20/2024 01:06PM,done,03/20/2024 01:04PM,,,,,,
