STATUS,INITIALS,resourceFam,consumerFam,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
343,ZZ,Ulvaceae,Nereididae,1600,Nereis vexillosa,polychaete,1,601,Ulva sp.,green algae,1,3,3,6,2,343; 375,Sanak Archipelago,all,NA,no,y,,16193,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,505,Caprella californica,amphipod,1,1,3,6,2,435; 375,Sanak Archipelago,low,NA,no,y,,16042,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,506,Caprella sp.,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16043,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1410,Caprella kennerlyi,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16044,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1406,Caprella equilibra,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16045,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1403,Caprella alaskana,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16046,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1404,Caprella brevirostris,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16047,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1407,Caprella ferrea,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16048,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1408,Caprella greenleyi,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16049,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1409,Caprella incisa,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16050,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1411,Caprella laeviuscula,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16051,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1412,Caprella natalensis,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16052,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1413,Caprella penantis,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16053,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1414,Caprella pilipalma,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16054,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1415,Caprella verrucosa,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16055,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1419,Cercops compactus,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16056,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1416,Deutella californica,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16057,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1420,Perotripus brevis,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,very low,NA,no,y,,16058,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1417,Tritella laevis,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16059,8-Oct-24
435,ZZ,Caprellidae,Amphiporidae,126,Amphiporus imparispinosus,nemertean,1,1418,Tritella pilimana,caprellid,1,1,3,6,2,435; 375,Sanak Archipelago,all,NA,no,y,,16060,8-Oct-24
436,ZZ,Polynoidae,Emplectonematidae,123,Emplectonema gracile,nemertean,1,1546,Harmothoe hirsuta,polychaete,1,1,3,6,2,436; 375,Sanak Archipelago,all,NA,no,y,,15870,8-Oct-24
436,ZZ,Polynoidae,Emplectonematidae,123,Emplectonema gracile,nemertean,1,1547,Lepidasthenia longicirrata,polychaete,1,1,3,6,2,436; 375,Sanak Archipelago,all,NA,no,y,,15871,8-Oct-24
