INITIALS,consumerNum,consumerName,consumerCat,consumerStage,resourceNum,resourceName,resourceCat,resourceStage,interaction.type,confidence,justification,incl.code,ref_num,localities,zone,pools_exposed,MorrisHaderlie,epibiota_consumed,notes,link.ID,date_added
ZZ_coded,146,Solaster dawsoni,asteroid,1,146,Solaster dawsoni,asteroid,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11850,29 May 2024
ZZ_coded,146,Solaster dawsoni,asteroid,1,1980,Solaster stimpsoni,asteroid,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11851,29 May 2024
ZZ_coded,146,Solaster dawsoni,asteroid,1,143,Dermasterias imbricata,asteroid,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11852,29 May 2024
ZZ_coded,146,Solaster dawsoni,asteroid,1,720,Evasterias troschelii,asteroid,1,1,2,3,2,375,Sanak Archipelago,all,NA,no,y,,11853,29 May 2024
ZZ_coded,146,Solaster dawsoni,asteroid,1,152,Pycnopodia helianthoides,asteroid,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11854,29 May 2024
ZZ_coded,146,Solaster dawsoni,asteroid,1,465,Balanus crenatus,barnacle,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11855,29 May 2024
ZZ_coded,1980,Solaster stimpsoni,asteroid,1,891,Terebratalia transversa,brachiopod,1,1,2,3,2,375,Sanak Archipelago,very low,NA,no,y,,11856,29 May 2024
ZZ_coded,1980,Solaster stimpsoni,asteroid,1,152,Pycnopodia helianthoides,asteroid,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11857,29 May 2024
ZZ_coded,143,Dermasterias imbricata,asteroid,1,2392,Hydrozoa,NA,6,1,2,3,2,375,Sanak Archipelago,all,NA,no,y,,11858,29 May 2024
ZZ_coded,143,Dermasterias imbricata,asteroid,1,107,Metridium senile,anemone,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11859,29 May 2024
ZZ_coded,143,Dermasterias imbricata,asteroid,1,416,Katharina tunicata,chiton,1,1,2,3,2,375,Sanak Archipelago,middle to low,NA,no,y,,11860,29 May 2024
ZZ_coded,720,Evasterias troschelii,asteroid,1,891,Terebratalia transversa,brachiopod,1,1,2,3,2,375,Sanak Archipelago,very low,NA,no,y,,11861,29 May 2024
ZZ_coded,720,Evasterias troschelii,asteroid,1,208,Lottia pelta,true limpet,1,1,2,3,2,375,Sanak Archipelago,middle to low,NA,no,y,,11862,29 May 2024
ZZ_coded,720,Evasterias troschelii,asteroid,1,215,Lottia scutum,true limpet,1,1,2,3,2,375,Sanak Archipelago,middle,NA,no,y,,11863,29 May 2024
ZZ_coded,720,Evasterias troschelii,asteroid,1,470,Balanus nubilus,barnacle,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11864,29 May 2024
ZZ_coded,720,Evasterias troschelii,asteroid,1,285,Nucella lamellosa,snail,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11865,29 May 2024
ZZ_coded,720,Evasterias troschelii,asteroid,1,416,Katharina tunicata,chiton,1,1,2,3,2,375,Sanak Archipelago,middle to low,NA,no,y,,11866,29 May 2024
ZZ_coded,720,Evasterias troschelii,asteroid,1,465,Balanus crenatus,barnacle,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11867,29 May 2024
ZZ_coded,720,Evasterias troschelii,asteroid,1,463,Balanus glandula,barnacle,1,1,2,3,2,375,Sanak Archipelago,high to middle,NA,no,y,,11868,29 May 2024
ZZ_coded,720,Evasterias troschelii,asteroid,1,464,Balanus glandula,barnacle,4,1,2,3,2,375,Sanak Archipelago,high to middle,NA,no,y,,11869,29 May 2024
ZZ_coded,720,Evasterias troschelii,asteroid,1,462,Semibalanus cariosus,barnacle,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11870,29 May 2024
ZZ_coded,60,Orthasterias koehleri,asteroid,NA,891,Terebratalia transversa,brachiopod,1,1,2,3,2,375,Sanak Archipelago,very low,NA,no,y,,11871,29 May 2024
ZZ_coded,60,Orthasterias koehleri,asteroid,NA,470,Balanus nubilus,barnacle,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11872,29 May 2024
ZZ_coded,60,Orthasterias koehleri,asteroid,NA,196,Acmaea mitra,true limpet,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11873,29 May 2024
ZZ_coded,60,Orthasterias koehleri,asteroid,NA,416,Katharina tunicata,chiton,1,1,2,3,2,375,Sanak Archipelago,middle to low,NA,no,y,,11874,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,891,Terebratalia transversa,brachiopod,1,1,2,3,2,375,Sanak Archipelago,very low,NA,no,y,,11875,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,146,Solaster dawsoni,asteroid,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11876,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,143,Dermasterias imbricata,asteroid,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11877,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,720,Evasterias troschelii,asteroid,1,1,2,3,2,375,Sanak Archipelago,all,NA,no,y,,11878,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,152,Pycnopodia helianthoides,asteroid,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11879,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,420,Enteroctopus dofleini,octopus,4,1,2,3,2,375,Sanak Archipelago,low tidepools,NA,no,y,,11880,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,1745,Enteroctopus dofleini,octopus,1,1,2,3,2,375,Sanak Archipelago,low tidepools,NA,no,y,,11881,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,1746,Enteroctopus dofleini,octopus,NA,1,2,3,2,375,Sanak Archipelago,low tidepools,NA,no,y,,11882,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,199,Lottia digitalis,true limpet,1,1,2,3,2,375,Sanak Archipelago,high,NA,no,y,,11883,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,208,Lottia pelta,true limpet,1,1,2,3,2,375,Sanak Archipelago,middle to low,NA,no,y,,11884,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,215,Lottia scutum,true limpet,1,1,2,3,2,375,Sanak Archipelago,middle,NA,no,y,,11885,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,285,Nucella lamellosa,snail,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11886,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,416,Katharina tunicata,chiton,1,1,2,3,2,375,Sanak Archipelago,middle to low,NA,no,y,,11887,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,417,Cryptochiton stelleri,chiton,1,1,2,3,2,375,Sanak Archipelago,low tidepools,NA,no,y,,11888,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,456,Chthamalus dalli,barnacle,1,1,2,3,2,375,Sanak Archipelago,high to middle,NA,no,y,,11889,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,465,Balanus crenatus,barnacle,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11890,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,463,Balanus glandula,barnacle,1,1,2,3,2,375,Sanak Archipelago,high to middle,NA,no,y,,11891,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,464,Balanus glandula,barnacle,4,1,2,3,2,375,Sanak Archipelago,high to middle,NA,no,y,,11892,29 May 2024
ZZ_coded,152,Pycnopodia helianthoides,asteroid,1,462,Semibalanus cariosus,barnacle,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11893,29 May 2024
ZZ_coded,2388,Ophiuroidea,NA,6,756,Bacteria,microorganism,1,1,2,3,2,375,Sanak Archipelago,NA,NA,no,y,,11894,29 May 2024
ZZ_coded,2388,Ophiuroidea,NA,6,2392,Hydrozoa,NA,6,1,2,3,2,375,Sanak Archipelago,all,NA,no,y,,11895,29 May 2024
ZZ_coded,2088,Hemilepidotus hemilepidotus,fish,1,2388,Ophiuroidea,NA,6,1,2,3,2,375,Sanak Archipelago,all,NA,no,y,,11896,29 May 2024
ZZ_coded,16,Oligocottus maculosus,fish,1,208,Lottia pelta,true limpet,1,1,2,3,2,375,Sanak Archipelago,middle to low,NA,no,y,,11897,29 May 2024
ZZ_coded,16,Oligocottus maculosus,fish,1,417,Cryptochiton stelleri,chiton,1,1,2,3,2,375,Sanak Archipelago,low tidepools,NA,no,y,,11898,29 May 2024
ZZ_coded,712,Homo sapiens,human,1,719,Enhydra lutris,mammal,1,1,2,3,2,375,Sanak Archipelago,NA,NA,no,y,,11899,29 May 2024
ZZ_coded,712,Homo sapiens,human,1,420,Enteroctopus dofleini,octopus,4,1,2,3,2,375,Sanak Archipelago,low tidepools,NA,no,y,,11900,29 May 2024
ZZ_coded,712,Homo sapiens,human,1,1745,Enteroctopus dofleini,octopus,1,1,2,3,2,375,Sanak Archipelago,low tidepools,NA,no,y,,11901,29 May 2024
ZZ_coded,712,Homo sapiens,human,1,1746,Enteroctopus dofleini,octopus,NA,1,2,3,2,375,Sanak Archipelago,low tidepools,NA,no,y,,11902,29 May 2024
ZZ_coded,712,Homo sapiens,human,1,209,Lottia persona,true limpet,1,1,2,3,2,375,Sanak Archipelago,high to middle,NA,no,y,,11903,29 May 2024
ZZ_coded,712,Homo sapiens,human,1,470,Balanus nubilus,barnacle,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11904,29 May 2024
ZZ_coded,712,Homo sapiens,human,1,283,Nucella canaliculata,snail,1,1,2,3,2,375,Sanak Archipelago,middle,NA,no,y,,11905,29 May 2024
ZZ_coded,712,Homo sapiens,human,1,285,Nucella lamellosa,snail,1,1,2,3,2,375,Sanak Archipelago,low,NA,no,y,,11906,29 May 2024
