,nodeTaxon,node,nodeID,nodeNum,synonymies,category,common_name,life_stage,life_stage_code,province,commonality,reference,zone,habitat_notes,grouping_habits,mobility,node_type,node_resolution,aphia,kingdom,phylum,class,order,family,genus,parasite,consumer_strategy,consumer_type,degree
1,Mytilus californianus,366_Mytilus californianus,366_Mytilus californianus,366,NA,mussel,California mussel,adult,1,Both,abundant,436; 536,high to middle,NA,aggregating,sessile,Taxonomic,Species,367837,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,n,filter feeder,predator,70
2,Pollicipes polymerus,455_Pollicipes polymerus,455_Pollicipes polymerus,455,Mitella polymerus,barnacle,leaf barnacle,adult,1,Both,common,436; 536,middle,in clusters or mixed with mussel beds,aggregating,sessile,Taxonomic,Species,535329,Animalia,Arthropoda,Thecostraca,Pollicipedomorpha,Pollicipedidae,Pollicipes,n,filter feeder,predator,14
3,Modiolus modiolus,1960_Modiolus modiolus,1960_Modiolus modiolus,1960,NA,mussel,horsemussel,adult,1,N,present,435; 536,all,"hard substrates including shells, stones, the byssus threads of other mussels",solitary,sessile,Taxonomic,Species,140467,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Modiolus,n,filter feeder,predator,21
4,Pachygrapsus crassipes,566_Pachygrapsus crassipes,566_Pachygrapsus crassipes,566,NA,true crab,striped shore crab,adult,1,Both,abundant,436; 435,high to middle,"crevices, tidepools. Mussel beds",solitary,mobile,Taxonomic,Species,395016,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus,n,omnivore,predator,38
5,Emerita analoga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Amphistichus argenteus,5_Amphistichus argenteus,5_Amphistichus argenteus,5,NA,fish,barred surfperch,adult,1,N,present,exp. test. D. Canestro; 450,NA,"occur near rocks, pilings, other sources of cover, food. Usually form small groups",solitary,mobile,Taxonomic,Species,279594,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Amphistichus,n,typical predator,predator,31
7,Chthamalus dalli,456_Chthamalus dalli,456_Chthamalus dalli,456,NA,barnacle,acorn barnacle,adult,1,Both,common,436; 536,high to middle,"on rocks, dessication tolerant",aggregating,sessile,Taxonomic,Species,423276,Animalia,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,Chthamalus,n,filter feeder,predator,23
8,Strongylocentrotus droebachiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Mustelus henlei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Pentidotea resecata,1253_Pentidotea resecata,1253_Pentidotea resecata,1253,Idotea resecata,isopod,NA,adult,1,Both,present,435,all,"living in Macrocystis, Egregia, Zostera",solitary,mobile,Taxonomic,Species,325482,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,n,grazer,micropredator,19
11,Fissurella volcano,190_Fissurella volcano,190_Fissurella volcano,190,NA,limpet,keyhole limpet,adult,1,Both,abundant,436; 435,middle,NA,solitary,mobile,Taxonomic,Species,527881,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Fissurella,n,grazer,micropredator,6
12,Crassadoma gigantea,369_Crassadoma gigantea,369_Crassadoma gigantea,369,Hinnites giganteus,bivalve,rock scallop,adult,1,Both,common,436,low,rock crevices,solitary,sessile,Taxonomic,Species,240774,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma,n,filter feeder,predator,6
13,Crassadoma gigantea,1962_Crassadoma gigantea,1962_Crassadoma gigantea_juvenile,1962,Hinnites giganteus,bivalve,rock scallop,juvenile,4,Both,common,436,low,free living,solitary,mobile,Life Stage,Species,240774,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma,n,filter feeder,predator,8
14,Enhydra lutris,719_Enhydra lutris,719_Enhydra lutris,719,NA,mammal,sea otter,adult,1,Both,present,436; 435,NA,NA,solitary,mobile,Taxonomic,Species,242598,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Enhydra,n,typical predator,predator,38
15,Calliostoma ligatum,232_Calliostoma ligatum,232_Calliostoma ligatum,232,NA,snail,blue topsnail,adult,1,Both,uncommon,436; 435; 536,low,uncommon in intertidal in SoCal,solitary,mobile,Taxonomic,Species,580412,Animalia,Mollusca,Gastropoda,Trochida,Calliostomatidae,Calliostoma,n,omnivore,predator,25
16,Elysia hedgpethi,NA,NA,1884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Littorina littorea,1877_Littorina littorea,1877_Littorina littorea,1877,NA,limpet,NA,adult,1,N,present,435,all,Tide pools on sheltered rocky shores,solitary,mobile,Taxonomic,Species,140262,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,n,grazer,micropredator,52
18,Pisaster giganteus,151_Pisaster giganteus,151_Pisaster giganteus,151,NA,sea star,blue knobby star,adult,1,Both,common,436,very low,NA,solitary,mobile,Taxonomic,Species,240758,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,n,typical predator,predator,16
19,Pachycheles rudis,535_Pachycheles rudis,535_Pachycheles rudis,535,NA,porcelain crab,thick clawed porcelain crab,adult,1,Both,common,436; 435; 536,low,"under stones, in holdfasts, beneath eelgrass root mats, sponge cavities, empty pholad burrows, mussel beds",paired,mobile,Taxonomic,Species,425875,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Pachycheles,n,filter feeder,predator,4
