id.x,species,category,common_name,life_stage,n_s_both,zone,trophic_strategy,interaction_type,resourceName,source,resourceNum,resource_alt,r_zone,resourceCat,resourceStage,r_nsboth
146,Solaster dawsoni,asteroid,sun star,adult,N,low,typical predator,preys_on,Eupentacta quinquesemita,"Morris, Abbott, & Haderlie; Light & Smith",156,NA,low,cucumber,adult,N
146,Solaster dawsoni,asteroid,sun star,adult,N,low,typical predator,preys_on,Solaster stimpsoni,"Morris, Abbott, & Haderlie; Light & Smith",1980,NA,low,asteroid,adult,N
147,Astrometis sertulifera,asteroid,red/yellow star,adult,S,very low,typical predator,preys_on,Ophiothrix spiculata,"Morris, Abbott, & Haderlie; Light & Smith",163,NA,low,brittle star,adult,Both
150,Pisaster ochraceus,asteroid,ochre star,adult,Both,"middle, low",typical predator,preys_on,Tetraclita rubescens,"Morris, Abbott, & Haderlie",458,NA,middle to low,barnacle,adult,Both
151,Pisaster giganteus,asteroid,blue knobby star,adult,Both,very low,typical predator,preys_on,Mytilus californianus,"Morris, Abbott, & Haderlie",366,NA,high to middle,mussel,adult,Both
151,Pisaster giganteus,asteroid,blue knobby star,adult,Both,very low,typical predator,preys_on,Nucella emarginata,"Morris, Abbott, & Haderlie",284,Thais emarginata,high to middle,snail,adult,Both
151,Pisaster giganteus,asteroid,blue knobby star,adult,Both,very low,typical predator,preys_on,Tegula funebralis,"Morris, Abbott, & Haderlie",237,Cholorostoma,middle,topsnail,adult,Both
151,Pisaster giganteus,asteroid,blue knobby star,adult,Both,very low,typical predator,preys_on,Nuttallina californica,"Morris, Abbott, & Haderlie",409,NA,middle,chiton,adult,Both
151,Pisaster giganteus,asteroid,blue knobby star,adult,Both,very low,typical predator,preys_on,Kelletia kelletii,"Morris, Abbott, & Haderlie",287,NA,low,whelk,adult,Both
152,Pycnopodia helianthoides,asteroid,sunflower star,adult,N,low,typical predator,preys_on,Cucumaria pseudocurata,"Morris, Abbott, & Haderlie",154,NA,middle,cucumber,adult,N
193,Megathura crenulata,limpet,giant keyhole limpet,adult,Both,low,omnivore,preys_on,macroalgae,"Morris, Abbott, & Haderlie",759,NA,NA,algae,adult,Both
202,Lottia instabilis,true limpet,unstable seaweed limpet,adult,Both,low,grazer,preys_on,Pterygophora californica,"Morris, Abbott, & Haderlie; Light & Smith",648,NA,NA,algae,adult,NA
